,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,27,30,P2 NNKrebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,1
4,5,27,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,24,30,P2 NNKrebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3,2,0,1
6,7,24,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,24,30,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,4,1
8,9,22,30,P1 Slage,0,0,2,1,0,0,0,1,0,1,1,2,0,0,1,0,9,5,1
9,10,22,30,P2 NNKrebs1996,0,0,1,1,0,0,0,2,0,1,2,3,0,1,0,0,11,5,1
10,11,22,30,P1 Slage,0,0,1,2,0,0,0,0,1,1,3,2,0,1,1,0,15,6,1
11,12,22,30,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,16,5,1
12,13,22,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,22,7,1
13,14,22,30,P2 NNKrebs1996,2,0,2,1,0,0,0,0,0,1,0,1,0,1,1,1,22,6,1
14,15,22,30,P1 Slage,0,0,1,1,0,0,0,2,1,1,3,3,0,1,1,0,30,8,1
15,16,16,24,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,0,1,2,0,3,1,0,30,8,1
16,17,16,16,P1 Slage,0,0,1,3,0,0,0,1,0,3,0,4,0,1,1,-2,41,11,1
17,18,16,14,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,3,2,2,37,7,1
18,19,16,-2,P1 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,1,1,10,41,0,1
19,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,2,30,30,P2 NNKrebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
21,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
22,4,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
23,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,2,2
24,6,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,2
25,7,30,26,P1 Slage,0,0,1,1,0,0,0,1,1,0,2,2,0,1,0,0,8,4,2
26,8,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,8,3,2
27,9,30,26,P1 Slage,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,0,13,5,2
28,10,30,24,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,1,12,4,2
29,11,30,24,P1 Slage,0,0,4,2,0,0,0,0,2,1,3,2,0,2,0,1,18,5,2
30,12,30,24,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,18,6,2
31,13,30,24,P1 Slage,0,0,1,1,0,0,0,1,1,1,1,2,0,2,0,0,25,7,2
32,14,30,24,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,2,0,25,7,2
33,15,28,24,P1 Slage,0,0,2,2,0,0,0,1,0,2,1,3,0,2,1,2,31,6,2
34,16,20,21,P2 NNKrebs1996,0,0,1,2,0,0,0,2,1,1,8,4,0,2,2,0,33,8,2
35,17,20,21,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,5,35,4,2
36,18,20,23,P2 NNKrebs1996,4,0,2,1,0,0,1,1,0,1,0,2,0,2,3,0,42,9,2
37,19,20,23,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,6,39,4,2
38,20,3,21,P2 NNKrebs1996,0,0,2,4,0,1,1,4,0,2,1,8,0,4,4,0,52,10,2
39,21,1,21,P1 Slage,0,0,2,1,0,0,0,1,1,1,2,2,0,2,2,4,45,6,2
40,22,-2,18,P2 NNKrebs1996,0,0,1,1,0,1,0,0,3,0,3,1,0,5,4,6,56,4,2
41,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
42,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
43,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
44,4,27,30,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,3
45,5,29,30,P1 Slage,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,3
46,6,24,30,P2 NNKrebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,6,2,3
47,7,24,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,2,6,2,3
48,8,24,30,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,10,4,3
49,9,24,30,P1 Slage,0,0,1,2,0,0,0,1,1,1,2,3,0,1,1,0,11,5,3
50,10,24,30,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,15,5,3
51,11,24,30,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,0,17,6,3
52,12,24,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,21,6,3
53,13,30,24,P1 Slage,6,0,1,1,0,0,0,3,0,0,2,4,0,2,1,1,23,6,3
54,14,28,27,P2 NNKrebs1996,3,0,1,1,0,0,0,4,2,0,6,5,0,2,0,1,27,6,3
55,15,28,27,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,30,7,3
56,16,28,25,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,2,1,0,35,8,3
57,17,28,18,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,1,1,38,8,3
58,18,28,16,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,7,37,2,3
59,19,28,0,P1 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,10,38,0,3
60,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
61,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
62,3,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
63,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,4
64,5,30,24,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,0,4
65,6,30,24,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,4
66,7,30,24,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,6,4,4
67,8,27,21,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2,0,11,4,4
68,9,27,21,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,10,4,4
69,10,27,21,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,2,2,0,16,5,4
70,11,27,17,P1 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,1,15,5,4
71,12,27,21,P2 NNKrebs1996,4,0,1,2,0,1,0,1,0,2,1,3,0,2,2,0,22,6,4
72,13,27,18,P1 Slage,0,0,1,1,0,0,0,2,1,0,4,3,0,1,0,3,19,4,4
73,14,27,21,P2 NNKrebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,2,2,0,29,7,4
74,15,25,18,P1 Slage,0,0,2,2,0,0,0,1,1,1,3,3,0,2,1,0,27,8,4
75,16,22,15,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,3,2,0,37,8,4
76,17,25,15,P1 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,3,1,3,33,6,4
77,18,25,13,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,3,3,2,44,7,4
78,19,28,13,P1 Slage,5,0,5,2,0,0,0,0,0,0,1,2,0,5,2,0,43,10,4
79,20,28,11,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,3,4,0,54,10,4
80,21,28,11,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,5,2,3,50,7,4
81,22,11,12,P2 NNKrebs1996,3,0,2,1,0,0,0,4,0,0,1,5,0,4,5,2,62,8,4
82,23,11,12,P1 Slage,0,0,1,3,0,0,0,0,0,3,0,3,0,5,2,0,60,10,4
83,24,10,10,P2 NNKrebs1996,0,0,2,2,0,0,0,4,0,2,3,6,0,4,6,0,72,10,4
84,25,10,10,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,5,2,2,68,8,4
85,26,-3,10,P2 NNKrebs1996,0,0,1,1,0,0,1,6,0,1,3,7,0,4,6,3,79,7,4
86,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
87,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,5
88,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
89,4,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,5
90,5,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
91,6,28,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,6,2,5
92,7,28,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,5
93,8,22,28,P2 NNKrebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,1,1,0,10,4,5
94,9,22,28,P1 Slage,0,0,1,1,0,0,0,0,1,0,4,1,0,1,0,1,8,4,5
95,10,22,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,15,5,5
96,11,22,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,14,6,5
97,12,22,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,20,5,5
98,13,29,30,P1 Slage,7,0,2,2,0,0,0,1,0,0,2,3,0,3,0,0,21,7,5
99,14,29,30,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,1,3,0,1,1,0,27,7,5
100,15,29,30,P1 Slage,0,0,1,3,0,0,0,0,1,2,3,3,0,4,0,0,29,8,5
101,16,29,30,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,35,8,5
102,17,27,30,P1 Slage,0,0,2,2,0,0,0,0,1,2,2,2,0,4,1,0,38,9,5
103,18,21,24,P2 NNKrebs1996,0,0,1,2,0,1,0,0,0,0,2,2,0,3,1,1,43,8,5
104,19,21,24,P1 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,4,1,1,47,9,5
105,20,21,24,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,3,1,1,52,9,5
106,21,21,16,P1 Slage,0,0,1,1,0,1,0,1,1,0,5,2,0,5,1,2,55,8,5
107,22,21,19,P2 NNKrebs1996,3,0,1,2,0,0,0,0,1,1,1,2,0,4,1,2,60,8,5
108,23,19,19,P1 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,5,2,1,64,9,5
109,24,19,17,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,4,2,5,65,5,5
110,25,19,17,P1 Slage,0,0,1,3,0,0,0,1,0,3,1,4,0,5,2,0,74,10,5
111,26,19,15,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,4,3,5,70,5,5
112,27,19,0,P1 Slage,0,0,1,0,0,0,0,3,0,0,0,3,0,5,2,10,74,0,5
113,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
114,2,30,30,P2 NNKrebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
115,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
116,4,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,6
117,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,6
118,6,25,28,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,1,5,2,6
119,7,25,28,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,6,3,6
120,8,22,25,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,1,1,0,2,1,0,9,4,6
121,9,22,25,P1 Slage,0,0,6,2,0,0,0,0,0,1,0,2,0,1,0,1,10,4,6
