,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNSlage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
4,5,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,25,28,P2 NNSlage,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,1,5,2,1
6,7,29,28,P1 Slage,4,0,7,2,0,0,0,0,0,1,0,2,0,1,0,0,4,4,1
7,8,24,28,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,9,4,1
8,9,24,26,P1 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,9,5,1
9,10,24,30,P2 NNSlage,4,0,2,2,0,0,0,2,0,1,2,4,0,2,1,0,14,5,1
10,11,21,25,P1 Slage,0,0,1,2,0,0,0,1,1,1,4,3,0,2,0,0,15,6,1
11,12,21,25,P2 NNSlage,0,0,1,1,0,0,1,0,0,1,0,1,0,2,1,0,20,6,1
12,13,19,22,P1 Slage,0,0,2,1,0,0,0,1,0,1,0,2,0,2,1,3,19,4,1
13,14,8,19,P2 NNSlage,0,0,1,2,0,1,0,1,0,1,2,3,0,3,1,1,26,6,1
14,15,8,19,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,27,8,1
15,16,0,19,P2 NNSlage,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,8,26,0,1
16,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
17,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
18,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
19,4,30,30,P2 NNSlage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2
20,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
21,6,30,30,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,5,3,2
22,7,30,25,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,2
23,8,30,25,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,9,4,2
