,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNThijs,0,0,4,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1
2,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNThijs,2,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,1
4,5,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,30,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,3,1,0,7,3,1
6,7,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,4,2,1,10,3,1
8,9,30,24,P1 Slage,0,0,6,2,0,0,0,1,0,1,0,3,0,1,0,1,8,4,1
9,10,30,22,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,3,12,2,1
10,11,30,22,P1 Slage,0,0,1,2,0,0,0,0,2,2,2,2,0,1,0,2,12,4,1
11,12,30,20,P2 NNThijs,0,0,5,1,0,0,0,0,0,0,0,1,0,5,4,3,15,3,1
12,13,30,20,P1 Slage,0,0,1,1,0,0,0,0,2,1,2,1,0,1,0,3,16,4,1
13,14,30,20,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,5,4,0,22,7,1
14,15,30,16,P1 Slage,0,0,1,2,0,0,0,1,0,1,1,3,0,2,0,0,24,8,1
15,16,30,16,P2 NNThijs,0,0,3,2,0,0,0,0,0,2,0,2,0,5,4,1,29,7,1
16,17,30,16,P1 Slage,0,0,1,1,0,0,0,0,2,0,9,1,0,3,0,1,32,8,1
17,18,30,14,P2 NNThijs,0,0,2,2,0,0,0,0,0,2,0,2,0,5,5,0,38,9,1
18,19,30,14,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,-5,47,15,1
19,20,30,12,P2 NNThijs,0,0,2,2,0,0,0,0,0,2,0,2,0,5,6,0,48,10,1
20,21,28,12,P1 Slage,0,0,2,2,0,0,0,1,0,2,1,3,0,3,1,0,57,10,1
21,22,28,12,P2 NNThijs,0,0,1,3,0,0,0,0,0,3,0,3,0,5,6,0,58,5,1
22,23,28,0,P1 Slage,0,0,1,0,0,0,0,2,0,0,1,2,0,3,1,6,57,0,1
23,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
25,3,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
26,4,30,30,P2 NNThijs,2,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,2
27,5,30,30,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,4,2,2
28,6,30,30,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,2
29,7,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,4,2
30,8,30,30,P2 NNThijs,0,0,2,2,0,0,0,1,1,0,2,3,0,3,1,0,11,4,2
31,9,30,26,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,8,0,2
32,10,30,26,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,0,16,5,2
33,11,30,26,P1 Slage,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,0,14,6,2
34,12,30,26,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,1,21,5,2
35,13,30,26,P1 Slage,0,0,2,2,0,0,0,1,1,1,2,3,0,2,0,2,19,5,2
36,14,30,27,P2 NNThijs,3,0,2,1,0,0,0,1,0,1,1,2,0,3,2,0,28,7,2
37,15,27,24,P1 Slage,0,0,1,2,0,0,0,0,0,1,1,2,0,3,0,0,27,8,2
38,16,27,27,P2 NNThijs,3,0,1,2,0,0,0,0,0,1,1,2,0,4,2,0,36,8,2
39,17,25,27,P1 Slage,0,0,6,2,0,0,0,0,0,1,0,2,0,4,1,1,35,8,2
40,18,25,27,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,4,2,0,45,9,2
41,19,25,24,P1 Slage,3,0,1,2,0,0,0,1,0,0,3,3,0,6,1,0,45,10,2
42,20,25,22,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,1,2,0,4,3,0,55,10,2
43,21,25,22,P1 Slage,0,0,1,2,0,0,0,0,0,1,1,2,0,7,1,0,55,10,2
44,22,21,22,P2 NNThijs,0,0,1,5,0,0,0,1,0,4,1,7,0,5,3,0,65,10,2
45,23,19,22,P1 Slage,0,0,4,3,0,0,0,0,0,2,0,3,0,8,2,0,65,10,2
46,24,8,20,P2 NNThijs,0,0,2,2,0,0,0,4,0,2,2,6,0,5,4,8,67,2,2
47,25,10,20,P1 Slage,4,0,2,1,0,0,0,0,0,1,0,1,0,8,3,6,69,4,2
48,26,-2,20,P2 NNThijs,0,0,1,0,0,0,0,2,0,0,0,2,0,5,4,10,67,0,2
49,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
50,2,30,30,P2 NNThijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
51,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
52,4,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,2,2,3
53,5,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,3
54,6,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,3
55,7,30,21,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,4,3
56,8,30,19,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,2,6,2,3
57,9,30,10,P1 Slage,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,13,4,3
58,10,30,8,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,1,4,0,11,5,3
59,11,27,0,P1 Slage,0,0,1,1,0,0,0,1,3,0,4,2,0,1,0,2,17,4,3
60,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
61,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
