,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNKrebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
4,5,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,1
5,6,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,1
6,7,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,1
7,8,30,26,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,0,9,4,1
8,9,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,8,5,1
9,10,30,26,P2 NNKrebs1996,0,0,1,1,0,0,1,1,1,1,2,2,0,1,2,0,14,5,1
10,11,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,14,6,1
11,12,30,26,P2 NNKrebs1996,0,0,1,2,0,1,0,1,0,2,1,3,0,1,2,0,20,6,1
12,13,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,14,0,1
13,14,30,24,P2 NNKrebs1996,0,0,2,1,0,0,0,0,3,1,3,1,0,1,3,0,27,7,1
14,15,30,24,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,22,8,1
15,16,26,24,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,3,0,35,8,1
16,17,26,24,P1 Stonekeep,0,0,1,2,0,0,0,1,0,1,3,3,0,3,0,1,30,8,1
17,18,23,24,P2 NNKrebs1996,3,0,1,2,0,0,0,1,0,1,1,3,0,2,3,0,44,9,1
18,19,20,19,P1 Stonekeep,0,0,2,3,0,0,0,1,1,1,2,4,0,5,0,0,40,10,1
19,20,17,16,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,3,3,1,53,9,1
20,21,17,4,P1 Stonekeep,0,0,1,1,0,0,0,3,1,0,4,4,0,6,0,6,44,4,1
21,22,17,2,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,3,4,1,62,9,1
22,23,17,-2,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,6,0,10,44,0,1
23,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
25,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
26,4,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,2
27,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
28,6,28,26,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,2,1,6,2,2
29,7,28,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
30,8,26,26,P2 NNKrebs1996,0,0,1,1,0,0,1,1,0,1,0,2,0,1,2,0,10,4,2
31,9,23,19,P1 Stonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,1,0,1,8,4,2
32,10,23,19,P2 NNKrebs1996,0,0,1,1,0,1,0,1,0,1,1,2,0,1,2,0,15,5,2
33,11,23,19,P1 Stonekeep,0,0,2,3,0,0,0,0,0,1,1,3,0,3,0,0,14,6,2
34,12,23,22,P2 NNKrebs1996,3,0,1,1,0,0,0,2,0,1,1,3,0,1,2,1,20,5,2
35,13,30,22,P1 Stonekeep,7,0,3,2,0,0,0,0,0,1,0,2,0,4,0,2,19,5,2
36,14,30,25,P2 NNKrebs1996,3,0,1,2,0,0,1,2,0,2,1,4,0,1,2,0,27,7,2
37,15,30,29,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,3,2,0,5,0,0,27,8,2
38,16,30,29,P2 NNKrebs1996,0,0,1,2,0,1,0,1,0,2,0,3,0,1,2,0,35,8,2
39,17,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,4,1,0,6,0,1,35,8,2
40,18,30,28,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,3,1,43,8,2
41,19,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,10,35,0,2
42,20,27,25,P2 NNKrebs1996,0,0,1,4,0,0,0,0,2,3,2,4,0,2,3,0,53,10,2
43,21,28,25,P1 Stonekeep,3,0,2,1,0,0,0,0,0,0,1,1,0,7,1,2,43,8,2
44,22,25,20,P2 NNKrebs1996,0,0,2,1,0,0,0,0,2,0,2,1,0,3,4,4,59,6,2
45,23,25,20,P1 Stonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,7,1,0,53,10,2
46,24,25,18,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,3,5,3,66,7,2
47,25,25,6,P1 Stonekeep,0,0,1,2,0,0,0,4,0,1,1,6,0,8,1,2,61,8,2
48,26,20,4,P2 NNKrebs1996,0,0,2,2,0,0,0,1,1,1,8,3,0,4,6,0,76,10,2
49,27,20,4,P1 Stonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,8,1,0,71,10,2
50,28,18,2,P2 NNKrebs1996,0,0,2,2,0,0,0,2,0,2,1,4,0,4,7,0,86,10,2
51,29,18,-2,P1 Stonekeep,0,0,1,0,0,0,0,2,1,0,2,2,0,8,1,10,71,0,2
52,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
53,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
54,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
55,4,28,28,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,3
56,5,28,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,3
57,6,26,26,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,2,1,6,2,3
58,7,26,26,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,6,4,3
59,8,26,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,9,3,3
60,9,30,22,P1 Stonekeep,4,0,4,2,0,0,0,1,0,0,1,3,0,2,0,1,10,4,3
61,10,30,20,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,3,0,14,5,3
62,11,30,20,P1 Stonekeep,0,0,1,1,0,0,1,1,0,1,1,2,0,2,0,0,16,6,3
63,12,27,15,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,1,1,0,2,4,0,20,6,3
64,13,27,7,P1 Stonekeep,0,0,1,1,0,1,0,1,0,1,0,2,0,2,0,0,23,7,3
65,14,27,7,P2 NNKrebs1996,0,0,1,2,0,0,2,0,0,2,0,2,0,2,4,0,27,7,3
66,15,27,-1,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,8,23,0,3
67,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
68,2,30,30,P2 NNKrebs1996,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
69,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
