,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,1
6,7,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,5,3,1
7,8,28,26,P2 NNOrasha,0,0,1,2,0,0,0,1,0,1,0,3,0,2,2,0,11,4,1
8,9,28,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,9,4,1
9,10,23,26,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,0,3,0,2,2,0,16,5,1
10,11,26,30,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,2,2,0,2,0,0,15,6,1
11,12,23,30,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,0,2,0,2,2,0,22,6,1
12,13,23,30,P1 Stonekeep,0,0,1,1,0,0,1,1,0,1,1,2,0,2,0,0,22,7,1
13,14,23,30,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,1,2,0,2,2,0,29,7,1
14,15,23,30,P1 Stonekeep,0,0,1,2,0,1,0,1,1,1,3,3,0,3,0,0,30,8,1
15,16,23,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,2,3,0,37,8,1
16,17,23,20,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,3,36,6,1
17,18,23,18,P2 NNOrasha,0,0,2,2,0,0,1,1,0,2,1,3,0,2,4,0,46,9,1
18,19,23,18,P1 Stonekeep,0,0,1,2,0,0,0,1,1,1,4,3,0,4,0,2,44,8,1
19,20,23,16,P2 NNOrasha,0,0,2,2,0,1,0,0,0,2,0,2,0,2,5,1,55,9,1
20,21,17,14,P1 Stonekeep,4,0,2,1,0,0,0,1,1,0,7,2,0,5,1,0,54,10,1
21,22,17,14,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,5,0,65,10,1
22,23,18,14,P1 Stonekeep,3,0,2,2,0,0,0,0,0,1,1,2,0,6,2,0,64,10,1
23,24,18,12,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,2,6,8,67,2,1
24,25,18,12,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,6,2,5,69,5,1
25,26,15,12,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,6,1,76,9,1
26,27,15,8,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,6,2,3,76,7,1
27,28,-1,8,P2 NNOrasha,0,0,1,0,0,0,0,1,0,0,0,1,0,2,6,10,76,0,1
28,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
29,2,30,30,P2 NNOrasha,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
30,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
31,4,30,28,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
32,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
33,6,30,28,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,2
34,7,28,28,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,4,4,2
35,8,28,28,P2 NNOrasha,0,0,4,3,0,0,0,1,0,0,0,4,0,4,2,0,11,4,2
36,9,28,28,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,2,1,0,0,1,0,9,5,2
37,10,25,25,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,1,1,0,5,2,1,15,4,2
38,11,25,25,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,15,6,2
39,12,22,20,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,6,3,0,21,6,2
40,13,22,12,P1 Stonekeep,0,0,1,1,0,1,0,1,0,1,0,2,0,0,1,2,20,5,2
41,14,22,10,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,6,4,5,23,2,2
42,15,19,-1,P1 Stonekeep,0,0,1,1,0,0,0,1,0,0,0,2,0,1,1,4,24,4,2
43,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
44,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
45,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
46,4,30,28,P2 NNOrasha,0,0,1,2,0,0,0,0,0,0,0,2,0,3,1,0,4,2,3
