,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,1
6,7,28,24,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,4,4,1
7,8,28,22,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,0,0,2,0,3,4,0,10,4,1
8,9,28,22,P1 Stonekeep,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,9,5,1
9,10,28,22,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,3,4,0,15,5,1
10,11,25,19,P1 Stonekeep,0,0,1,2,0,1,0,0,0,1,1,2,0,1,1,0,15,6,1
11,12,22,14,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,4,5,0,21,6,1
12,13,22,14,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,2,20,5,1
13,14,22,14,P2 NNStonekeep,0,0,1,2,0,0,2,0,0,2,0,2,0,4,5,0,28,7,1
14,15,25,10,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,2,1,2,26,6,1
15,16,25,12,P2 NNStonekeep,4,0,2,1,0,2,0,1,0,1,1,2,0,4,6,1,35,7,1
16,17,29,12,P1 Stonekeep,4,0,2,3,0,0,0,0,1,1,3,3,0,4,1,0,35,9,1
17,18,29,16,P2 NNStonekeep,4,0,1,2,0,0,0,0,0,2,0,2,0,4,6,0,44,9,1
18,19,29,16,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,2,2,0,5,1,2,43,8,1
19,20,29,14,P2 NNStonekeep,0,0,3,1,0,0,0,0,0,0,0,1,0,5,7,5,49,5,1
20,21,29,12,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,5,1,5,48,5,1
21,22,29,10,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,4,2,0,6,8,0,59,10,1
22,23,29,10,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,5,1,4,54,6,1
23,24,29,8,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,0,2,0,7,9,1,68,9,1
24,25,30,8,P1 Stonekeep,1,0,3,2,0,0,0,0,0,1,0,2,0,6,1,0,64,10,1
25,26,22,6,P2 NNStonekeep,0,0,2,1,0,0,0,3,0,1,1,4,0,7,10,1,77,9,1
26,27,15,-1,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,3,0,6,1,1,73,9,1
27,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
28,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
29,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
30,4,30,28,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,2
31,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
32,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,2
33,7,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
34,8,30,26,P2 NNStonekeep,0,0,1,2,0,0,1,0,0,1,0,2,0,2,2,0,8,4,2
35,9,30,22,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,5,2
36,10,30,20,P2 NNStonekeep,0,0,2,1,0,1,1,1,0,1,1,2,0,2,3,0,13,5,2
37,11,30,16,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,15,6,2
38,12,19,11,P2 NNStonekeep,0,0,2,1,0,1,0,2,0,0,1,3,0,3,4,0,19,6,2
39,13,19,7,P1 Stonekeep,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,22,7,2
40,14,11,7,P2 NNStonekeep,0,0,1,1,0,0,0,2,0,1,1,3,0,3,4,1,25,6,2
41,15,14,-1,P1 Stonekeep,3,0,1,1,0,0,0,2,0,0,1,3,0,1,0,2,28,6,2
42,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
43,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
44,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
45,4,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,1,2,2,3
46,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
47,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,3
48,7,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,3
49,8,30,26,P2 NNStonekeep,0,0,1,2,0,0,1,0,0,1,0,2,0,2,2,0,8,4,3
50,9,30,22,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,5,3
51,10,30,20,P2 NNStonekeep,0,0,2,1,0,1,0,1,0,0,1,2,0,3,3,0,13,5,3
52,11,30,20,P1 Stonekeep,0,0,1,1,0,0,1,1,1,1,2,2,0,0,0,1,14,5,3
53,12,30,27,P2 NNStonekeep,7,0,1,1,0,0,0,0,0,0,1,1,0,4,3,0,19,6,3
54,13,30,27,P1 Stonekeep,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,3,18,4,3
55,14,27,22,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,5,4,1,25,6,3
56,15,30,18,P1 Stonekeep,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,4,22,4,3
57,16,30,16,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,5,5,6,27,2,3
58,17,30,8,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,3,28,6,3
59,18,30,6,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,5,6,2,34,7,3
60,19,30,0,P1 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,10,28,0,3
61,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
62,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
63,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
64,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,4
65,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
66,6,30,28,P2 NNStonekeep,4,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,4
67,7,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
68,8,30,28,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,4
69,9,30,28,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,5,5,4
70,10,30,26,P2 NNStonekeep,0,0,2,1,0,0,0,1,0,0,1,2,0,2,4,0,15,5,4
71,11,30,26,P1 Stonekeep,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,10,5,4
72,12,26,24,P2 NNStonekeep,0,0,2,2,0,0,1,1,0,1,0,3,0,3,5,0,21,6,4
73,13,26,24,P1 Stonekeep,0,0,1,1,0,0,0,1,1,1,3,2,0,0,0,0,17,7,4
74,14,26,26,P2 NNStonekeep,4,0,2,1,0,1,1,0,0,1,0,1,0,3,6,2,26,5,4
75,15,29,22,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,1,0,2,23,6,4
76,16,29,20,P2 NNStonekeep,0,0,2,1,0,1,0,0,0,1,0,1,0,3,7,1,33,7,4
77,17,27,16,P1 Stonekeep,0,0,3,3,0,0,0,1,0,1,1,4,0,3,1,1,31,8,4
78,18,27,14,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,3,8,7,35,2,4
79,19,30,14,P1 Stonekeep,5,0,4,2,0,0,0,0,2,1,2,2,0,4,2,0,41,10,4
80,20,30,14,P2 NNStonekeep,0,0,1,3,0,0,0,0,0,1,0,3,0,5,8,1,44,9,4
81,21,30,14,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,5,46,5,4
82,22,30,14,P2 NNStonekeep,0,0,1,2,0,0,0,3,0,2,1,5,0,5,8,0,54,10,4
83,23,30,6,P1 Stonekeep,0,0,2,3,0,0,0,2,1,1,8,5,0,6,2,1,55,9,4
84,24,30,4,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,3,1,0,6,9,0,64,10,4
85,25,28,4,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,6,3,2,63,8,4
86,26,28,2,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,0,2,0,7,10,1,73,9,4
87,27,25,-1,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,7,3,6,67,4,4
88,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
89,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
90,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,5
91,4,30,30,P2 NNStonekeep,0,0,3,2,0,0,0,0,0,0,0,2,0,2,0,0,3,2,5
92,5,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,4,2,5
93,6,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,5,2,5
94,7,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8,4,5
95,8,30,28,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,0,0,2,0,4,1,0,9,4,5
96,9,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,5
97,10,30,28,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,4,1,0,14,5,5
98,11,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,14,6,5
99,12,30,26,P2 NNStonekeep,0,0,3,2,0,1,0,0,0,0,1,2,0,6,2,0,20,6,5
100,13,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,21,7,5
101,14,30,26,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,7,2,0,27,7,5
102,15,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,0,29,8,5
103,16,30,24,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,7,3,1,34,7,5
104,17,30,24,P1 Stonekeep,0,0,1,2,0,0,0,0,0,0,1,2,0,4,0,3,35,6,5
105,18,30,24,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,7,3,0,43,9,5
106,19,30,21,P1 Stonekeep,3,0,1,2,0,0,0,0,0,0,1,2,0,6,0,0,45,10,5
107,20,26,19,P2 NNStonekeep,0,0,2,2,0,0,0,1,0,1,0,3,0,8,4,2,51,8,5
108,21,28,19,P1 Stonekeep,4,0,4,2,0,0,0,0,0,0,1,2,0,8,1,4,51,6,5
109,22,24,19,P2 NNStonekeep,0,0,1,2,0,0,0,1,0,2,0,3,0,8,4,0,61,10,5
110,23,22,19,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,8,2,3,58,7,5
111,24,18,17,P2 NNStonekeep,0,0,2,1,0,0,1,5,0,1,2,6,0,8,5,3,68,7,5
112,25,16,17,P1 Stonekeep,0,0,3,2,0,0,0,1,0,1,2,3,0,9,3,2,66,8,5
113,26,0,17,P2 NNStonekeep,0,0,1,1,0,1,0,3,1,0,5,4,0,9,5,6,72,4,5
114,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
115,2,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,6
116,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
117,4,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,6
118,5,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
119,6,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,6
120,7,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6
