,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNThijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1
4,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,26,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,2,2,4,2,1
6,7,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,1
7,8,27,23,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,0,8,4,1
8,9,27,19,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,10,4,1
9,10,27,21,P2 NNThijs,4,0,6,3,0,0,0,0,0,0,1,3,0,5,3,0,13,5,1
10,11,27,17,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,16,6,1
11,12,24,12,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,6,4,0,19,6,1
12,13,24,6,P1 Stonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,7,16,0,1
13,14,24,6,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,6,4,0,26,7,1
14,15,27,0,P1 Stonekeep,3,0,1,1,0,0,0,2,0,0,1,3,0,1,0,2,22,6,1
