,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNOrasha,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,28,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,26,P2 NNOrasha,0,0,3,1,0,0,0,0,0,0,1,1,0,2,3,0,7,3,1
6,7,30,26,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,5,2,1
7,8,30,26,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,3,3,1,10,3,1
8,9,30,26,P1 Thijs,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,10,5,1
9,10,30,24,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,4,4,0,15,5,1
10,11,30,20,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,4,12,2,1
11,12,30,18,P2 NNOrasha,0,0,2,2,0,0,0,0,0,0,0,2,0,6,5,0,21,6,1
12,13,30,18,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,19,7,1
13,14,30,18,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,5,0,28,7,1
14,15,30,18,P1 Thijs,0,0,1,2,0,0,0,0,0,2,0,3,0,0,0,1,26,7,1
15,16,30,1,P2 NNOrasha,0,0,1,2,0,0,0,1,0,2,1,3,0,6,5,1,35,7,1
16,17,28,1,P1 Thijs,0,0,2,1,0,0,0,2,0,1,2,3,0,0,1,0,35,9,1
17,18,28,1,P2 NNOrasha,0,0,1,2,0,0,0,2,1,2,3,4,0,6,5,0,44,9,1
18,19,28,1,P1 Thijs,0,0,1,1,0,0,0,3,3,1,4,4,0,0,1,0,45,10,1
19,20,22,1,P2 NNOrasha,0,0,1,5,0,0,0,1,1,4,1,7,0,7,5,0,54,10,1
20,21,22,1,P1 Thijs,0,0,1,2,0,0,0,1,0,2,0,3,0,0,1,0,55,10,1
21,22,-2,11,P2 NNOrasha,10,0,1,1,0,0,0,3,1,1,5,4,0,7,5,2,62,8,1
22,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
23,2,30,30,P2 NNOrasha,0,0,5,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,2
24,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
25,4,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,4,2,2
26,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
