,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,1
4,5,30,28,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,4,2,1
5,6,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,1
6,7,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,0,1
7,8,30,26,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,10,4,1
8,9,30,26,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,9,5,1
9,10,30,26,P2 NNKrebs1996,0,0,1,2,0,1,0,1,0,2,1,3,0,1,2,0,15,5,1
10,11,30,26,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,12,3,1
11,12,12,26,P2 NNKrebs1996,0,0,1,1,0,0,0,3,0,1,0,4,0,1,2,2,19,4,1
12,13,12,26,P1 Krebs1996,0,0,1,1,0,0,0,0,1,0,4,1,0,1,0,3,16,4,1
13,14,12,26,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,2,0,26,7,1
14,15,15,26,P1 Krebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,1,0,1,23,7,1
15,16,-1,26,P2 NNKrebs1996,0,0,1,0,0,0,0,3,0,0,0,3,0,1,2,8,26,0,1
16,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
17,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
18,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
19,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
20,5,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
21,6,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,2
22,7,30,26,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
23,8,25,26,P2 NNKrebs1996,0,0,1,1,0,0,1,1,0,1,0,2,0,1,2,0,11,4,2
24,9,25,24,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,5,2
25,10,24,24,P2 NNKrebs1996,0,0,1,2,0,1,0,2,0,2,1,4,0,1,2,0,16,5,2
26,11,21,21,P1 Krebs1996,0,0,1,2,0,0,0,1,1,1,4,3,0,1,0,0,15,6,2
27,12,16,21,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,2,1,21,5,2
28,13,19,21,P1 Krebs1996,3,0,1,1,0,0,0,1,0,1,1,2,0,1,0,2,20,5,2
29,14,17,19,P2 NNKrebs1996,0,0,2,1,0,0,0,2,1,1,2,3,0,1,3,0,28,7,2
30,15,15,19,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,1,0,28,8,2
31,16,10,21,P2 NNKrebs1996,4,0,2,1,0,0,0,2,0,1,3,3,0,1,4,0,36,8,2
32,17,7,22,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,2,1,2,35,7,2
33,18,0,22,P2 NNKrebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,1,4,9,36,0,2
34,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
35,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
36,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
37,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
38,5,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
39,6,30,24,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,3
40,7,30,24,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,3
41,8,30,24,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,3,1,9,3,3
42,9,30,19,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,8,4,3
43,10,30,22,P2 NNKrebs1996,3,0,1,1,0,1,0,2,0,1,2,3,0,1,3,0,14,5,3
44,11,27,19,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,2,2,0,1,0,0,14,6,3
45,12,27,21,P2 NNKrebs1996,4,0,2,0,0,0,0,0,0,0,0,0,0,1,4,4,16,2,3
46,13,27,21,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,2,19,5,3
47,14,27,21,P2 NNKrebs1996,0,0,1,3,0,0,0,0,0,3,0,3,0,1,4,0,23,7,3
48,15,30,21,P1 Krebs1996,3,0,1,1,0,0,0,2,0,1,1,3,0,1,0,3,24,5,3
49,16,30,21,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,1,3,0,1,4,0,31,8,3
50,17,30,21,P1 Krebs1996,0,0,1,2,0,0,0,1,1,1,5,3,0,2,0,1,32,8,3
51,18,27,18,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,2,4,0,40,9,3
