,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNSlage,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1
4,5,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,28,P2 NNSlage,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,4,2,1
6,7,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,28,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,8,4,1
8,9,30,24,P1 Krebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,1,8,4,1
9,10,30,24,P2 NNSlage,0,0,1,2,0,0,0,1,0,2,1,3,0,1,2,1,12,4,1
10,11,30,24,P1 Krebs1996,0,0,1,1,0,0,0,2,1,0,4,3,0,1,0,0,14,6,1
11,12,30,24,P2 NNSlage,0,0,6,2,0,0,0,0,0,1,0,2,0,2,2,0,18,6,1
12,13,30,20,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,2,19,5,1
