,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,26,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,6,2,1
6,7,30,26,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7,8,30,24,P2 NNThijs,0,0,2,1,0,0,0,0,1,1,1,1,0,1,3,0,10,4,1
8,9,30,24,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1
9,10,30,24,P2 NNThijs,0,0,1,1,0,0,0,0,1,1,1,1,0,1,3,0,15,5,1
10,11,27,21,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,8,6,1
11,12,23,28,P2 NNThijs,7,0,1,1,0,0,0,2,0,1,1,3,0,1,3,1,20,5,1
12,13,23,29,P1 Krebs1996,3,0,1,2,0,0,0,0,0,1,2,2,0,2,0,0,15,7,1
13,14,23,29,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,2,3,0,27,7,1
14,15,26,29,P1 Krebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,2,0,3,20,5,1
15,16,22,29,P2 NNThijs,0,0,5,4,0,0,0,1,1,2,2,5,0,4,3,1,34,7,1
16,17,22,29,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,4,25,5,1
17,18,22,29,P2 NNThijs,0,0,3,2,0,0,0,1,1,2,1,3,0,4,3,0,43,9,1
18,19,26,29,P1 Krebs1996,4,0,1,1,0,0,0,2,2,1,6,3,0,2,0,3,32,7,1
19,20,26,29,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,4,3,0,53,10,1
20,21,26,29,P1 Krebs1996,0,0,1,2,0,0,0,1,2,1,4,3,0,3,0,1,41,9,1
21,22,26,29,P2 NNThijs,0,0,2,4,0,0,0,0,1,3,1,6,0,5,3,0,63,10,1
22,23,26,29,P1 Krebs1996,0,0,1,2,0,0,0,2,2,2,4,4,0,3,0,2,49,8,1
23,24,26,27,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,0,2,0,5,4,0,73,10,1
24,25,26,14,P1 Krebs1996,0,0,1,2,0,0,0,4,1,2,2,6,0,3,0,0,59,10,1
25,26,26,17,P2 NNThijs,3,0,1,2,0,0,0,1,0,2,1,3,0,5,4,0,83,10,1
26,27,24,11,P1 Krebs1996,0,0,2,2,0,0,0,4,0,2,2,6,0,3,1,1,68,9,1
27,28,24,9,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,5,5,8,85,2,1
28,29,24,0,P1 Krebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,3,1,10,68,0,1
29,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
30,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
31,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
32,4,30,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,2
33,5,30,28,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,5,3,2
34,6,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,2
35,7,30,20,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,9,4,2
36,8,30,18,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,2
37,9,30,18,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,14,5,2
38,10,30,18,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,15,5,2
39,11,30,16,P1 Krebs1996,0,0,1,1,0,0,0,3,1,1,2,4,0,0,0,1,19,5,2
40,12,30,16,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,2,3,0,21,6,2
