,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNSlage,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,1
4,5,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,28,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,6,2,1
6,7,30,26,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4,3,0,1
7,8,30,26,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,2,1,0,10,4,1
8,9,30,24,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,8,5,1
9,10,30,22,P2 NNSlage,0,0,2,1,0,0,0,1,0,1,1,2,0,2,2,0,15,5,1
10,11,30,20,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,13,5,1
11,12,25,23,P2 NNSlage,3,0,1,1,0,0,0,2,1,0,3,3,0,3,2,0,21,6,1
12,13,25,23,P1 Orasha,0,0,8,4,0,0,0,0,0,1,1,4,0,3,0,0,20,7,1
13,14,25,21,P2 NNSlage,0,0,2,2,0,0,0,0,0,2,0,2,0,3,3,1,27,6,1
14,15,29,21,P1 Orasha,4,0,3,2,0,0,0,0,1,1,4,2,0,4,0,2,26,6,1
15,16,29,21,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,3,3,1,34,7,1
16,17,29,21,P1 Orasha,0,0,1,1,0,0,0,1,1,1,1,2,0,4,0,1,34,8,1
17,18,29,21,P2 NNSlage,0,0,1,3,0,0,0,1,0,3,1,4,0,3,3,0,43,9,1
18,19,29,16,P1 Orasha,0,0,1,2,0,0,0,1,0,1,2,3,0,5,0,3,41,7,1
19,20,21,16,P2 NNSlage,0,0,1,2,0,0,0,2,0,2,1,4,0,3,3,0,53,10,1
20,21,21,16,P1 Orasha,0,0,1,2,0,0,0,0,1,1,5,2,0,6,0,2,49,8,1
21,22,21,14,P2 NNSlage,0,0,2,2,0,0,0,1,0,2,1,3,0,3,4,0,63,10,1
22,23,16,14,P1 Orasha,0,0,2,2,0,0,0,0,0,1,1,2,0,7,1,3,56,7,1
23,24,6,14,P2 NNSlage,0,0,1,2,0,0,0,1,0,2,1,3,0,3,4,0,73,10,1
24,25,4,14,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,7,2,1,65,9,1
25,26,0,14,P2 NNSlage,0,0,1,0,0,0,0,2,1,0,2,2,0,3,4,10,73,0,1
26,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
27,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
28,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
29,4,30,28,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2
30,5,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
31,6,30,26,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,2
32,7,30,26,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,7,4,2
33,8,30,24,P2 NNSlage,0,0,2,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,2
34,9,30,24,P1 Orasha,0,0,1,1,0,0,0,2,2,1,3,3,0,0,0,0,12,5,2
35,10,30,28,P2 NNSlage,4,0,1,1,0,0,1,0,0,1,0,1,0,1,3,0,15,5,2
36,11,30,24,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,16,4,2
37,12,30,27,P2 NNSlage,3,0,1,1,0,1,0,1,0,0,2,2,0,2,3,0,21,6,2
38,13,30,27,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,21,5,2
