,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNStonekeep,2,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,1
4,5,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
5,6,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,1
6,7,30,28,P1 Orasha,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,4,1
7,8,30,28,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,10,4,1
8,9,30,25,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,11,5,1
9,10,30,25,P2 NNStonekeep,0,0,1,1,0,0,1,1,0,1,1,2,0,1,2,0,15,5,1
10,11,30,21,P1 Orasha,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,6,11,0,1
11,12,26,19,P2 NNStonekeep,0,0,2,1,0,1,1,2,0,1,1,3,0,1,3,0,21,6,1
12,13,26,19,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,18,7,1
13,14,6,19,P2 NNStonekeep,0,0,1,2,0,1,0,3,0,2,1,5,0,1,3,0,28,7,1
14,15,9,19,P1 Orasha,3,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,26,8,1
15,16,9,21,P2 NNStonekeep,4,0,2,1,0,0,0,0,5,1,7,1,0,1,4,0,36,8,1
16,17,9,21,P1 Orasha,0,0,1,3,0,0,0,0,0,3,0,3,0,0,0,0,35,9,1
17,18,9,19,P2 NNStonekeep,0,0,2,2,0,0,0,1,0,1,2,3,0,2,5,0,45,9,1
18,19,9,17,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,44,9,1
19,20,0,14,P2 NNStonekeep,0,0,1,1,0,0,0,2,0,0,3,3,0,3,5,6,49,4,1
20,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
21,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
22,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
23,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
24,5,30,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2
25,6,30,28,P2 NNStonekeep,4,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
26,7,30,28,P1 Orasha,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,2
27,8,30,28,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,1,3,1,9,3,2
28,9,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,2
29,10,30,28,P2 NNStonekeep,0,0,1,1,0,1,0,1,0,1,1,2,0,1,3,0,14,5,2
30,11,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,12,5,2
31,12,26,28,P2 NNStonekeep,0,0,1,2,0,0,0,2,0,1,1,4,0,2,3,0,20,6,2
32,13,26,28,P1 Orasha,0,0,7,4,0,0,0,0,0,1,1,4,0,3,0,0,19,7,2
33,14,26,26,P2 NNStonekeep,0,0,2,1,0,0,1,2,0,1,1,3,0,2,4,2,25,5,2
34,15,26,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,25,6,2
35,16,14,26,P2 NNStonekeep,0,0,1,2,0,1,0,3,0,1,1,5,0,3,4,1,32,7,2
36,17,22,26,P1 Orasha,8,0,3,2,0,0,0,0,0,1,0,2,0,4,0,3,31,6,2
37,18,6,24,P2 NNStonekeep,0,0,2,1,0,0,0,3,0,1,1,4,0,3,5,1,40,8,2
38,19,9,24,P1 Orasha,3,0,3,2,0,0,0,1,0,1,1,3,0,5,0,0,41,10,2
39,20,-1,30,P2 NNStonekeep,6,0,1,1,0,0,0,2,0,0,1,3,0,4,5,4,46,6,2
40,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
41,2,30,30,P2 NNStonekeep,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
42,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
43,4,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
44,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
45,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,3
46,7,30,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,3,3
47,8,30,26,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,3
48,9,28,24,P1 Orasha,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,1,7,4,3
49,10,28,22,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,2,4,2,13,3,3
50,11,28,22,P1 Orasha,0,0,1,1,0,0,0,0,2,1,3,1,0,0,1,0,13,6,3
51,12,28,22,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,4,1,18,5,3
52,13,28,22,P1 Orasha,0,0,7,2,0,0,0,1,0,1,1,3,0,1,1,2,18,5,3
53,14,25,19,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,0,1,2,0,4,4,1,24,6,3
54,15,29,19,P1 Orasha,4,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,25,7,3
55,16,29,23,P2 NNStonekeep,4,0,1,1,0,0,0,0,0,0,2,1,0,5,4,0,32,8,3
56,17,29,23,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,4,0,1,1,0,34,9,3
57,18,29,23,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,6,4,1,40,8,3
58,19,29,17,P1 Orasha,0,0,1,1,0,0,1,2,0,1,0,3,0,1,1,2,42,8,3
59,20,29,17,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,6,4,0,50,10,3
60,21,29,11,P1 Orasha,0,0,1,2,0,1,0,2,0,2,0,4,0,1,1,0,52,10,3
61,22,25,11,P2 NNStonekeep,0,0,1,2,0,0,0,4,2,1,5,6,0,7,4,1,59,9,3
62,23,25,11,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,61,9,3
63,24,5,14,P2 NNStonekeep,3,0,1,2,0,0,0,5,0,1,1,7,0,8,4,1,68,9,3
64,25,3,14,P1 Orasha,0,0,2,2,0,0,0,0,0,2,0,2,0,1,2,1,70,9,3
65,26,-1,14,P2 NNStonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,8,4,10,68,0,3
66,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
67,2,30,30,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
68,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
69,4,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,4
70,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
71,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,4
72,7,30,26,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,3,4
73,8,30,26,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,10,4,4
74,9,30,24,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,8,5,4
75,10,30,30,P2 NNStonekeep,6,0,3,2,0,1,0,1,0,0,1,3,0,3,2,0,15,5,4
76,11,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,14,6,4
77,12,30,30,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,0,2,2,0,4,2,0,21,6,4
78,13,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,19,5,4
79,14,30,30,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,4,2,2,26,5,4
80,15,30,26,P1 Orasha,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,3,24,5,4
81,16,30,24,P2 NNStonekeep,0,0,2,2,0,1,0,2,0,1,1,4,0,5,3,0,34,8,4
82,17,30,21,P1 Orasha,3,0,3,3,0,0,0,1,1,1,3,4,0,2,0,0,33,9,4
83,18,26,19,P2 NNStonekeep,0,0,2,1,0,0,0,1,0,1,1,2,0,5,4,1,42,8,4
84,19,26,19,P1 Orasha,0,0,1,2,0,0,0,0,0,1,2,2,0,3,0,2,41,8,4
85,20,26,19,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,5,4,0,52,10,4
86,21,25,14,P1 Orasha,4,0,2,2,0,0,0,1,0,0,6,3,0,5,1,3,48,7,4
87,22,25,12,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,1,1,0,5,5,1,61,9,4
88,23,23,12,P1 Orasha,0,0,6,3,0,0,0,0,0,1,0,3,0,7,2,0,58,10,4
89,24,19,10,P2 NNStonekeep,0,0,2,2,0,0,0,1,0,1,1,3,0,6,6,0,71,10,4
90,25,19,10,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,7,2,-2,70,12,4
91,26,9,10,P2 NNStonekeep,0,0,1,2,0,0,0,4,0,1,2,6,0,7,6,2,79,8,4
92,27,9,10,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,7,2,0,80,10,4
93,28,-2,7,P2 NNStonekeep,0,0,1,1,0,0,0,2,3,0,3,3,0,8,6,6,83,4,4
94,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
95,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,5
96,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
97,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,5
98,5,30,26,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
99,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,5
100,7,30,24,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
101,8,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,5
102,9,30,24,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,5,5
103,10,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,2,3,2,13,3,5
104,11,30,24,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,11,6,5
105,12,26,27,P2 NNStonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,3,3,0,19,6,5
106,13,26,27,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,5
107,14,22,30,P2 NNStonekeep,3,0,3,2,0,0,0,1,0,1,0,3,0,4,3,0,26,7,5
108,15,20,30,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,3,16,5,5
109,16,16,30,P2 NNStonekeep,0,0,1,2,0,0,0,2,0,1,1,4,0,5,3,0,34,8,5
110,17,13,27,P1 Orasha,0,0,1,3,0,0,0,0,0,0,2,3,0,3,1,3,22,6,5
111,18,13,27,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,5,3,1,42,8,5
112,19,11,27,P1 Orasha,0,0,2,2,0,0,0,0,0,1,3,2,0,4,2,0,32,10,5
113,20,11,30,P2 NNStonekeep,3,0,1,2,0,0,0,0,0,2,0,2,0,5,3,0,52,10,5
114,21,6,25,P1 Orasha,0,0,2,2,0,0,0,1,0,0,4,3,0,6,3,3,39,7,5
115,22,6,23,P2 NNStonekeep,0,0,2,2,0,0,1,0,0,2,0,2,0,5,4,1,61,9,5
116,23,9,21,P1 Orasha,3,0,1,1,0,0,0,2,0,1,0,3,0,6,3,5,44,5,5
117,24,9,19,P2 NNStonekeep,0,0,2,1,0,1,1,0,2,1,4,1,0,5,5,2,69,8,5
118,25,9,19,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,3,3,51,7,5
119,26,9,17,P2 NNStonekeep,0,0,2,2,0,1,0,1,0,2,1,3,0,5,6,0,79,10,5
120,27,7,9,P1 Orasha,0,0,2,1,0,0,0,1,0,1,0,2,0,6,4,6,55,4,5
121,28,7,7,P2 NNStonekeep,0,0,2,1,0,0,0,0,3,1,4,1,0,5,7,1,88,9,5
122,29,12,7,P1 Orasha,5,0,1,2,0,0,0,1,0,2,1,3,0,6,4,0,65,10,5
123,30,9,4,P2 NNStonekeep,0,0,2,3,0,0,0,0,0,1,1,3,0,7,7,0,98,10,5
124,31,14,-1,P1 Orasha,5,0,1,0,0,0,0,1,0,0,0,1,0,6,4,10,65,0,5
125,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
126,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,6
127,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
