,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNThijs,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
5,6,30,26,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,2,3,0,7,3,1
6,7,30,24,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,4,1
7,8,30,22,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,2,9,2,1
8,9,30,18,P1 Slage,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,1,10,4,1
9,10,30,18,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,4,0,14,5,1
10,11,30,12,P1 Slage,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,0,16,6,1
11,12,27,7,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,3,1,0,3,5,0,20,6,1
12,13,27,7,P1 Slage,0,0,1,1,0,0,0,0,3,1,4,1,0,0,0,3,20,4,1
13,14,27,7,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,5,0,27,7,1
14,15,30,7,P1 Slage,3,0,4,2,0,0,0,1,1,0,2,3,0,2,0,0,28,8,1
15,16,30,30,P2 NNThijs,23,0,1,1,0,0,0,0,0,1,0,1,0,3,5,1,34,7,1
16,17,25,27,P1 Slage,0,0,3,3,0,0,0,0,0,1,1,3,0,4,1,0,37,9,1
17,18,25,27,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,5,1,42,8,1
18,19,25,24,P1 Slage,0,0,1,1,0,0,0,1,1,0,4,2,0,5,1,2,45,8,1
19,20,25,24,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,5,1,51,9,1
20,21,20,21,P1 Slage,0,0,2,2,0,0,0,0,0,1,2,2,0,6,2,0,55,10,1
21,22,20,21,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,3,5,2,59,8,1
22,23,20,17,P1 Slage,0,0,1,2,0,0,0,1,1,1,4,3,0,7,2,3,62,7,1
23,24,20,17,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,3,5,0,69,10,1
24,25,18,15,P1 Slage,0,0,2,2,0,0,0,1,0,2,0,3,0,7,3,0,72,10,1
25,26,18,13,P2 NNThijs,0,0,1,2,0,0,0,2,1,2,3,5,0,3,5,0,79,10,1
26,27,18,9,P1 Slage,0,0,1,1,0,0,1,1,0,1,0,2,0,7,3,0,82,10,1
27,28,-1,9,P2 NNThijs,0,0,1,1,0,0,0,3,0,1,0,5,0,3,5,0,89,10,1
28,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
29,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
30,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
31,4,30,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2
32,5,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2
33,6,27,28,P2 NNThijs,0,0,1,2,0,0,0,1,0,1,0,3,0,2,1,0,7,3,2
34,7,27,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,2
35,8,21,26,P2 NNThijs,0,0,2,1,0,0,0,2,0,1,0,3,0,2,2,0,11,4,2
36,9,21,26,P1 Slage,0,0,1,1,0,0,0,1,1,0,4,2,0,1,0,1,10,4,2
37,10,21,26,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,0,16,5,2
38,11,24,26,P1 Slage,3,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,16,6,2
39,12,24,26,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,0,22,6,2
40,13,24,26,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,23,7,2
41,14,24,24,P2 NNThijs,0,0,2,0,0,0,0,1,1,0,1,1,0,2,3,5,24,2,2
42,15,24,20,P1 Slage,0,0,1,3,0,0,0,2,0,3,1,5,0,2,0,0,31,8,2
43,16,24,20,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,1,31,7,2
44,17,24,-3,P1 Slage,0,0,1,0,0,0,0,3,0,0,1,3,0,2,0,9,31,0,2
45,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
46,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
47,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
48,4,30,30,P2 NNThijs,2,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,3
49,5,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
50,6,30,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,3
51,7,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,3
52,8,30,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,9,3,3
53,9,30,24,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,8,4,3
54,10,30,22,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,2,3,0,14,5,3
55,11,30,18,P1 Slage,0,0,1,2,0,0,0,2,1,2,2,4,0,0,0,0,14,6,3
56,12,30,18,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,0,20,6,3
57,13,30,16,P1 Slage,0,0,1,1,0,0,0,3,0,0,2,4,0,1,0,1,20,6,3
58,14,30,16,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,0,27,7,3
59,15,30,16,P1 Slage,0,0,5,3,0,0,0,3,3,2,4,6,0,2,0,2,26,6,3
60,16,30,16,P2 NNThijs,0,0,2,2,0,0,0,0,0,1,1,2,0,3,3,0,35,8,3
61,17,30,14,P1 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,-3,38,12,3
62,18,30,14,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,3,3,0,44,9,3
63,19,30,10,P1 Slage,0,0,1,3,0,0,0,4,1,3,2,7,0,2,0,2,46,8,3
64,20,30,10,P2 NNThijs,0,0,1,2,0,0,0,2,0,2,2,4,0,3,3,1,53,9,3
65,21,30,3,P1 Slage,0,0,1,1,0,0,0,5,1,1,2,6,0,2,0,2,54,8,3
66,22,23,3,P2 NNThijs,0,0,1,1,0,0,0,3,0,1,2,4,0,3,3,2,61,8,3
67,23,23,-1,P1 Slage,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,10,54,0,3
68,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
69,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
70,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
71,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,4
72,5,30,26,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,4
73,6,30,24,P2 NNThijs,0,0,3,1,0,0,0,0,0,0,1,1,0,2,3,0,7,3,4
74,7,30,24,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,4,4
75,8,30,24,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,1,1,0,3,3,1,10,3,4
76,9,30,24,P1 Slage,0,0,5,2,0,0,0,0,0,1,0,2,0,1,0,1,11,4,4
77,10,30,27,P2 NNThijs,3,0,1,1,0,0,0,1,0,1,0,2,0,3,3,0,15,5,4
78,11,30,27,P1 Slage,0,0,1,3,0,0,0,0,0,2,0,3,0,2,0,1,16,5,4
79,12,27,27,P2 NNThijs,3,0,1,1,0,0,0,1,1,0,4,2,0,4,3,2,19,4,4
80,13,27,27,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,3,20,4,4
81,14,27,30,P2 NNThijs,3,0,1,1,0,0,0,0,0,1,0,1,0,4,3,0,26,7,4
82,15,24,27,P1 Slage,0,0,1,1,0,0,0,1,1,0,1,2,0,3,0,4,24,4,4
83,16,17,27,P2 NNThijs,0,0,3,3,0,0,0,1,0,3,0,4,0,4,3,0,34,8,4
84,17,17,27,P1 Slage,0,0,1,1,0,0,0,0,0,0,4,1,0,4,0,1,32,8,4
85,18,30,30,P2 NNThijs,3,0,1,2,0,0,0,1,0,2,0,3,0,4,3,-3,46,12,4
86,19,25,27,P1 Slage,0,0,2,2,0,0,0,0,0,1,1,2,0,5,1,1,41,9,4
87,20,17,30,P2 NNThijs,3,0,1,3,0,0,0,3,0,3,1,6,0,4,3,0,56,10,4
88,21,15,30,P1 Slage,0,0,2,2,0,0,0,0,0,2,0,2,0,5,2,2,49,8,4
89,22,11,30,P2 NNThijs,0,0,1,2,0,0,0,4,0,2,2,6,0,4,3,2,64,8,4
90,23,14,30,P1 Slage,3,0,1,1,0,0,0,0,0,0,1,1,0,6,2,4,55,6,4
91,24,0,30,P2 NNThijs,0,0,1,0,0,0,0,2,0,0,0,2,0,4,3,10,64,0,4
92,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
93,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
94,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
95,4,30,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,5
96,5,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,5
97,6,30,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,6,2,5
98,7,30,23,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,7,4,5
99,8,24,25,P2 NNThijs,4,0,6,2,0,0,0,2,0,0,1,4,0,3,2,0,10,4,5
100,9,28,21,P1 Slage,4,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,11,4,5
101,10,22,24,P2 NNThijs,3,0,1,1,0,0,0,3,0,1,1,4,0,3,2,0,15,5,5
102,11,19,17,P1 Slage,0,0,4,2,0,0,0,1,0,0,3,3,0,2,0,0,17,6,5
103,12,19,17,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,1,20,5,5
104,13,26,17,P1 Slage,7,0,1,1,0,0,0,1,0,0,1,2,0,3,0,1,23,6,5
105,14,26,17,P2 NNThijs,0,0,6,2,0,0,0,0,0,1,0,2,0,4,2,0,27,7,5
106,15,24,21,P1 Slage,0,0,3,2,0,0,0,1,1,1,2,3,0,4,1,1,30,7,5
107,16,24,21,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,0,35,8,5
108,17,27,25,P1 Slage,3,0,1,2,0,0,0,1,0,1,1,3,0,5,1,1,38,8,5
109,18,27,23,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,4,3,0,44,9,5
110,19,25,18,P1 Slage,0,0,4,3,0,0,0,2,0,2,0,5,0,6,2,0,48,10,5
111,20,25,18,P2 NNThijs,0,0,1,1,0,0,0,2,0,1,2,3,0,4,3,0,54,10,5
112,21,25,13,P1 Slage,0,0,1,2,0,0,0,2,0,2,0,4,0,6,2,6,52,4,5
113,22,25,11,P2 NNThijs,0,0,2,1,0,0,0,3,0,1,3,4,0,4,4,0,64,10,5
