,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,1
4,5,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,1
5,6,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,6,2,1
6,7,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,1
7,8,26,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,10,4,1
8,9,23,25,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,2,0,1,7,4,1
9,10,23,25,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,15,5,1
10,11,26,29,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,13,6,1
11,12,26,29,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,21,6,1
12,13,26,29,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,3,0,0,20,7,1
13,14,18,30,P2 NNKrebs1996,1,0,1,1,0,1,0,1,0,0,1,2,0,2,1,1,27,6,1
14,15,18,30,P1 Stonekeep,0,0,1,2,0,1,0,0,0,2,0,2,0,3,0,0,28,8,1
15,16,18,30,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,1,3,0,2,1,1,34,7,1
16,17,18,28,P1 Stonekeep,0,0,1,1,0,0,0,1,1,0,4,2,0,4,0,1,36,8,1
17,18,18,28,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,43,9,1
18,19,18,28,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,5,0,3,43,7,1
19,20,14,30,P2 NNKrebs1996,4,0,2,2,0,0,0,1,0,2,0,3,0,2,2,0,53,10,1
20,21,14,30,P1 Stonekeep,0,0,2,3,0,0,0,1,0,2,1,4,0,6,0,3,50,7,1
21,22,14,30,P2 NNKrebs1996,2,0,2,1,0,0,0,3,0,1,2,4,0,2,3,3,60,7,1
22,23,14,30,P1 Stonekeep,0,0,1,1,0,0,1,1,0,1,1,2,0,6,0,0,60,10,1
23,24,7,28,P2 NNKrebs1996,0,0,2,3,0,0,0,2,1,2,2,5,0,3,4,0,70,10,1
24,25,15,28,P1 Stonekeep,0,0,1,1,0,1,0,0,0,1,0,1,0,6,0,1,69,9,1
25,26,15,26,P2 NNKrebs1996,0,0,2,1,0,0,1,0,3,1,4,1,0,3,5,0,80,10,1
26,27,15,23,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,2,0,7,1,0,79,10,1
27,28,15,25,P2 NNKrebs1996,4,0,2,2,0,1,0,0,0,2,0,2,0,3,6,1,89,9,1
28,29,15,25,P1 Stonekeep,0,0,1,2,0,0,0,1,0,1,2,4,0,8,2,1,88,9,1
29,30,15,26,P2 NNKrebs1996,3,0,2,2,0,0,0,0,0,2,0,2,0,3,7,0,99,10,1
30,31,15,-1,P1 Stonekeep,0,0,1,0,0,0,0,5,0,0,0,6,0,8,2,10,88,0,1
31,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
32,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
33,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
34,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
35,5,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2
36,6,30,28,P2 NNKrebs1996,4,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
37,7,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,2
38,8,30,28,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,3,0,10,4,2
39,9,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,7,5,2
40,10,30,28,P2 NNKrebs1996,0,0,1,2,0,1,0,0,0,2,0,2,0,1,3,0,15,5,2
41,11,30,28,P1 Stonekeep,0,0,1,2,0,0,0,1,0,0,2,3,0,2,0,1,12,5,2
42,12,30,26,P2 NNKrebs1996,0,0,2,1,0,0,1,0,0,1,0,1,0,1,4,0,21,6,2
43,13,30,22,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,18,6,2
44,14,22,22,P2 NNKrebs1996,0,0,1,1,0,1,0,1,0,1,1,2,0,1,4,0,28,7,2
45,15,22,22,P1 Stonekeep,0,0,2,4,0,0,0,1,0,0,2,5,0,6,0,1,25,7,2
46,16,22,22,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,4,0,36,8,2
47,17,22,22,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,3,1,0,7,0,1,33,8,2
48,18,22,20,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,5,0,45,9,2
49,19,19,17,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,8,0,1,42,9,2
50,20,12,14,P2 NNKrebs1996,0,0,1,2,0,0,0,1,1,1,4,3,0,2,5,1,54,9,2
51,21,10,14,P1 Stonekeep,0,0,2,1,0,0,0,0,0,0,3,1,0,9,1,0,52,10,2
52,22,10,15,P2 NNKrebs1996,3,0,2,2,0,0,0,0,0,2,0,2,0,2,6,0,64,10,2
53,23,12,15,P1 Stonekeep,4,0,4,2,0,0,0,0,0,1,0,2,0,10,2,0,62,10,2
54,24,9,16,P2 NNKrebs1996,3,0,2,2,0,0,0,3,0,2,1,5,0,2,7,1,73,9,2
55,25,12,16,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,11,2,4,68,6,2
56,26,2,14,P2 NNKrebs1996,0,0,2,2,0,0,0,3,0,2,0,5,0,2,8,1,82,9,2
57,27,15,14,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,11,2,1,77,9,2
58,28,-1,15,P2 NNKrebs1996,4,0,1,1,0,0,0,3,3,0,3,4,0,3,8,6,86,4,2
59,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
60,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
61,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
62,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,3
63,5,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,3
64,6,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,3
65,7,30,28,P1 Stonekeep,0,0,2,1,0,0,0,0,0,0,1,1,0,2,0,3,4,1,3
66,8,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,11,4,3
67,9,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,9,5,3
68,10,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,1,15,4,3
69,11,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,0,15,6,3
70,12,25,30,P2 NNKrebs1996,2,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,21,6,3
71,13,25,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,22,7,3
72,14,20,30,P2 NNKrebs1996,0,0,1,1,0,0,0,3,0,1,1,4,0,1,1,2,26,5,3
73,15,20,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,3,1,0,3,0,0,30,8,3
74,16,23,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,0,34,8,3
75,17,30,30,P1 Stonekeep,7,0,3,2,0,0,0,0,0,1,0,2,0,4,0,2,37,7,3
76,18,27,28,P2 NNKrebs1996,0,0,2,2,0,0,0,2,1,1,2,4,0,2,2,1,42,8,3
77,19,30,28,P1 Stonekeep,3,0,1,2,0,0,0,0,0,1,1,2,0,5,0,0,47,10,3
78,20,26,26,P2 NNKrebs1996,0,0,2,2,0,0,0,1,0,2,0,3,0,2,3,1,51,9,3
79,21,26,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,4,1,0,6,0,2,55,8,3
80,22,26,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,2,4,1,60,9,3
81,23,26,28,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,6,0,2,63,8,3
82,24,22,29,P2 NNKrebs1996,3,0,2,2,0,0,0,1,0,1,1,3,0,3,5,0,70,10,3
83,25,17,26,P1 Stonekeep,0,0,3,2,0,1,0,0,0,0,2,2,0,8,1,3,70,7,3
84,26,17,24,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,3,6,0,80,10,3
85,27,17,24,P1 Stonekeep,0,0,1,2,0,0,0,0,1,1,2,2,0,9,1,1,79,9,3
86,28,12,22,P2 NNKrebs1996,0,0,2,1,0,0,0,1,0,1,0,2,0,3,7,3,87,7,3
87,29,10,22,P1 Stonekeep,0,0,2,2,0,0,0,0,0,1,3,2,0,10,2,0,89,10,3
88,30,7,20,P2 NNKrebs1996,0,0,2,2,0,0,1,1,0,2,0,3,0,3,8,0,97,10,3
89,31,10,18,P1 Stonekeep,3,0,1,2,0,0,0,1,0,0,2,3,0,12,2,1,98,9,3
90,32,8,21,P2 NNKrebs1996,3,0,1,2,0,1,1,1,0,2,0,3,0,3,8,0,107,10,3
91,33,8,19,P1 Stonekeep,0,0,1,2,0,0,0,1,1,1,3,3,0,13,2,1,107,9,3
92,34,0,19,P2 NNKrebs1996,0,0,1,0,0,1,0,1,0,0,0,1,0,3,8,10,107,0,3
93,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
94,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
95,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
96,4,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,4
97,5,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,3,3,4
98,6,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,4
99,7,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,4,4
100,8,25,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,11,4,4
101,9,25,24,P1 Stonekeep,0,0,2,2,0,0,0,1,0,1,1,3,0,2,0,2,10,3,4
102,10,28,22,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,0,16,5,4
103,11,28,22,P1 Stonekeep,0,0,1,1,0,0,0,0,2,1,4,1,0,2,0,1,15,5,4
