,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,1
6,7,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,1
7,8,28,26,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,2,0,11,4,1
8,9,28,26,P1 Stonekeep,0,0,1,1,0,0,0,1,1,0,3,2,0,1,0,1,10,4,1
9,10,28,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,16,5,1
10,11,30,26,P1 Stonekeep,2,0,3,2,0,0,0,0,0,0,0,2,0,3,0,0,16,6,1
11,12,26,30,P2 NNOrasha,4,0,7,2,0,0,0,1,0,1,0,3,0,2,2,1,21,5,1
12,13,26,30,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,3,0,0,23,7,1
13,14,19,30,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,0,3,0,2,2,0,28,7,1
14,15,21,30,P1 Stonekeep,4,0,2,1,0,1,0,1,0,1,1,2,0,3,1,1,30,7,1
15,16,14,22,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,1,4,0,2,2,1,35,7,1
16,17,17,26,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,2,2,0,4,1,3,36,6,1
17,18,17,22,P2 NNOrasha,0,0,1,2,0,0,1,0,0,2,1,3,0,2,2,0,44,9,1
18,19,15,20,P1 Stonekeep,0,0,1,2,0,0,0,0,0,2,1,2,0,4,1,0,46,10,1
19,20,10,16,P2 NNOrasha,0,0,1,3,0,1,0,2,0,3,1,6,0,2,2,1,53,9,1
20,21,10,12,P1 Stonekeep,0,0,1,2,0,0,0,3,0,2,5,5,0,4,1,2,54,8,1
21,22,10,10,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,2,3,2,61,8,1
22,23,15,7,P1 Stonekeep,0,0,1,1,0,0,0,0,5,1,6,2,0,4,1,1,63,9,1
23,24,11,11,P2 NNOrasha,4,0,1,1,0,0,0,1,0,1,0,2,0,2,3,0,71,10,1
24,25,11,8,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,2,2,0,5,2,0,73,10,1
25,26,11,9,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,1,3,0,2,4,3,78,7,1
26,27,14,6,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,2,0,6,3,2,81,8,1
27,28,11,6,P2 NNOrasha,0,0,1,2,0,0,0,0,0,2,0,3,0,2,5,0,88,10,1
28,29,11,0,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,6,3,10,81,0,1
29,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
30,2,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
31,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
32,4,30,28,P2 NNOrasha,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,2
33,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
34,6,30,28,P2 NNOrasha,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,4,0,2
35,7,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
36,8,30,28,P2 NNOrasha,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,6,2,2
37,9,28,28,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,1,4,4,2
38,10,28,30,P2 NNOrasha,4,0,11,1,0,0,0,0,0,0,0,1,0,2,3,1,10,4,2
39,11,28,30,P1 Stonekeep,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,9,5,2
40,12,28,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,2,4,0,16,6,2
41,13,30,20,P1 Stonekeep,2,0,1,1,0,1,0,1,0,0,1,2,0,1,1,1,15,6,2
42,14,30,18,P2 NNOrasha,0,0,10,2,0,0,0,0,0,1,0,2,0,3,5,0,23,7,2
43,15,30,10,P1 Stonekeep,0,0,1,2,0,0,0,1,0,1,1,3,0,2,1,0,23,8,2
44,16,30,10,P2 NNOrasha,0,0,1,4,0,0,0,0,0,1,0,4,0,6,5,0,31,8,2
45,17,30,10,P1 Stonekeep,0,0,2,3,0,0,0,1,0,1,1,4,0,4,1,3,29,6,2
46,18,27,5,P2 NNOrasha,0,0,3,3,0,0,0,0,0,0,3,3,0,9,6,1,39,8,2
