,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,1
6,7,30,24,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,22,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,1,4,0,10,4,1
8,9,30,18,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,4,0,1
9,10,30,16,P2 NNStonekeep,0,0,2,0,0,0,0,0,1,0,2,0,0,1,5,3,12,2,1
10,11,30,16,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,10,6,1
11,12,30,16,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,5,0,18,6,1
12,13,30,8,P1 Stonekeep,0,0,1,1,0,1,0,1,0,1,1,2,0,0,0,1,16,6,1
13,14,30,6,P2 NNStonekeep,0,0,2,2,0,0,1,0,0,1,0,2,0,2,6,1,24,6,1
14,15,30,-2,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,8,16,0,1
15,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
16,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
17,3,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
18,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
19,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,2
20,6,30,26,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,6,2,2
21,7,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2
22,8,30,26,P2 NNStonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,1,2,0,10,4,2
23,9,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,6,4,2
24,10,26,26,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,2,0,15,5,2
25,11,26,22,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,11,5,2
26,12,22,29,P2 NNStonekeep,7,0,1,1,0,0,0,2,0,0,2,3,0,2,2,0,21,6,2
27,13,26,29,P1 Stonekeep,4,0,2,2,0,0,0,0,0,1,0,2,0,1,0,0,18,7,2
28,14,18,29,P2 NNStonekeep,0,0,1,2,0,0,0,2,0,1,0,4,0,3,2,1,27,6,2
29,15,19,29,P1 Stonekeep,3,0,2,1,0,0,0,1,0,0,2,2,0,2,1,0,26,8,2
30,16,15,27,P2 NNStonekeep,0,0,2,2,0,0,0,1,0,1,0,3,0,4,3,0,35,8,2
31,17,13,27,P1 Stonekeep,0,0,2,2,0,0,0,0,0,2,0,2,0,2,2,0,35,9,2
32,18,13,27,P2 NNStonekeep,0,0,2,3,0,0,0,2,0,1,2,5,0,6,3,0,44,9,2
33,19,13,27,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,3,2,2,43,8,2
34,20,13,27,P2 NNStonekeep,0,0,2,3,0,0,0,2,0,2,4,5,0,7,3,0,54,10,2
35,21,15,24,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,2,0,3,2,1,52,9,2
36,22,12,21,P2 NNStonekeep,0,0,1,2,0,0,0,0,4,1,4,2,0,8,3,1,63,9,2
37,23,12,18,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,2,0,3,3,0,62,10,2
38,24,0,18,P2 NNStonekeep,0,0,1,0,0,0,0,3,0,0,0,3,0,8,3,10,63,0,2
39,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
40,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
41,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
42,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
43,5,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,3
44,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,3
45,7,30,24,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,2,0,3
46,8,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,3
47,9,30,24,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3
48,10,26,24,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,3,0,15,5,3
49,11,29,24,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,8,6,3
50,12,25,24,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,3,1,20,5,3
51,13,28,24,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,14,6,3
52,14,24,22,P2 NNStonekeep,0,0,2,2,0,0,1,1,0,2,0,3,0,1,4,0,27,7,3
53,15,24,22,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,2,2,0,3,0,0,22,8,3
54,16,18,20,P2 NNStonekeep,0,0,2,1,0,1,0,1,0,1,1,2,0,1,5,0,35,8,3
55,17,18,20,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,3,0,1,30,8,3
56,18,16,20,P2 NNStonekeep,0,0,1,3,0,0,0,2,0,1,1,5,0,3,5,0,44,9,3
57,19,11,17,P1 Stonekeep,0,0,2,2,0,1,0,0,0,0,2,2,0,5,1,1,39,9,3
58,20,7,21,P2 NNStonekeep,4,0,1,2,0,0,0,1,0,2,0,3,0,3,5,1,53,9,3
59,21,15,18,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,2,0,5,1,1,48,9,3
60,22,-1,18,P2 NNStonekeep,0,0,1,0,0,0,0,4,0,0,0,4,0,3,5,10,53,0,3
61,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
62,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
63,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
64,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,4
65,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
66,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,4
67,7,30,24,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
68,8,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,4
69,9,30,24,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,5,4
70,10,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,1,1,2,0,1,3,0,15,5,4
71,11,27,21,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,1,0,0,11,6,4
72,12,23,24,P2 NNStonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,2,3,0,21,6,4
73,13,26,24,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,17,6,4
74,14,26,28,P2 NNStonekeep,4,0,1,1,0,0,0,0,0,1,0,1,0,2,3,3,25,4,4
75,15,30,28,P1 Stonekeep,4,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,25,8,4
76,16,26,30,P2 NNStonekeep,2,0,1,1,0,0,0,1,0,0,1,2,0,3,3,2,31,6,4
77,17,26,30,P1 Stonekeep,0,0,1,1,0,1,0,0,0,1,0,1,0,2,0,4,30,5,4
78,18,22,28,P2 NNStonekeep,0,0,3,2,0,0,0,1,0,0,1,3,0,5,4,3,37,6,4
79,19,20,28,P1 Stonekeep,0,0,2,2,0,0,0,0,0,1,1,2,0,3,1,0,40,10,4
80,20,20,28,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,1,2,0,5,4,2,45,8,4
81,21,23,28,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,4,1,4,46,6,4
82,22,23,26,P2 NNStonekeep,0,0,2,1,0,0,0,0,1,1,1,1,0,5,5,1,54,9,4
83,23,23,26,P1 Stonekeep,0,0,1,3,0,0,0,0,0,2,1,3,0,5,1,0,56,10,4
84,24,23,28,P2 NNStonekeep,4,0,2,0,0,0,0,0,0,0,0,0,0,5,6,8,56,2,4
85,25,21,28,P1 Stonekeep,0,0,2,1,0,0,0,0,4,1,4,1,0,5,2,3,63,7,4
86,26,21,28,P2 NNStonekeep,0,0,2,3,0,0,0,0,0,1,1,3,0,7,6,1,65,9,4
87,27,21,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,3,1,0,6,2,2,71,8,4
88,28,21,26,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,7,7,3,72,7,4
89,29,21,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,10,71,0,4
90,30,9,24,P2 NNStonekeep,0,0,2,2,0,0,0,3,0,2,0,5,0,7,8,1,81,9,4
91,31,15,21,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,2,0,6,2,1,80,9,4
92,32,12,18,P2 NNStonekeep,0,0,1,2,0,0,0,0,5,1,5,2,0,8,8,1,90,9,4
93,33,12,15,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,4,2,0,7,3,4,86,6,4
94,34,12,14,P2 NNStonekeep,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,90,0,4
95,35,12,11,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,2,0,7,4,2,94,8,4
96,36,12,9,P2 NNStonekeep,0,0,0,1,0,0,0,0,0,0,2,1,0,9,8,2,98,8,4
97,37,12,6,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,2,0,7,5,4,100,6,4
98,38,12,3,P2 NNStonekeep,0,0,0,1,0,0,0,0,0,0,2,1,0,10,8,2,106,8,4
99,39,12,3,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,7,5,10,100,0,4
100,40,12,-1,P2 NNStonekeep,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,10,106,0,4
101,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
102,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,5
103,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
104,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,5
105,5,30,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,5
106,6,30,24,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,2,3,0,7,3,5
107,7,30,24,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,6,4,5
108,8,30,24,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,3,1,10,3,5
109,9,30,20,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,11,5,5
110,10,22,20,P2 NNStonekeep,0,0,1,2,0,1,1,1,0,1,0,3,0,3,3,0,15,5,5
111,11,22,16,P1 Stonekeep,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,16,5,5
112,12,14,16,P2 NNStonekeep,0,0,1,1,0,1,0,2,0,1,3,3,0,3,3,0,21,6,5
113,13,18,16,P1 Stonekeep,4,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,22,6,5
114,14,-1,13,P2 NNStonekeep,0,0,1,1,0,0,0,2,0,0,0,3,0,4,3,3,25,4,5
115,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
116,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,6
117,3,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6
118,4,30,28,P2 NNStonekeep,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,6
119,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6
120,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,6
