,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,4,2,1
4,5,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,28,P2 NNOrasha,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,1,6,2,1
6,7,30,28,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
7,8,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,8,2,1
8,9,30,26,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,5,1
9,10,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,13,5,1
10,11,30,30,P1 Thijs,0,0,2,3,0,0,0,0,0,1,1,3,0,2,0,0,11,6,1
11,12,27,25,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,2,3,0,19,6,1
12,13,30,25,P1 Thijs,3,0,4,2,0,0,0,0,2,1,2,2,0,3,0,1,17,6,1
13,14,30,25,P2 NNOrasha,0,0,1,3,0,0,0,0,0,1,1,3,0,4,3,0,26,7,1
14,15,30,25,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,2,23,6,1
15,16,30,25,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,0,2,0,4,3,0,34,8,1
16,17,30,29,P1 Thijs,0,0,1,1,0,0,0,0,1,0,4,1,0,4,0,1,31,8,1
17,18,30,30,P2 NNOrasha,1,0,1,2,0,0,0,1,0,2,0,3,0,4,3,0,43,9,1
18,19,28,30,P1 Thijs,0,0,2,1,0,0,0,1,0,1,1,2,0,4,1,0,41,10,1
19,20,25,30,P2 NNOrasha,0,0,1,3,0,0,0,1,0,2,1,4,0,5,3,0,53,10,1
20,21,26,22,P1 Thijs,4,0,2,3,0,0,0,1,2,1,5,4,0,6,1,0,51,10,1
21,22,26,22,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,3,4,59,6,1
22,23,29,17,P1 Thijs,3,0,1,1,0,0,0,1,0,0,1,2,0,7,1,4,57,6,1
23,24,29,12,P2 NNOrasha,0,0,3,1,0,0,0,0,0,1,0,1,0,5,4,1,68,9,1
24,25,30,0,P1 Thijs,1,0,1,1,0,0,0,2,0,0,1,3,0,8,1,4,63,6,1
25,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
26,2,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
27,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
28,4,30,28,P2 NNOrasha,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,2
29,5,30,28,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2
30,6,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,2
31,7,30,23,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,5,3,2
