,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,24,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,1
5,6,30,22,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,1
6,7,30,17,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,7,2,1
7,8,27,14,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,3,1,0,2,3,0,10,4,1
8,9,27,14,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,12,5,1
9,10,27,16,P2 NNKrebs1996,4,0,2,1,0,0,1,0,0,1,0,1,0,2,4,0,15,5,1
10,11,27,11,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,16,4,1
11,12,27,11,P2 NNKrebs1996,0,0,1,2,0,1,0,1,0,2,1,3,0,2,4,0,21,6,1
12,13,27,11,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,1
13,14,27,9,P2 NNKrebs1996,0,0,2,2,0,0,1,0,3,2,4,2,0,2,5,0,28,7,1
14,15,29,9,P1 Krebs1996,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,18,2,1
15,16,29,9,P2 NNKrebs1996,0,0,1,2,0,1,0,0,2,2,2,2,0,2,5,0,36,8,1
16,17,29,9,P1 Krebs1996,0,0,1,3,0,0,0,0,0,3,0,3,0,0,1,1,26,8,1
17,18,29,9,P2 NNKrebs1996,0,0,1,2,0,0,0,2,1,2,4,4,0,2,5,0,45,9,1
18,19,26,6,P1 Krebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,1,1,1,35,9,1
19,20,25,9,P2 NNKrebs1996,3,0,1,2,0,0,0,3,1,2,2,5,0,2,5,0,55,10,1
20,21,25,9,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,3,42,7,1
21,22,8,7,P2 NNKrebs1996,0,0,2,1,0,0,0,4,0,1,0,5,0,2,6,5,60,5,1
22,23,8,3,P1 Krebs1996,0,0,1,2,0,0,0,1,1,1,6,3,0,2,1,4,48,6,1
23,24,8,3,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,2,6,0,70,10,1
24,25,6,3,P1 Krebs1996,0,0,2,1,0,0,0,1,1,1,1,2,0,2,2,3,55,7,1
25,26,-1,4,P2 NNKrebs1996,4,0,1,1,0,0,0,1,1,0,1,2,0,3,6,6,74,4,1
26,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
27,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
28,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
29,4,30,30,P2 NNKrebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,4,2,2
30,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,2
31,6,30,30,P2 NNKrebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,7,3,2
32,7,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,2
33,8,30,30,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,11,4,2
34,9,27,27,P1 Krebs1996,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,1,10,4,2
35,10,27,27,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,15,4,2
36,11,27,27,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,15,5,2
37,12,27,27,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,21,6,2
38,13,27,27,P1 Krebs1996,0,0,1,1,0,0,0,1,1,1,3,2,0,1,0,0,22,7,2
39,14,27,30,P2 NNKrebs1996,3,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,27,6,2
40,15,27,30,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,1,29,7,2
41,16,27,30,P2 NNKrebs1996,2,0,2,2,0,0,0,0,0,2,0,2,0,2,1,0,35,8,2
42,17,28,30,P1 Krebs1996,3,0,2,2,0,0,0,2,1,2,3,4,0,1,1,0,38,9,2
43,18,28,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,1,2,0,2,1,1,43,8,2
44,19,25,23,P1 Krebs1996,0,0,1,2,0,0,0,2,0,1,2,4,0,2,1,3,45,7,2
45,20,25,21,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,2,2,1,52,9,2
46,21,25,17,P1 Krebs1996,0,0,1,1,0,0,1,3,0,1,1,4,0,2,1,0,55,10,2
47,22,20,20,P2 NNKrebs1996,3,0,1,2,0,0,0,4,0,2,3,6,0,2,2,1,61,9,2
48,23,18,20,P1 Krebs1996,0,0,2,2,0,1,0,1,0,2,1,3,0,2,2,2,63,8,2
49,24,4,23,P2 NNKrebs1996,3,0,1,1,0,0,1,4,0,1,0,5,0,2,2,0,71,10,2
50,25,12,18,P1 Krebs1996,4,0,1,1,0,0,0,3,1,1,4,5,0,2,2,1,72,9,2
51,26,0,18,P2 NNKrebs1996,0,0,1,0,0,1,0,2,0,0,0,2,0,2,2,10,71,0,2
