,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,30,24,P2 NNOrasha,0,0,3,1,0,0,0,0,0,0,1,1,0,2,3,0,7,3,1
6,7,28,24,P1 Krebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,7,4,1
7,8,28,24,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,1,2,0,3,3,0,11,4,1
8,9,28,24,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,12,5,1
9,10,28,24,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,3,0,16,5,1
10,11,30,28,P1 Krebs1996,2,0,1,1,0,0,0,1,0,0,2,2,0,1,1,0,18,6,1
11,12,30,28,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,4,3,0,22,6,1
12,13,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,2,1,0,1,1,0,25,7,1
13,14,30,29,P2 NNOrasha,3,0,2,1,0,0,0,1,0,1,0,2,0,4,4,0,29,7,1
14,15,30,30,P1 Krebs1996,0,0,1,2,0,0,0,1,1,2,2,3,0,1,1,1,32,7,1
15,16,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,2,0,2,0,4,4,0,37,8,1
16,17,27,30,P1 Krebs1996,0,0,1,2,0,0,0,2,1,1,3,4,0,2,1,1,40,8,1
17,18,27,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,4,5,0,46,9,1
18,19,27,26,P1 Krebs1996,0,0,1,2,0,0,0,2,2,1,3,4,0,3,1,1,49,9,1
19,20,27,24,P2 NNOrasha,0,0,2,1,0,0,0,1,0,1,1,2,0,4,6,0,56,10,1
20,21,28,18,P1 Krebs1996,3,0,2,1,0,0,0,3,0,1,1,4,0,3,2,3,56,7,1
21,22,28,16,P2 NNOrasha,0,0,2,2,0,0,0,0,0,2,0,2,0,4,7,0,66,10,1
22,23,29,7,P1 Krebs1996,3,0,2,2,0,0,0,3,0,2,0,5,0,3,3,0,66,10,1
23,24,30,5,P2 NNOrasha,0,0,2,1,0,0,0,2,1,1,3,3,0,4,8,0,76,10,1
24,25,27,-2,P1 Krebs1996,0,0,1,1,0,0,0,3,1,0,3,4,0,4,3,6,70,4,1
25,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
26,2,30,30,P2 NNOrasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
27,3,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
28,4,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,2
29,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
30,6,28,28,P2 NNOrasha,0,0,3,1,0,0,0,1,0,0,1,2,0,2,1,0,6,3,2
31,7,30,28,P1 Krebs1996,2,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,6,3,2
32,8,25,25,P2 NNOrasha,0,0,1,1,0,0,0,1,0,0,1,2,0,3,1,0,10,4,2
33,9,28,25,P1 Krebs1996,3,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,11,5,2
34,10,28,30,P2 NNOrasha,5,0,1,1,0,0,0,1,0,1,1,2,0,3,1,0,15,5,2
35,11,28,30,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,17,6,2
36,12,28,30,P2 NNOrasha,2,0,2,0,0,0,0,1,0,0,0,1,0,3,2,4,17,2,2
37,13,28,30,P1 Krebs1996,0,0,1,2,0,0,0,0,2,2,3,2,0,0,0,0,24,7,2
38,14,28,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,4,2,0,24,7,2
39,15,30,28,P1 Krebs1996,2,0,1,2,0,0,0,2,1,2,2,4,0,0,0,1,31,7,2
40,16,27,25,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,2,2,0,5,2,1,31,7,2
41,17,27,22,P1 Krebs1996,3,0,1,2,0,0,0,1,1,1,2,3,0,1,0,0,40,9,2
42,18,27,22,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,2,1,39,8,2
43,19,27,18,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,7,43,3,2
44,20,17,20,P2 NNOrasha,4,0,7,2,0,0,0,5,1,1,3,7,0,6,3,1,48,9,2
45,21,15,20,P1 Krebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,8,45,2,2
46,22,15,24,P2 NNOrasha,4,0,1,2,0,0,0,0,4,2,4,2,0,6,3,0,58,10,2
47,23,12,21,P1 Krebs1996,0,0,1,3,0,0,0,0,0,2,0,3,0,2,1,2,53,8,2
48,24,0,21,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,0,4,0,6,3,8,60,2,2
49,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
