,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,23,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,1
5,6,30,21,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,1
6,7,30,13,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,9,4,1
7,8,27,10,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,2,3,0,10,4,1
8,9,27,6,P1 Krebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,14,5,1
9,10,27,8,P2 NNStonekeep,4,0,2,1,0,0,1,0,0,1,0,1,0,2,4,0,15,5,1
10,11,27,0,P1 Krebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,6,14,0,1
11,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
12,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
13,3,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
14,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
15,5,30,26,P1 Krebs1996,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,3,2
16,6,30,26,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,0,1,0,2,2,1,6,2,2
17,7,28,23,P1 Krebs1996,0,0,2,1,0,0,0,1,0,1,0,2,0,0,1,0,9,4,2
18,8,28,23,P2 NNStonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,2,0,10,4,2
19,9,28,18,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,0,1,2,12,3,2
20,10,28,16,P2 NNStonekeep,0,0,2,1,0,1,1,1,0,1,1,2,0,2,3,0,15,5,2
21,11,28,7,P1 Krebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,0,1,2,16,4,2
22,12,20,15,P2 NNStonekeep,8,0,3,2,0,1,0,2,0,0,2,4,0,4,3,0,21,6,2
23,13,17,12,P1 Krebs1996,0,0,1,2,0,0,0,1,1,1,3,3,0,1,1,1,22,6,2
24,14,17,12,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,4,3,0,28,7,2
25,15,17,12,P1 Krebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,0,30,8,2
26,16,17,13,P2 NNStonekeep,3,0,2,1,0,0,0,1,0,0,2,2,0,5,4,0,36,8,2
27,17,15,13,P1 Krebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,2,37,7,2
28,18,15,13,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,5,4,0,45,9,2
29,19,18,9,P1 Krebs1996,3,0,1,2,0,0,0,1,0,2,0,3,0,1,2,2,45,8,2
30,20,18,7,P2 NNStonekeep,0,0,3,2,0,0,0,2,2,1,7,4,0,6,5,0,55,10,2
31,21,16,7,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,3,4,51,6,2
32,22,9,15,P2 NNStonekeep,0,0,1,1,0,0,0,2,0,1,1,4,0,6,5,1,64,9,2
33,23,11,13,P1 Krebs1996,4,0,2,1,0,0,0,1,1,1,3,2,0,1,4,1,60,9,2
34,24,5,10,P2 NNStonekeep,0,0,2,3,0,0,0,0,0,1,1,4,0,8,5,0,74,10,2
35,25,3,10,P1 Krebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,1,5,1,69,9,2
36,26,-1,13,P2 NNStonekeep,3,0,1,1,0,0,0,2,0,0,1,3,0,9,5,4,80,6,2
37,1,30,30,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
38,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
39,3,30,28,P1 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
40,4,30,30,P2 NNStonekeep,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
41,5,30,30,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,3
42,6,30,28,P2 NNStonekeep,0,0,3,1,0,0,0,0,0,0,1,1,0,2,3,0,7,3,3
43,7,30,28,P1 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,4,3
