,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNOrasha,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,1
4,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,28,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,1
6,7,30,28,P1 Orasha,0,0,7,2,0,0,0,0,0,0,0,2,0,2,0,1,3,3,1
7,8,28,28,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,10,3,1
8,9,25,25,P1 Orasha,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,1,7,4,1
9,10,21,25,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,0,3,0,1,1,0,15,5,1
10,11,23,25,P1 Orasha,4,0,6,3,0,0,0,0,0,0,2,3,0,6,1,0,13,6,1
11,12,19,29,P2 NNOrasha,4,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,21,6,1
12,13,19,29,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,6,1,1,19,6,1
13,14,22,30,P2 NNOrasha,3,0,2,1,0,0,0,3,0,1,2,4,0,1,2,0,28,7,1
14,15,22,30,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,6,1,0,27,8,1
15,16,19,30,P2 NNOrasha,0,0,10,3,0,0,0,3,1,1,3,6,0,3,2,1,35,7,1
16,17,19,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,6,1,3,33,6,1
17,18,7,30,P2 NNOrasha,0,0,9,2,0,0,0,3,0,1,0,5,0,4,2,0,44,9,1
18,19,5,30,P1 Orasha,0,0,2,1,0,0,0,0,1,1,5,1,0,6,2,1,42,9,1
19,20,-1,30,P2 NNOrasha,0,0,1,1,0,0,1,1,0,1,0,2,0,4,2,4,50,6,1
20,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
21,2,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
22,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
23,4,30,28,P2 NNOrasha,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,4,2,2
24,5,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,2
25,6,30,28,P2 NNOrasha,0,0,1,2,0,0,0,0,0,0,0,2,0,3,1,0,7,3,2
26,7,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,2
27,8,30,26,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,3,2,0,11,4,2
28,9,30,26,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2
29,10,30,28,P2 NNOrasha,4,0,2,0,0,0,0,0,1,0,2,0,0,3,3,3,13,2,2
30,11,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,6,3,2
31,12,30,28,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,4,3,0,19,6,2
32,13,30,30,P1 Orasha,2,0,2,1,0,0,0,2,0,1,1,3,0,0,1,0,13,7,2
33,14,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,3,0,26,7,2
34,15,30,30,P1 Orasha,0,0,1,4,0,0,0,2,0,0,0,6,0,4,1,0,21,8,2
35,16,30,30,P2 NNOrasha,0,0,1,1,0,0,1,0,0,1,0,1,0,4,3,1,33,7,2
36,17,26,28,P1 Orasha,0,0,3,2,0,0,0,0,0,1,1,2,0,5,2,1,29,8,2
37,18,30,26,P2 NNOrasha,0,0,2,1,0,1,0,1,0,1,1,2,0,4,4,0,42,9,2
38,19,25,21,P1 Orasha,0,0,1,2,0,0,0,0,0,1,2,2,0,6,2,2,37,8,2
39,20,25,19,P2 NNOrasha,0,0,3,2,0,0,0,0,0,1,0,2,0,5,5,1,51,9,2
40,21,26,16,P1 Orasha,3,0,2,2,0,0,0,1,0,2,0,3,0,6,3,0,47,10,2
41,22,26,16,P2 NNOrasha,0,0,1,2,0,0,0,0,0,2,0,2,0,5,5,1,60,9,2
42,23,27,6,P1 Orasha,3,0,2,2,0,0,0,3,0,2,0,5,0,6,4,-7,64,17,2
43,24,30,30,P2 NNOrasha,24,0,1,1,0,0,0,2,0,1,2,3,0,5,5,0,70,10,2
44,25,30,20,P1 Orasha,0,0,1,2,0,0,0,4,0,2,2,6,0,6,4,-3,77,13,2
45,26,30,18,P2 NNOrasha,0,0,2,2,0,0,0,1,0,2,1,3,0,5,6,0,80,10,2
46,27,30,0,P1 Orasha,0,0,1,0,0,0,0,3,0,0,0,3,0,6,4,10,77,0,2
47,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
48,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
49,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
50,4,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
51,5,30,26,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
52,6,30,24,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,3
53,7,30,24,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,3
54,8,30,22,P2 NNOrasha,0,0,2,2,0,0,0,0,0,0,1,2,0,3,4,0,10,4,3
55,9,30,22,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,7,3,3
56,10,30,22,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,3,4,0,15,5,3
