,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNThijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1
4,5,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,28,P2 NNThijs,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,1
6,7,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,30,P2 NNThijs,2,0,1,2,0,0,0,1,0,1,0,3,0,1,2,0,9,4,1
8,9,30,30,P1 Orasha,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,9,5,1
9,10,30,30,P2 NNThijs,0,0,2,2,0,0,0,0,0,0,1,2,0,3,2,1,13,4,1
10,11,30,30,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,14,5,1
11,12,30,30,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,1,1,0,4,2,0,19,6,1
12,13,28,30,P1 Orasha,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,3,18,4,1
13,14,28,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,5,21,2,1
14,15,28,28,P1 Orasha,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,25,7,1
15,16,28,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,3,1,28,7,1
16,17,8,28,P1 Orasha,0,0,1,1,0,0,0,1,0,1,1,3,0,0,1,0,34,9,1
17,18,8,26,P2 NNThijs,0,0,2,2,0,0,0,0,0,2,0,2,0,4,4,2,35,7,1
18,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
19,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
20,3,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
21,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
22,5,30,26,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
23,6,30,28,P2 NNThijs,4,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
24,7,30,28,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2
25,8,30,26,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,1,4,0,10,4,2
26,9,30,26,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2
27,10,30,26,P2 NNThijs,0,0,10,2,0,0,0,0,1,1,1,2,0,2,4,1,14,4,2
28,11,30,23,P1 Orasha,3,0,7,2,0,0,0,0,0,0,1,2,0,2,0,0,6,6,2
29,12,30,23,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,4,0,20,6,2
30,13,30,23,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,13,7,2
31,14,26,23,P2 NNThijs,0,0,2,3,0,0,0,1,1,2,2,4,0,3,4,1,26,6,2
32,15,26,23,P1 Orasha,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,21,8,2
33,16,23,23,P2 NNThijs,0,0,1,1,0,0,0,3,0,1,1,4,0,3,4,0,34,8,2
34,17,23,23,P1 Orasha,0,0,2,2,0,0,0,1,0,2,1,3,0,2,0,1,29,8,2
35,18,0,12,P2 NNThijs,0,0,9,2,0,0,0,4,0,0,5,6,0,5,4,3,40,6,2
36,1,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
37,2,30,30,P2 NNThijs,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
38,3,30,30,P1 Orasha,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
39,4,30,28,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,3
40,5,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,3
41,6,30,28,P2 NNThijs,0,0,2,3,0,0,0,0,1,1,2,3,0,3,1,0,7,3,3
42,7,30,28,P1 Orasha,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,4,3
43,8,27,25,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,0,1,0,4,1,0,11,4,3
44,9,30,22,P1 Orasha,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,10,3,3
45,10,30,29,P2 NNThijs,7,0,1,1,0,0,0,1,0,1,1,2,0,4,1,0,16,5,3
46,11,28,29,P1 Orasha,0,0,2,2,0,0,0,1,0,0,1,3,0,2,1,0,16,6,3
