,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,1
6,7,30,26,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,30,26,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,11,4,1
8,9,30,22,P1 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,1,8,4,1
9,10,30,22,P2 NNKrebs1996,0,0,1,1,0,1,0,2,1,1,3,3,0,1,2,1,15,4,1
10,11,30,22,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,12,4,1
11,12,28,24,P2 NNKrebs1996,4,0,2,1,0,0,1,2,0,1,1,3,0,1,3,0,21,6,1
12,13,28,24,P1 Slage,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,1,18,6,1
13,14,12,24,P2 NNKrebs1996,0,0,1,2,0,1,0,2,0,2,0,4,0,1,3,0,28,7,1
14,15,12,19,P1 Slage,0,0,1,2,0,0,0,2,2,0,6,4,0,2,0,0,26,8,1
15,16,12,25,P2 NNKrebs1996,6,0,1,2,0,0,0,1,0,2,1,3,0,1,3,0,36,8,1
16,17,9,22,P1 Slage,0,0,1,2,0,0,0,0,0,1,2,2,0,3,0,1,34,8,1
17,18,6,17,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,1,1,2,0,2,4,0,45,9,1
18,19,6,17,P1 Slage,0,0,1,2,0,0,0,0,0,1,1,2,0,4,0,0,44,10,1
19,20,6,15,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,2,5,3,52,7,1
20,21,8,12,P1 Slage,4,0,2,0,0,0,0,1,0,0,0,1,0,4,1,8,46,2,1
21,22,0,12,P2 NNKrebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,2,5,10,52,0,1
22,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
23,2,30,30,P2 NNKrebs1996,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
24,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
25,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
26,5,30,25,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,2
27,6,30,25,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,2
