,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
5,6,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,1
6,7,27,23,P1 Slage,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,1
7,8,27,23,P2 NNOrasha,0,0,1,1,0,0,0,1,1,1,2,2,0,1,2,0,11,4,1
8,9,27,23,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,10,4,1
9,10,24,26,P2 NNOrasha,3,0,1,1,0,0,0,1,0,1,0,2,0,1,2,0,16,5,1
10,11,27,30,P1 Slage,3,0,1,1,0,0,0,1,0,0,2,2,0,2,0,0,16,6,1
11,12,27,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,22,6,1
12,13,27,30,P1 Slage,0,0,1,1,0,0,1,0,0,1,0,1,0,2,0,0,23,7,1
13,14,27,30,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,1,2,0,1,2,0,29,7,1
14,15,27,22,P1 Slage,0,0,1,2,0,1,0,1,1,1,3,3,0,3,0,0,31,8,1
15,16,27,22,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,37,8,1
16,17,25,22,P1 Slage,0,0,6,4,0,0,0,0,0,2,0,4,0,5,1,0,40,9,1
17,18,25,22,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,2,3,0,1,2,0,46,9,1
18,19,25,22,P1 Slage,0,0,1,2,0,0,0,1,1,2,1,3,0,5,1,0,50,10,1
19,20,21,22,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,1,3,0,1,2,0,56,10,1
20,21,21,22,P1 Slage,0,0,1,2,0,0,0,1,1,2,2,3,0,5,1,0,60,10,1
21,22,16,20,P2 NNOrasha,0,0,2,2,0,0,0,2,0,2,1,4,0,1,3,0,66,10,1
22,23,16,0,P1 Slage,0,0,1,1,0,0,0,5,0,1,0,6,0,5,1,6,64,4,1
23,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
24,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
25,3,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
26,4,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
27,5,30,26,P1 Slage,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,2
28,6,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,2
29,7,30,26,P1 Slage,0,0,5,2,0,0,0,0,0,1,0,2,0,1,0,0,6,4,2
30,8,30,26,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,1,2,0,1,2,0,11,4,2
31,9,30,26,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,10,4,2
32,10,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,16,5,2
33,11,30,26,P1 Slage,0,0,5,2,0,0,0,1,0,1,1,3,0,2,0,0,16,6,2
34,12,30,29,P2 NNOrasha,3,0,1,1,0,0,0,2,0,1,0,3,0,1,2,0,22,6,2
35,13,30,28,P1 Slage,0,0,1,1,0,0,0,2,1,1,2,3,0,2,0,3,20,4,2
36,14,24,29,P2 NNOrasha,3,0,2,1,0,0,0,3,0,1,2,4,0,1,3,0,29,7,2
37,15,24,29,P1 Slage,0,0,1,1,0,0,0,0,0,0,3,1,0,3,0,0,28,8,2
38,16,24,29,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,37,8,2
39,17,24,29,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9,28,0,2
40,18,24,27,P2 NNOrasha,0,0,11,2,0,0,0,0,2,1,2,2,0,2,4,0,46,9,2
41,19,22,27,P1 Slage,0,0,2,2,0,0,0,0,0,1,0,2,0,4,1,0,38,10,2
42,20,22,29,P2 NNOrasha,4,0,2,3,0,0,0,1,1,1,2,4,0,4,5,0,56,10,2
43,21,22,29,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,4,1,0,48,10,2
44,22,13,30,P2 NNOrasha,4,0,7,6,0,0,0,1,0,1,0,7,0,9,5,-2,68,12,2
45,23,13,30,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,4,1,3,55,2,2
46,24,-2,30,P2 NNOrasha,0,0,1,0,0,0,0,2,0,0,0,2,0,9,5,6,68,0,2
47,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
48,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
49,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
50,4,30,30,P2 NNOrasha,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
51,5,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,3
52,6,30,28,P2 NNOrasha,0,0,3,1,0,0,0,0,0,0,1,1,0,2,3,0,7,3,3
53,7,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,4,3
54,8,30,28,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,1,10,3,3
55,9,30,28,P1 Slage,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,12,5,3
56,10,30,30,P2 NNOrasha,2,0,1,1,0,0,0,2,1,1,2,3,0,2,3,0,15,5,3
57,11,30,30,P1 Slage,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,2,16,4,3
58,12,30,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,3,3,0,21,6,3
59,13,27,27,P1 Slage,0,0,1,1,0,0,0,1,1,0,2,2,0,2,0,3,20,4,3
