,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 NNSlage,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,4,2,1
4,5,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1
5,6,27,28,P2 NNSlage,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,1,6,2,1
6,7,27,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,1
7,8,27,28,P2 NNSlage,2,0,2,1,0,0,0,0,0,1,0,1,0,1,2,0,10,4,1
8,9,27,24,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,10,4,1
9,10,27,22,P2 NNSlage,0,0,2,1,0,0,0,0,0,1,0,1,0,1,3,1,14,4,1
10,11,24,15,P1 Slage,0,0,1,2,0,0,0,2,1,1,4,4,0,1,0,0,16,6,1
11,12,24,13,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,4,16,2,1
12,13,24,13,P1 Slage,0,0,1,1,0,0,0,0,2,1,2,1,0,1,0,0,23,7,1
13,14,24,13,P2 NNSlage,0,0,1,2,0,0,1,0,0,2,0,2,0,1,4,0,23,7,1
14,15,24,6,P1 Slage,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,31,8,1
15,16,24,6,P2 NNSlage,0,0,1,1,0,1,0,2,0,1,2,3,0,1,4,1,30,7,1
16,17,24,6,P1 Slage,0,0,1,2,0,0,1,1,1,2,1,3,0,1,0,1,39,8,1
17,18,10,4,P2 NNSlage,0,0,3,3,0,0,0,2,0,3,0,5,0,1,4,-4,43,13,1
18,19,10,-4,P1 Slage,0,0,1,0,0,1,0,2,1,0,2,2,0,1,0,10,39,0,1
19,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
20,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
21,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
22,4,30,28,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,2
23,5,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2
24,6,30,28,P2 NNSlage,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,6,2,2
25,7,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,2
26,8,30,28,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,10,4,2
27,9,30,28,P1 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,2,7,3,2
28,10,30,28,P2 NNSlage,0,0,1,1,0,0,0,1,1,1,2,2,0,1,1,1,14,4,2
29,11,30,28,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,2,11,4,2
30,12,30,30,P2 NNSlage,2,0,1,1,0,0,0,0,0,0,1,1,0,2,1,0,20,6,2
31,13,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,18,7,2
32,14,30,30,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,27,7,2
33,15,28,20,P1 Slage,0,0,2,2,0,0,1,4,1,2,2,6,0,0,1,2,24,6,2
34,16,28,20,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,0,35,8,2
35,17,28,10,P1 Slage,0,0,1,1,0,1,0,3,0,1,1,4,0,0,1,0,33,9,2
36,18,28,8,P2 NNSlage,0,0,2,2,0,0,0,0,0,2,0,2,0,2,2,0,44,9,2
37,19,28,-1,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,10,33,0,2
38,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
39,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
40,3,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
41,4,30,28,P2 NNSlage,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
42,5,30,28,P1 Slage,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,3
43,6,30,28,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,6,2,3
44,7,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,4,3
45,8,30,28,P2 NNSlage,0,0,1,1,0,0,0,1,1,1,1,2,0,1,2,0,10,4,3
