,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,1
4,5,30,28,P1 Slage,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,4,2,1
5,6,30,26,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,0,7,3,1
6,7,30,24,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,8,4,1
7,8,27,21,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,0,11,4,1
8,9,27,17,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,12,4,1
9,10,27,17,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,0,16,5,1
10,11,27,21,P1 Slage,0,0,5,2,0,0,0,2,1,1,2,4,0,1,0,0,18,6,1
11,12,27,21,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,1,21,5,1
12,13,27,21,P1 Slage,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,1,24,6,1
13,14,27,21,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,3,1,0,3,2,0,28,7,1
14,15,28,21,P1 Slage,3,0,2,1,0,0,0,0,0,1,0,1,0,1,1,4,28,4,1
15,16,28,22,P2 NNThijs,3,0,2,1,0,0,0,2,0,1,1,3,0,3,3,1,35,7,1
16,17,23,19,P1 Slage,0,0,2,3,0,0,0,0,0,1,1,3,0,3,2,0,37,9,1
17,18,19,23,P2 NNThijs,4,0,8,2,0,0,0,1,0,1,0,3,0,4,3,0,44,9,1
18,19,14,20,P1 Slage,0,0,2,2,0,0,0,1,1,1,2,3,0,4,3,1,46,9,1
19,20,7,18,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,0,2,0,4,4,0,54,10,1
20,21,12,13,P1 Slage,7,0,2,1,0,0,0,1,0,0,1,2,0,5,4,2,54,8,1
21,22,-4,13,P2 NNThijs,0,0,1,1,0,0,0,2,0,1,0,3,0,4,4,0,64,10,1
22,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
23,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
24,3,30,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
25,4,27,28,P2 NNThijs,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,2
26,5,27,28,P1 Slage,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,1,4,2,2
27,6,27,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,2
28,7,27,26,P1 Slage,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8,4,2
29,8,27,24,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,2
30,9,27,24,P1 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,12,4,2
31,10,24,21,P2 NNThijs,0,0,1,2,0,0,0,0,0,0,1,2,0,3,3,0,15,5,2
32,11,24,17,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,3,15,3,2
33,12,24,17,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,3,1,20,5,2
34,13,24,13,P1 Slage,0,0,1,1,0,0,0,2,1,1,2,3,0,0,0,3,19,4,2
35,14,24,13,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,2,1,0,3,3,0,27,7,2
36,15,24,13,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,26,7,2
37,16,20,18,P2 NNThijs,7,0,2,1,0,0,0,1,0,0,1,2,0,4,4,0,35,8,2
38,17,20,18,P1 Slage,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,1,34,8,2
39,18,20,19,P2 NNThijs,3,0,2,1,0,0,0,0,0,0,1,1,0,5,5,1,43,8,2
40,19,20,19,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,3,41,7,2
41,20,20,23,P2 NNThijs,4,0,9,2,0,0,0,3,3,1,3,5,0,6,5,0,53,10,2
42,21,20,7,P1 Slage,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,50,9,2
43,22,11,17,P2 NNThijs,12,0,15,4,0,0,0,4,3,1,5,8,0,9,6,1,62,9,2
44,23,9,17,P1 Slage,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,60,10,2
45,24,0,14,P2 NNThijs,0,0,1,1,0,0,0,1,1,0,8,2,0,10,6,6,66,4,2
46,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
47,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
48,3,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
49,4,27,30,P2 NNThijs,0,0,4,1,0,0,0,1,0,0,0,2,0,2,0,1,3,1,3
50,5,27,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
51,6,24,30,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,1,5,2,3
52,7,24,30,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,3
53,8,24,28,P2 NNThijs,0,0,2,1,0,0,0,2,2,1,3,3,0,2,1,0,9,4,3
54,9,24,28,P1 Slage,0,0,7,1,0,0,0,0,0,0,0,1,0,1,0,3,6,2,3
55,10,24,28,P2 NNThijs,0,0,1,1,0,0,0,0,1,1,1,1,0,2,1,0,14,5,3
56,11,28,28,P1 Slage,4,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,12,6,3
57,12,28,29,P2 NNThijs,3,0,3,2,0,0,0,1,1,1,3,3,0,3,2,0,20,6,3
58,13,28,29,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,16,4,3
59,14,25,30,P2 NNThijs,1,0,1,1,0,0,0,1,0,0,1,2,0,4,2,1,26,6,3
60,15,22,27,P1 Slage,0,0,1,2,0,0,0,0,0,1,1,2,0,2,0,0,24,8,3
61,16,22,27,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,1,33,7,3
62,17,25,23,P1 Slage,3,0,1,2,0,0,0,1,0,1,1,3,0,3,0,1,32,8,3
63,18,25,23,P2 NNThijs,0,0,1,2,0,0,0,1,0,2,1,3,0,4,2,1,41,8,3
64,19,30,23,P1 Slage,7,0,3,2,0,0,0,0,0,0,2,2,0,5,1,1,41,9,3
65,20,30,21,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,1,2,0,4,3,0,51,10,3
66,21,30,21,P1 Slage,0,0,1,1,0,0,0,0,0,0,1,1,0,6,1,2,49,8,3
67,22,24,21,P2 NNThijs,0,0,1,2,0,0,0,1,0,2,0,3,0,4,3,0,61,10,3
68,23,22,19,P1 Slage,0,0,2,2,0,0,0,2,0,2,0,4,0,6,2,3,56,7,3
69,24,7,17,P2 NNThijs,0,0,2,1,0,0,0,2,0,1,0,3,0,4,4,1,70,9,3
70,25,7,17,P1 Slage,0,0,1,1,0,0,0,0,3,1,7,1,0,6,2,3,63,7,3
71,26,7,15,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,2,0,4,5,2,78,8,3
72,27,7,8,P1 Slage,0,0,1,3,0,0,0,2,0,3,1,5,0,6,2,-4,77,14,3
73,28,7,6,P2 NNThijs,0,0,2,2,0,0,0,0,0,2,0,2,0,4,6,2,86,8,3
74,29,7,-2,P1 Slage,0,0,1,0,0,0,0,1,0,0,0,1,0,6,2,10,77,0,3
75,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
76,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
77,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
78,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,4
79,5,30,26,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
80,6,30,24,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,4
81,7,30,24,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,4
82,8,30,24,P2 NNThijs,0,0,2,2,0,0,0,0,1,1,2,2,0,2,3,0,10,4,4
83,9,30,24,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,9,5,4
84,10,30,27,P2 NNThijs,3,0,1,1,0,0,0,1,0,1,1,2,0,2,3,0,15,5,4
85,11,30,27,P1 Slage,0,0,5,2,0,0,0,1,1,1,2,3,0,1,0,0,15,6,4
86,12,30,27,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,1,20,5,4
87,13,27,28,P1 Slage,0,0,1,2,0,0,0,1,1,1,2,3,0,2,0,1,21,6,4
88,14,27,28,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,0,27,7,4
89,15,27,28,P1 Slage,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,2,27,6,4
90,16,27,28,P2 NNThijs,0,0,1,2,0,0,0,1,0,2,1,4,0,2,3,0,35,8,4
91,17,27,28,P1 Slage,0,0,1,1,0,0,0,1,1,1,1,2,0,2,0,5,31,4,4
92,18,12,28,P2 NNThijs,0,0,3,2,0,0,0,3,0,2,0,5,0,2,3,1,43,8,4
93,19,13,24,P1 Slage,3,0,2,1,0,0,0,1,0,0,1,2,0,3,1,2,39,8,4
94,20,-1,24,P2 NNThijs,0,0,1,0,0,0,0,2,0,0,0,2,0,2,3,10,43,0,4
95,1,30,30,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
96,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,5
97,3,30,28,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
98,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,5
99,5,30,26,P1 Slage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
100,6,30,26,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,6,2,5
101,7,30,26,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,5
102,8,27,23,P2 NNThijs,0,0,1,1,0,0,0,1,1,0,2,2,0,2,2,0,10,4,5
103,9,27,23,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,8,4,5
104,10,27,26,P2 NNThijs,3,0,1,1,0,0,0,1,0,1,0,2,0,2,2,0,15,5,5
105,11,25,29,P1 Slage,0,0,2,2,0,0,0,1,0,2,1,3,0,0,1,0,14,6,5
106,12,25,29,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,0,21,6,5
107,13,29,29,P1 Slage,4,0,1,1,0,0,0,0,3,1,4,1,0,0,1,0,21,7,5
108,14,29,27,P2 NNThijs,0,0,2,2,0,0,0,0,0,1,0,2,0,3,3,0,28,7,5
109,15,29,27,P1 Slage,0,0,1,1,0,0,0,1,0,1,1,2,0,0,1,0,29,8,5
110,16,29,27,P2 NNThijs,0,0,1,1,0,0,0,0,1,0,3,1,0,4,3,0,36,8,5
111,17,29,10,P1 Slage,0,0,1,1,0,0,0,0,0,1,0,2,0,0,1,0,38,9,5
112,18,29,11,P2 NNThijs,3,0,2,1,0,0,0,0,0,0,1,1,0,5,4,1,44,8,5
113,19,27,6,P1 Slage,0,0,2,1,0,0,0,0,0,1,0,2,0,0,2,0,48,10,5
