,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,28,28,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,1
4,5,28,28,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,3,2,0,1
5,6,28,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,1
6,7,28,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7,8,23,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,1,10,3,1
8,9,23,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,1
9,10,13,30,P2 NNKrebs1996,2,0,1,2,0,0,0,2,0,2,0,4,0,1,1,0,15,5,1
10,11,13,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,5,1,0,1,0,2,11,4,1
11,12,13,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,0,21,6,1
12,13,13,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,17,6,1
13,14,9,28,P2 NNKrebs1996,0,0,2,1,0,0,0,1,0,1,0,2,0,1,2,0,28,7,1
14,15,9,30,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,3,1,0,2,0,0,25,8,1
15,16,9,30,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,36,8,1
16,17,13,30,P1 Stonekeep,4,0,1,1,0,0,1,0,0,1,0,1,0,2,0,2,32,7,1
17,18,5,28,P2 NNKrebs1996,0,0,2,1,0,1,1,1,0,1,0,2,0,1,3,0,45,9,1
18,19,5,20,P1 Stonekeep,0,0,1,2,0,1,0,1,1,1,3,3,0,3,0,2,40,8,1
19,20,-1,12,P2 NNKrebs1996,0,0,2,2,0,1,0,0,0,0,1,2,0,3,4,0,55,10,1
20,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
21,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
22,3,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
23,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
24,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,2
25,6,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,2
26,7,28,26,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,6,4,2
27,8,23,24,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,3,2,9,2,2
28,9,23,24,P1 Stonekeep,0,0,1,1,0,0,0,0,1,1,2,1,0,0,1,0,11,5,2
29,10,23,27,P2 NNKrebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,1,3,0,14,5,2
30,11,23,27,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,2,2,0,0,1,0,17,6,2
31,12,20,24,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,1,2,0,2,3,0,20,6,2
32,13,20,24,P1 Stonekeep,0,0,1,1,0,0,1,1,0,1,1,2,0,0,1,0,24,7,2
33,14,20,27,P2 NNKrebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,2,3,0,27,7,2
34,15,20,19,P1 Stonekeep,0,0,1,1,0,1,0,1,1,1,3,2,0,0,1,1,31,7,2
35,16,20,22,P2 NNKrebs1996,3,0,1,2,0,0,0,1,0,2,1,3,0,2,3,1,34,7,2
36,17,12,25,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,2,3,0,0,1,0,40,9,2
37,18,12,27,P2 NNKrebs1996,4,0,2,2,0,0,0,0,0,2,0,2,0,2,4,1,42,8,2
38,19,12,24,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,3,2,0,1,2,0,50,10,2
39,20,12,22,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,2,5,3,49,7,2
40,21,15,13,P1 Stonekeep,3,0,2,2,0,0,0,1,0,1,0,4,0,2,3,0,60,10,2
41,22,6,11,P2 NNKrebs1996,0,0,2,1,0,0,0,3,0,1,1,4,0,2,6,4,55,6,2
42,23,6,11,P1 Stonekeep,0,0,1,2,0,0,0,2,0,1,3,5,0,3,4,1,69,9,2
43,24,6,9,P2 NNKrebs1996,0,0,2,1,0,0,0,1,1,1,7,2,0,2,7,1,64,9,2
44,25,2,9,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,3,0,4,5,3,76,7,2
45,26,-1,6,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,1,1,0,3,7,6,68,4,2
46,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
47,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
48,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
49,4,27,30,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,4,2,3
50,5,27,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
51,6,21,30,P2 NNKrebs1996,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,7,3,3
52,7,18,27,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,0,4,4,3
53,8,18,25,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,9,2,3
54,9,18,25,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,5,3
55,10,18,28,P2 NNKrebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,14,5,3
56,11,21,24,P1 Stonekeep,3,0,1,1,0,0,0,1,0,0,1,2,0,2,0,0,15,6,3
57,12,21,24,P2 NNKrebs1996,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,20,6,3
58,13,29,20,P1 Stonekeep,8,0,3,2,0,0,0,1,0,1,0,3,0,3,0,2,20,5,3
59,14,29,18,P2 NNKrebs1996,0,0,2,2,0,1,0,1,0,2,1,3,0,1,2,1,26,6,3
60,15,29,18,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,8,20,0,3
61,16,29,19,P2 NNKrebs1996,3,0,2,2,0,0,0,0,3,2,4,2,0,1,3,0,34,8,3
62,17,29,19,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,4,0,1,28,8,3
63,18,26,21,P2 NNKrebs1996,4,0,2,1,0,0,0,1,0,1,1,2,0,1,4,1,42,8,3
64,19,26,21,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,4,0,4,34,6,3
65,20,22,21,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,4,1,51,9,3
66,21,22,21,P1 Stonekeep,0,0,1,2,0,0,0,0,1,1,6,2,0,5,0,0,44,10,3
67,22,22,19,P2 NNKrebs1996,0,0,2,2,0,0,1,0,0,2,0,2,0,1,5,0,61,10,3
68,23,22,15,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,5,0,10,44,0,3
69,24,22,13,P2 NNKrebs1996,0,0,2,2,0,1,0,0,2,2,3,2,0,1,6,1,70,9,3
70,25,22,13,P1 Stonekeep,0,0,1,3,0,0,1,0,0,2,0,3,0,6,0,0,54,10,3
71,26,22,16,P2 NNKrebs1996,3,0,1,2,0,0,0,2,1,0,3,4,0,3,6,0,80,10,3
72,27,22,20,P1 Stonekeep,0,0,1,2,0,1,0,0,1,1,2,2,0,7,0,2,62,8,3
73,28,22,18,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,3,7,0,90,10,3
74,29,22,22,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,8,0,2,70,8,3
75,30,22,20,P2 NNKrebs1996,0,0,2,2,0,0,0,0,0,2,0,2,0,3,8,0,100,10,3
76,31,20,20,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,8,1,3,77,7,3
77,32,7,16,P2 NNKrebs1996,4,0,2,2,0,0,0,2,1,0,2,4,0,5,9,0,110,10,3
78,33,5,16,P1 Stonekeep,0,0,3,2,0,0,0,0,0,1,1,2,0,9,2,2,85,8,3
79,34,5,16,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,5,9,1,119,9,3
80,35,15,1,P1 Stonekeep,0,0,1,1,0,0,0,3,0,1,0,5,0,9,2,1,94,9,3
81,36,15,0,P2 NNKrebs1996,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,119,0,3
82,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
83,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
84,3,30,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,4
85,4,28,28,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,4
86,5,30,28,P1 Stonekeep,2,0,3,1,0,0,0,0,1,0,2,1,0,1,0,0,5,3,4
87,6,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,4
88,7,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,0,4
89,8,24,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,11,4,4
90,9,24,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,10,5,4
91,10,18,30,P2 NNKrebs1996,2,0,1,1,0,0,0,3,1,1,2,4,0,1,1,0,16,5,4
92,11,18,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,15,5,4
93,12,9,30,P2 NNKrebs1996,2,0,2,2,0,0,0,2,0,2,0,4,0,1,2,0,22,6,4
94,13,4,23,P1 Stonekeep,0,0,2,1,0,0,0,1,0,0,4,2,0,2,1,1,21,6,4
95,14,1,23,P2 NNKrebs1996,3,0,1,2,0,0,0,0,0,1,1,2,0,2,2,0,29,7,4
96,15,1,23,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,1,2,27,6,4
97,16,-2,23,P2 NNKrebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,2,2,8,29,0,4
98,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
99,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
100,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5
101,4,28,28,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,5
102,5,28,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
103,6,26,30,P2 NNKrebs1996,2,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,7,3,5
