,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,28,28,P2 NNSlage,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,1
4,5,28,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
5,6,26,28,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,7,3,1
6,7,26,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,4,1
7,8,26,28,P2 NNSlage,0,0,1,1,0,0,0,2,2,1,3,3,0,1,1,0,11,4,1
8,9,30,28,P1 Stonekeep,4,0,3,2,0,0,0,0,0,0,0,2,0,2,0,1,8,4,1
9,10,26,26,P2 NNSlage,0,0,2,1,0,0,0,1,0,1,0,2,0,1,2,1,15,4,1
10,11,29,26,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,3,0,0,14,6,1
11,12,29,24,P2 NNSlage,0,0,2,2,0,0,0,0,0,2,0,2,0,1,3,0,21,6,1
12,13,26,21,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,4,0,3,18,4,1
13,14,26,21,P2 NNSlage,0,0,1,1,0,0,1,0,0,1,0,1,0,1,3,1,27,6,1
14,15,26,21,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,1,2,0,5,0,0,26,8,1
15,16,26,21,P2 NNSlage,0,0,1,2,0,1,0,1,0,2,1,3,0,1,3,0,35,8,1
16,17,26,21,P1 Stonekeep,0,0,1,2,0,0,0,0,1,1,3,2,0,6,0,0,35,9,1
17,18,22,19,P2 NNSlage,0,0,2,1,0,0,1,1,0,1,0,2,0,1,4,0,44,9,1
18,19,22,19,P1 Stonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,6,0,0,45,10,1
19,20,8,11,P2 NNSlage,0,0,2,2,0,1,0,1,1,0,7,3,0,3,5,0,54,10,1
20,21,15,8,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,2,0,6,0,1,54,9,1
21,22,7,6,P2 NNSlage,0,0,2,1,0,0,0,1,0,1,0,2,0,3,6,1,63,9,1
