,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,1
6,7,30,24,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1
7,8,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,1
8,9,30,24,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,1
9,10,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,1,3,0,15,5,1
10,11,30,20,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,12,5,1
11,12,30,20,P2 NNStonekeep,0,0,1,2,0,0,0,2,0,1,1,4,0,2,3,0,21,6,1
12,13,30,18,P1 Stonekeep,0,0,1,1,0,0,0,1,1,1,3,2,0,0,0,0,19,7,1
13,14,30,22,P2 NNStonekeep,4,0,1,2,0,0,0,1,0,1,1,3,0,3,3,0,28,7,1
14,15,30,22,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,1,0,0,27,8,1
15,16,30,20,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,3,4,0,36,8,1
16,17,30,20,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,3,33,6,1
17,18,30,18,P2 NNStonekeep,0,0,2,2,0,0,1,0,0,1,0,2,0,4,5,0,45,9,1
18,19,30,16,P1 Stonekeep,0,0,1,1,0,0,0,1,0,0,1,2,0,2,0,4,39,6,1
19,20,30,16,P2 NNStonekeep,0,0,1,2,0,1,0,0,0,2,1,2,0,4,5,0,55,10,1
20,21,30,16,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,2,0,4,45,6,1
21,22,27,13,P2 NNStonekeep,0,0,1,2,0,0,0,1,0,1,1,3,0,5,5,1,64,9,1
22,23,30,13,P1 Stonekeep,3,0,2,3,0,0,1,0,0,1,1,3,0,4,0,0,55,10,1
23,24,26,18,P2 NNStonekeep,7,0,2,1,0,0,0,1,0,0,1,2,0,6,6,2,72,8,1
24,25,30,18,P1 Stonekeep,4,0,3,2,0,1,0,0,0,0,1,2,0,6,0,1,64,9,1
25,26,30,16,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,6,7,1,81,9,1
26,27,30,16,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,6,0,2,72,8,1
27,28,30,14,P2 NNStonekeep,0,0,2,2,0,0,0,1,1,1,2,3,0,7,8,0,91,10,1
28,29,30,14,P1 Stonekeep,0,0,1,1,0,1,0,0,0,0,3,1,0,7,0,2,80,8,1
29,30,30,12,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,7,9,8,93,2,1
30,31,28,12,P1 Stonekeep,0,0,2,2,0,0,0,0,0,2,0,2,0,7,1,0,90,10,1
31,32,28,10,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,2,1,0,8,10,0,103,10,1
32,33,28,10,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,10,90,0,1
33,34,28,9,P2 NNStonekeep,0,0,0,1,0,0,1,0,0,1,0,1,0,8,10,6,107,4,1
34,35,26,9,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,1,1,0,7,2,3,97,7,1
35,36,26,10,P2 NNStonekeep,3,0,0,2,0,1,0,0,0,1,1,2,0,9,10,2,115,8,1
36,37,26,10,P1 Stonekeep,0,0,1,3,0,0,0,0,0,1,1,3,0,9,2,2,105,8,1
37,38,23,15,P2 NNStonekeep,0,0,0,1,0,0,0,0,0,1,0,2,0,9,10,1,124,9,1
38,39,23,15,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,9,2,10,105,0,1
39,40,20,14,P2 NNStonekeep,0,0,0,0,0,0,0,0,0,0,0,1,0,9,11,8,126,2,1
40,41,18,14,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,9,3,3,112,7,1
41,42,9,12,P2 NNStonekeep,0,0,0,1,0,0,0,1,1,0,4,3,0,10,12,4,132,6,1
42,43,15,9,P1 Stonekeep,0,0,0,1,0,0,0,0,0,1,0,2,0,9,3,1,121,9,1
43,44,6,6,P2 NNStonekeep,0,0,0,0,0,0,0,1,0,0,0,2,0,10,13,8,134,2,1
44,45,5,3,P1 Stonekeep,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,10,121,0,1
45,46,5,-1,P2 NNStonekeep,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,10,134,0,1
46,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
47,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
48,3,30,28,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
49,4,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
50,5,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,2
51,6,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
52,7,30,24,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2
53,8,30,22,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,1,4,0,10,4,2
54,9,30,22,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2
55,10,30,22,P2 NNStonekeep,0,0,1,1,0,0,0,0,1,1,1,1,0,1,4,0,15,5,2
56,11,30,22,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,7,5,2
57,12,26,20,P2 NNStonekeep,0,0,2,1,0,0,0,1,0,0,1,2,0,2,5,1,20,5,2
58,13,29,20,P1 Stonekeep,3,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,13,6,2
59,14,29,20,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,5,0,27,7,2
60,15,30,20,P1 Stonekeep,1,0,1,1,0,0,0,0,0,0,1,1,0,2,0,2,19,6,2
61,16,30,20,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,8,27,0,2
62,17,30,20,P1 Stonekeep,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,28,9,2
63,18,30,20,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,2,1,0,3,5,1,35,8,2
64,19,28,20,P1 Stonekeep,0,0,2,1,0,0,0,0,0,1,0,1,0,2,1,3,35,7,2
65,20,28,18,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,1,3,2,0,4,6,0,45,10,2
66,21,28,18,P1 Stonekeep,0,0,1,1,0,0,1,0,0,1,0,1,0,2,1,3,42,7,2
67,22,26,21,P2 NNStonekeep,3,0,1,2,0,0,0,1,0,1,1,3,0,5,6,0,55,10,2
68,23,26,21,P1 Stonekeep,0,0,1,1,0,1,0,0,0,0,2,1,0,3,1,2,50,8,2
69,24,26,19,P2 NNStonekeep,0,0,2,1,0,0,1,0,0,1,0,1,0,5,7,4,61,6,2
70,25,26,19,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,6,54,4,2
71,26,18,17,P2 NNStonekeep,0,0,2,3,0,1,1,1,0,1,0,4,0,7,8,1,70,9,2
72,27,18,17,P1 Stonekeep,0,0,1,1,0,0,0,0,1,0,3,1,0,4,1,2,62,8,2
73,28,15,12,P2 NNStonekeep,0,0,2,1,0,1,0,0,0,0,0,1,0,8,9,4,76,6,2
74,29,15,12,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,10,62,0,2
75,30,12,15,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,2,0,8,9,1,85,9,2
76,31,12,15,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,10,62,0,2
77,32,9,15,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,3,0,9,10,0,95,10,2
78,33,9,15,P1 Stonekeep,0,0,3,4,0,0,0,0,0,1,2,4,0,7,1,0,72,10,2
79,34,-1,15,P2 NNStonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,9,10,10,95,0,2
80,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
81,2,30,30,P2 NNStonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
82,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
83,4,30,28,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3
84,5,30,28,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
85,6,30,26,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,3
86,7,30,26,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3
87,8,30,26,P2 NNStonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,1,2,0,9,4,3
88,9,30,26,P1 Stonekeep,0,0,2,2,0,0,0,0,0,0,1,2,0,2,0,1,4,4,3
89,10,30,24,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,3,11,2,3
90,11,30,24,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,10,6,3
91,12,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,1,1,0,1,3,0,17,6,3
92,13,30,24,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,16,6,3
93,14,30,24,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,3,0,24,7,3
94,15,30,21,P1 Stonekeep,3,0,2,3,0,0,0,0,0,0,1,3,0,6,0,0,24,8,3
95,16,30,27,P2 NNStonekeep,8,0,4,2,0,0,0,0,0,1,0,2,0,2,4,1,31,7,3
96,17,30,27,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,9,24,0,3
97,18,30,25,P2 NNStonekeep,0,0,2,1,0,0,0,0,1,1,1,1,0,2,5,2,38,7,3
98,19,30,25,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,6,0,3,31,7,3
99,20,26,26,P2 NNStonekeep,3,0,2,1,0,0,0,1,0,0,1,2,0,3,6,2,46,8,3
100,21,27,26,P1 Stonekeep,3,0,2,1,0,0,0,0,0,0,1,1,0,7,1,2,39,8,3
101,22,27,24,P2 NNStonekeep,0,0,2,2,0,0,0,0,0,2,0,2,0,3,7,1,55,9,3
102,23,27,24,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,10,39,0,3
103,24,27,24,P2 NNStonekeep,0,0,1,0,0,0,0,0,2,0,2,0,0,3,7,10,55,0,3
104,25,27,24,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,7,1,5,44,5,3
105,26,27,22,P2 NNStonekeep,0,0,3,3,0,0,0,0,0,1,1,3,0,5,8,0,65,10,3
106,27,27,22,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,7,1,5,49,5,3
107,28,23,20,P2 NNStonekeep,0,0,2,2,0,0,1,1,0,2,0,3,0,5,9,0,75,10,3
108,29,23,16,P1 Stonekeep,0,0,1,2,0,0,1,1,1,1,5,3,0,8,1,1,58,9,3
109,30,19,15,P2 NNStonekeep,0,0,0,2,0,1,0,1,0,0,0,3,0,7,9,6,79,4,3
110,31,19,15,P1 Stonekeep,0,0,1,2,0,1,0,0,1,1,2,2,0,9,1,1,67,9,3
111,32,19,13,P2 NNStonekeep,0,0,0,1,0,0,0,0,0,0,3,1,0,8,9,2,87,8,3
112,33,17,13,P1 Stonekeep,0,0,2,2,0,0,0,0,0,2,0,2,0,9,2,1,76,9,3
113,34,14,15,P2 NNStonekeep,0,0,0,1,0,0,0,0,0,1,0,2,0,8,9,1,96,9,3
114,35,14,15,P1 Stonekeep,0,0,1,1,0,0,1,0,4,1,4,1,0,9,2,3,83,7,3
115,36,11,15,P2 NNStonekeep,1,0,0,1,0,0,0,0,0,0,1,2,0,9,10,2,104,8,3
116,37,15,12,P1 Stonekeep,0,0,1,1,0,1,0,0,0,1,0,2,0,9,2,1,92,9,3
117,38,6,10,P2 NNStonekeep,0,0,0,1,0,0,0,1,0,0,0,3,0,10,11,5,109,5,3
118,39,6,7,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,2,2,0,10,3,0,102,10,3
119,40,3,4,P2 NNStonekeep,0,0,0,1,0,0,0,0,0,0,1,2,0,11,12,0,119,10,3
120,41,3,4,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,10,3,10,102,0,3
