,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,27,30,P2 NNThijs,2,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,1
4,5,27,30,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,2,1
5,6,24,28,P2 NNThijs,0,0,2,0,0,0,0,1,0,0,0,1,0,1,2,1,6,2,1
6,7,24,28,P1 Stonekeep,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,4,2,0,1
7,8,24,26,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,1,3,0,10,4,1
8,9,24,26,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,5,1
9,10,21,26,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,3,0,15,5,1
10,11,28,30,P1 Stonekeep,7,0,1,1,0,0,0,1,0,0,2,2,0,1,0,0,13,6,1
11,12,25,25,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,1,1,0,2,4,0,21,6,1
12,13,25,25,P1 Stonekeep,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,3,17,4,1
13,14,25,25,P2 NNThijs,0,0,9,3,0,0,0,0,1,1,2,3,0,4,4,1,27,6,1
14,15,29,25,P1 Stonekeep,4,0,2,1,0,0,0,0,0,0,0,1,0,2,0,5,20,3,1
15,16,29,25,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,4,0,35,8,1
16,17,29,25,P1 Stonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,3,0,1,28,8,1
17,18,29,23,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,4,5,0,44,9,1
18,19,26,20,P1 Stonekeep,0,0,1,2,0,0,0,0,0,1,0,2,0,4,0,0,38,10,1
19,20,8,20,P2 NNThijs,0,0,3,3,0,0,1,1,0,3,0,4,0,4,5,0,54,10,1
20,21,8,18,P1 Stonekeep,0,0,1,1,0,0,0,1,0,1,2,3,0,4,0,1,47,9,1
21,22,8,16,P2 NNThijs,0,0,2,2,0,1,0,0,0,2,0,2,0,4,6,1,63,9,1
22,23,6,14,P1 Stonekeep,0,0,1,2,0,0,0,0,1,1,3,3,0,5,1,0,57,10,1
23,24,6,12,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,4,7,0,73,10,1
24,25,6,3,P1 Stonekeep,0,0,1,1,0,0,0,1,1,0,5,3,0,6,2,4,63,6,1
25,26,6,1,P2 NNThijs,0,0,2,2,0,0,0,0,0,2,0,2,0,4,8,0,83,10,1
26,27,6,-5,P1 Stonekeep,0,0,1,0,0,0,0,1,0,0,0,1,0,6,2,10,63,0,1
27,1,30,30,P1 Stonekeep,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
28,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
