,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,26,P1 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,1
5,6,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,1
6,7,30,26,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,5,3,1
7,8,25,26,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,2,0,11,4,1
8,9,28,25,P1 Thijs,3,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,10,5,1
9,10,30,25,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,2,0,16,5,1
10,11,30,25,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,15,5,1
11,12,30,28,P2 NNKrebs1996,3,0,1,2,0,0,0,2,0,2,1,4,0,1,2,0,22,6,1
12,13,27,29,P1 Thijs,0,0,2,2,0,0,0,0,1,0,5,2,0,2,0,2,20,5,1
13,14,27,29,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,2,1,28,6,1
14,15,27,29,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,28,8,1
15,16,27,27,P2 NNKrebs1996,0,0,2,1,0,0,0,2,1,1,3,3,0,1,3,0,36,8,1
16,17,27,27,P1 Thijs,0,0,5,2,0,0,0,0,0,1,0,2,0,3,0,0,37,9,1
17,18,21,28,P2 NNKrebs1996,3,0,2,1,0,0,0,2,0,0,1,3,0,2,4,1,44,8,1
18,19,21,28,P1 Thijs,0,0,1,1,0,0,0,0,1,1,3,1,0,3,0,0,47,10,1
19,20,18,25,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,3,4,1,53,9,1
20,21,19,25,P1 Thijs,3,0,2,2,0,0,0,1,0,2,1,3,0,3,1,1,56,9,1
21,22,11,26,P2 NNKrebs1996,3,0,2,2,0,0,0,3,0,2,1,5,0,3,5,0,63,10,1
22,23,9,29,P1 Thijs,0,0,2,2,0,0,0,1,0,2,1,3,0,3,2,4,62,6,1
23,24,0,29,P2 NNKrebs1996,0,0,1,0,0,0,0,2,0,0,0,2,0,3,5,10,63,0,1
24,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
25,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
26,3,30,28,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
27,4,30,26,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
28,5,30,26,P1 Thijs,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,3,3,2
29,6,30,24,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
30,7,30,24,P1 Thijs,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,4,3,0,2
31,8,30,27,P2 NNKrebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,1,3,1,9,3,2
32,9,30,27,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,2
33,10,27,27,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,3,0,14,5,2
34,11,27,27,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,9,6,2
35,12,16,30,P2 NNKrebs1996,3,0,1,1,0,0,0,3,0,0,1,4,0,2,3,0,20,6,2
36,13,16,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,3,1,0,1,0,0,16,7,2
37,14,16,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,2,3,0,27,7,2
38,15,13,23,P1 Thijs,0,0,2,2,0,0,0,1,0,0,2,3,0,3,0,3,21,5,2
39,16,13,23,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,1,1,0,2,3,1,34,7,2
40,17,11,23,P1 Thijs,0,0,8,3,0,0,0,0,0,1,1,3,0,5,1,0,30,9,2
41,18,11,21,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,1,0,1,0,2,4,2,41,7,2
42,19,11,25,P1 Thijs,0,0,1,2,0,0,0,0,1,2,2,2,0,5,1,0,40,10,2
43,20,8,22,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,3,4,1,50,9,2
44,21,19,22,P1 Thijs,11,0,4,3,0,0,0,3,2,2,5,6,0,6,1,1,49,9,2
45,22,16,19,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,2,2,0,4,4,1,59,9,2
46,23,13,16,P1 Thijs,0,0,1,2,0,0,0,0,0,1,3,2,0,7,1,0,59,10,2
47,24,13,14,P2 NNKrebs1996,0,0,2,2,0,0,1,0,0,2,0,2,0,4,5,0,69,10,2
48,25,13,14,P1 Thijs,0,0,1,1,0,0,0,1,1,1,1,2,0,7,1,2,67,8,2
49,26,5,14,P2 NNKrebs1996,0,0,1,2,0,1,0,1,1,2,2,3,0,4,5,0,79,10,2
50,27,5,14,P1 Thijs,0,0,1,1,0,0,0,2,1,1,3,3,0,7,1,0,77,10,2
51,28,0,15,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,3,0,4,5,1,88,9,2
52,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
53,2,30,30,P2 NNKrebs1996,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
54,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3
55,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
56,5,30,28,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,3
57,6,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,6,2,3
58,7,30,27,P1 Thijs,0,0,2,2,0,0,0,1,1,1,2,3,0,1,0,0,7,4,3
59,8,30,27,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,10,4,3
60,9,30,26,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,12,5,3
61,10,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,2,1,14,4,3
62,11,30,26,P1 Thijs,0,0,4,3,0,0,0,0,0,2,0,3,0,2,0,1,17,5,3
63,12,23,26,P2 NNKrebs1996,0,0,1,1,0,0,0,2,1,1,4,3,0,1,2,0,20,6,3
64,13,27,26,P1 Thijs,4,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,24,7,3
65,14,27,26,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,0,3,0,1,2,1,26,6,3
66,15,27,26,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,32,8,3
67,16,17,24,P2 NNKrebs1996,0,0,2,1,0,0,1,4,0,1,1,5,0,1,3,0,34,8,3
68,17,17,20,P1 Thijs,0,0,1,1,0,0,0,6,2,1,4,7,0,2,0,2,39,7,3
