,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,27,28,P2 NNSlage,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,1
4,5,27,28,P1 Thijs,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,5,3,1
5,6,27,28,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,6,2,1
6,7,27,27,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,2,7,2,1
7,8,27,25,P2 NNSlage,0,0,8,1,0,0,0,0,0,0,0,1,0,2,2,0,10,4,1
8,9,27,25,P1 Thijs,0,0,1,1,0,0,0,0,2,1,3,1,0,0,0,0,12,5,1
9,10,27,25,P2 NNSlage,0,0,1,1,0,0,1,0,0,1,0,1,0,2,2,0,15,5,1
10,11,30,21,P1 Thijs,3,0,1,1,0,0,0,1,0,0,1,2,0,1,0,0,18,6,1
11,12,30,19,P2 NNSlage,0,0,2,1,0,1,1,0,0,1,0,1,0,2,3,0,21,6,1
12,13,30,15,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,25,7,1
13,14,30,18,P2 NNSlage,3,0,1,1,0,1,0,1,0,0,2,2,0,3,3,1,27,6,1
14,15,28,18,P1 Thijs,0,0,2,6,0,0,0,0,0,5,1,7,0,2,1,3,30,5,1
15,16,28,18,P2 NNSlage,0,0,1,3,0,0,0,0,0,2,5,3,0,4,3,0,35,8,1
16,17,28,18,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,3,36,6,1
17,18,24,20,P2 NNSlage,4,0,3,3,0,0,0,2,0,2,1,5,0,5,4,2,42,7,1
18,19,24,20,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,10,36,0,1
19,20,24,1,P2 NNSlage,0,0,1,2,0,0,0,0,4,2,4,2,0,5,4,0,52,10,1
20,21,24,1,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,3,43,7,1
21,22,14,1,P2 NNSlage,0,0,2,1,0,0,0,2,0,1,0,3,0,5,5,0,62,10,1
22,23,14,1,P1 Thijs,0,0,1,1,0,0,0,1,1,1,1,2,0,2,1,0,53,10,1
