,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Thijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,27,28,P2 NNThijs,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,0,4,2,1
4,5,27,28,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,24,30,P2 NNThijs,2,0,3,1,0,0,0,1,0,0,0,2,0,2,1,0,7,3,1
6,7,28,29,P1 Thijs,4,0,3,2,0,0,0,1,0,0,0,3,0,2,0,0,7,4,1
7,8,25,27,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,0,2,0,2,2,0,11,4,1
8,9,25,26,P1 Thijs,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,12,5,1
9,10,29,24,P2 NNThijs,0,0,2,1,0,0,0,0,2,1,4,1,0,2,3,0,16,5,1
10,11,30,24,P1 Thijs,1,0,4,2,0,0,0,1,0,1,1,3,0,3,0,0,18,6,1
11,12,30,22,P2 NNThijs,0,0,3,2,0,0,0,0,0,0,1,2,0,4,4,2,20,4,1
12,13,30,22,P1 Thijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,25,7,1
13,14,30,25,P2 NNThijs,3,0,1,1,0,0,0,0,0,0,1,1,0,5,4,1,26,6,1
14,15,30,25,P1 Thijs,0,0,1,2,0,0,0,0,0,2,0,2,0,3,0,0,33,8,1
15,16,30,25,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,5,4,0,34,8,1
16,17,30,16,P1 Thijs,0,0,3,2,0,0,0,2,4,2,8,4,0,3,0,-9,51,18,1
17,18,30,19,P2 NNThijs,3,0,1,2,0,0,0,1,0,1,1,3,0,6,4,1,42,8,1
18,19,28,22,P1 Thijs,0,0,2,2,0,0,0,1,1,2,2,3,0,3,1,3,58,7,1
19,20,28,22,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,6,4,0,52,10,1
20,21,26,22,P1 Thijs,0,0,2,2,0,0,0,3,3,2,4,5,0,3,2,2,66,8,1
21,22,25,20,P2 NNThijs,0,0,2,2,0,0,0,1,0,2,0,3,0,6,5,0,62,10,1
22,23,23,19,P1 Thijs,0,0,2,2,0,0,0,2,0,2,1,4,0,3,3,6,70,4,1
23,24,23,19,P2 NNThijs,0,0,1,2,0,0,0,2,0,2,2,4,0,6,5,0,72,10,1
