,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Hunter1A,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,26,P1 Hunter1A,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,1
3,4,27,26,P2 Wabeka,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,1
4,5,27,26,P1 Hunter1A,0,0,1,2,0,0,0,1,0,1,1,3,0,1,1,0,6,3,1
5,6,24,26,P2 Wabeka,0,0,4,2,0,0,0,2,1,1,3,4,0,2,0,1,6,2,1
6,7,27,26,P1 Hunter1A,3,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,9,3,1
7,8,21,26,P2 Wabeka,0,0,1,1,0,0,0,3,1,0,2,4,0,3,0,0,10,4,1
8,9,21,17,P1 Hunter1A,0,0,1,1,0,0,0,7,0,0,0,8,0,2,2,0,14,5,1
9,10,11,17,P2 Wabeka,0,0,1,1,0,0,0,7,1,1,2,8,0,3,0,3,12,2,1
10,11,11,9,P1 Hunter1A,0,0,1,1,0,0,0,6,0,1,0,7,0,2,3,0,20,6,1
11,12,-1,6,P2 Wabeka,0,0,1,2,0,0,0,4,1,1,1,6,0,4,0,4,14,2,1
12,1,30,30,P1 Hunter1A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
13,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
14,3,30,28,P1 Hunter1A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2
15,4,28,28,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2,0,2
16,5,28,25,P1 Hunter1A,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,5,3,2
17,6,25,25,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,4,2,2
18,7,25,20,P1 Hunter1A,0,0,1,2,0,0,0,0,0,2,0,3,0,0,2,0,9,4,2
19,8,18,20,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,2,3,0,1,0,0,8,4,2
20,9,18,18,P1 Hunter1A,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,0,14,5,2
21,10,8,24,P2 Wabeka,6,0,1,1,0,0,0,3,0,1,0,4,0,1,0,0,13,5,2
22,11,8,22,P1 Hunter1A,0,0,1,2,0,0,0,0,0,2,0,2,0,0,3,0,20,6,2
23,12,-1,28,P2 Wabeka,6,0,1,1,0,0,0,2,0,1,2,3,0,1,0,2,17,4,2
24,1,30,30,P1 Hunter1A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
25,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
26,3,30,28,P1 Hunter1A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,3
27,4,24,28,P2 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,3
28,5,27,28,P1 Hunter1A,3,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,5,3,3
29,6,22,28,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,2,5,1,3
30,7,22,26,P1 Hunter1A,0,0,1,1,0,0,0,1,0,1,1,2,0,0,2,1,8,3,3
31,8,15,26,P2 Wabeka,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,9,4,3
32,9,15,19,P1 Hunter1A,0,0,1,1,0,0,0,2,1,0,2,4,0,0,3,0,13,5,3
33,10,11,19,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,1,4,0,1,0,0,14,5,3
34,11,11,13,P1 Hunter1A,0,0,1,1,0,0,0,0,0,1,0,2,0,0,3,1,18,5,3
35,12,0,13,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,1,19,5,3
36,1,30,30,P1 Hunter1A,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
37,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,4
38,3,30,26,P1 Hunter1A,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3,2,4
39,4,28,26,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,4
40,5,28,23,P1 Hunter1A,0,0,1,1,0,0,0,2,0,0,0,3,0,1,1,0,6,3,4
41,6,22,23,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,4,1,4
42,7,25,21,P1 Hunter1A,3,0,1,1,0,0,0,2,1,1,2,3,0,1,1,1,9,3,4
43,8,21,21,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,8,4,4
44,9,21,13,P1 Hunter1A,0,0,1,2,0,0,0,2,0,2,0,4,0,1,2,0,14,5,4
45,10,6,13,P2 Wabeka,0,0,1,2,0,0,0,4,1,2,2,6,0,1,0,0,14,6,4
46,11,10,6,P1 Hunter1A,4,0,1,1,0,0,0,3,0,1,1,4,0,1,2,0,20,6,4
47,12,-1,6,P2 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,7,14,0,4
48,1,30,30,P1 Hunter1A,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
49,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,5
50,3,30,26,P1 Hunter1A,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,3,2,5
51,4,28,26,P2 Wabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,4,2,5
52,5,30,26,P1 Hunter1A,2,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,6,3,5
53,6,22,24,P2 Wabeka,0,0,2,1,0,0,0,3,0,1,0,4,0,1,1,0,7,3,5
54,7,22,22,P1 Hunter1A,0,0,1,0,0,0,0,1,0,0,1,1,0,0,2,2,8,2,5
55,8,16,22,P2 Wabeka,0,0,1,1,0,0,0,3,0,1,0,4,0,1,1,0,11,4,5
56,9,16,17,P1 Hunter1A,0,0,1,1,0,0,0,1,0,1,0,2,0,0,3,0,13,5,5
57,10,0,17,P2 Wabeka,0,0,1,1,0,0,0,5,2,1,3,6,0,1,1,0,16,5,5
58,1,30,30,P1 Hunter1A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
59,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
60,3,30,28,P1 Hunter1A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,6
61,4,30,28,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,6
62,5,30,25,P1 Hunter1A,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,5,3,6
63,6,27,25,P2 Wabeka,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,0,6,3,6
64,7,27,18,P1 Hunter1A,0,0,1,2,0,0,0,4,0,1,0,7,0,1,1,0,9,4,6
