,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Hunter1C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,30,P1 Hunter1C,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,30,P2 Krebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,3,2,1
4,5,30,30,P1 Hunter1C,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,4,2,1
5,6,30,30,P2 Krebs1996,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,1
6,7,30,26,P1 Hunter1C,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,2,6,2,1
7,8,30,26,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,7,4,1
8,9,30,24,P1 Hunter1C,0,0,1,1,0,0,0,1,0,1,1,2,0,0,2,1,10,4,1
9,10,30,27,P2 Krebs1996,3,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,12,5,1
10,11,30,30,P1 Hunter1C,0,0,1,1,0,0,0,1,1,1,2,2,0,0,2,0,16,6,1
11,12,30,30,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,17,5,1
12,13,30,30,P1 Hunter1C,0,0,1,2,0,0,0,1,0,2,1,3,0,0,2,1,22,6,1
13,14,30,30,P2 Krebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,1,0,0,24,7,1
14,15,30,30,P1 Hunter1C,0,0,1,2,0,0,0,1,1,2,2,3,0,0,2,0,30,8,1
15,16,24,24,P2 Krebs1996,0,0,1,2,0,0,0,0,0,0,2,2,0,3,0,0,32,8,1
16,17,24,16,P1 Hunter1C,0,0,1,1,0,0,0,1,0,1,0,2,0,0,2,0,39,9,1
