,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Hunter1C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,30,P1 Hunter1C,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,28,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,3,1,1
4,5,28,28,P1 Hunter1C,0,0,1,1,0,0,0,1,1,1,1,2,0,0,1,0,5,3,1
5,6,24,28,P2 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,3,3,0,1
6,7,24,28,P1 Hunter1C,0,0,1,1,0,0,0,1,1,1,2,2,0,0,1,0,9,4,1
7,8,24,28,P2 Wabeka,0,0,1,1,0,0,0,1,1,1,1,2,0,1,0,2,5,2,1
8,9,24,28,P1 Hunter1C,0,0,1,1,0,0,0,1,1,1,2,2,0,0,1,0,14,5,1
9,10,24,28,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,10,5,1
10,11,24,28,P1 Hunter1C,0,0,1,2,0,0,0,1,1,2,2,3,0,0,1,1,19,5,1
11,12,23,28,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,1,2,0,2,0,0,16,6,1
