,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Paladin1C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Paladin1C,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,27,28,P2 Wabeka,0,0,2,2,0,0,0,1,0,1,0,3,0,1,1,0,4,2,1
4,5,27,28,P1 Paladin1C,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,0,5,3,1
5,6,26,28,P2 Wabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,3,4,0,1
6,7,26,23,P1 Paladin1C,0,0,1,1,0,0,0,2,0,1,1,3,0,0,0,0,9,4,1
7,8,26,23,P2 Wabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,8,4,1
8,9,26,11,P1 Paladin1C,0,0,1,1,0,0,0,3,1,0,5,4,0,1,0,1,13,4,1
9,10,26,14,P2 Wabeka,3,0,1,1,0,0,0,1,0,1,1,2,0,2,1,0,13,5,1
10,11,26,17,P1 Paladin1C,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,1,18,5,1
11,12,24,17,P2 Wabeka,0,0,1,3,0,0,0,0,1,2,1,3,0,3,1,0,19,6,1
12,13,22,13,P1 Paladin1C,0,0,1,1,0,0,0,2,0,1,1,3,0,1,1,3,22,4,1
13,14,11,13,P2 Wabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,3,1,2,24,5,1
14,15,11,3,P1 Paladin1C,0,0,1,1,0,0,0,4,0,1,0,5,0,1,1,0,30,8,1
15,16,11,3,P2 Wabeka,0,0,1,1,0,0,0,2,1,1,2,3,0,3,1,3,29,5,1
16,17,11,0,P1 Paladin1C,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,9,30,0,1
17,1,30,30,P1 Paladin1C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
18,2,30,30,P2 Wabeka,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
