,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,27,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,27,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,1
4,5,30,26,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,5,2,1
5,6,27,26,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,7,3,1
6,7,25,26,P1 NNPizza,0,0,2,1,0,0,0,3,3,1,5,4,0,0,1,0,9,4,1
7,8,25,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,11,4,1
8,9,25,10,P1 NNPizza,0,0,1,2,0,0,0,7,1,1,1,9,0,1,1,1,13,4,1
9,10,20,10,P2 NNKrebs1996,0,0,1,1,0,0,0,1,1,0,7,2,0,2,1,1,15,4,1
10,11,18,1,P1 NNPizza,0,0,2,1,0,0,0,1,0,1,0,2,0,1,2,2,17,4,1
11,12,18,4,P2 NNKrebs1996,3,0,1,1,0,0,0,1,0,1,1,2,0,2,1,1,20,5,1
12,13,18,2,P1 NNPizza,0,0,1,2,0,0,0,2,0,2,1,4,0,1,2,3,21,4,1
13,14,18,2,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,2,1,0,2,1,1,26,6,1
14,15,18,2,P1 NNPizza,0,0,1,2,0,0,0,1,1,0,1,3,0,3,2,0,29,8,1
15,16,18,2,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,1,3,0,2,1,1,33,7,1
16,17,18,2,P1 NNPizza,0,0,1,1,0,0,0,4,4,1,5,5,0,3,2,8,30,1,1
17,18,18,2,P2 NNKrebs1996,0,0,1,2,0,0,0,2,0,2,2,4,0,2,1,1,41,8,1
18,19,13,2,P1 NNPizza,0,0,2,4,0,0,0,0,0,4,0,4,0,3,3,3,37,7,1
19,20,0,-1,P2 NNKrebs1996,0,0,1,2,0,0,0,3,2,1,6,5,0,3,1,1,50,9,1
20,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
21,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
22,3,30,30,P1 NNPizza,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,0,3,2,2
23,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2
24,5,30,24,P1 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,5,2,2
25,6,30,30,P2 NNKrebs1996,6,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,2
26,7,30,28,P1 NNPizza,0,0,1,1,0,0,0,3,2,1,3,4,0,0,0,2,7,2,2
27,8,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,11,4,2
28,9,30,24,P1 NNPizza,0,0,1,1,0,0,0,3,1,1,1,4,0,0,0,4,8,1,2
29,10,30,24,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,16,5,2
30,11,25,28,P1 NNPizza,0,0,1,3,0,0,0,5,5,3,6,8,0,0,0,3,11,3,2
31,12,25,28,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,1,21,5,2
32,13,25,30,P1 NNPizza,0,0,2,2,0,0,0,3,2,1,3,5,0,1,1,0,18,7,2
33,14,24,28,P2 NNKrebs1996,0,0,2,1,0,0,0,1,1,0,7,2,0,2,2,1,27,6,2
34,15,22,28,P1 NNPizza,0,0,2,2,0,0,0,0,0,1,0,2,0,2,2,1,25,7,2
35,16,19,25,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,5,2,0,3,2,1,34,7,2
36,17,19,25,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,7,27,2,2
37,18,14,23,P2 NNKrebs1996,0,0,2,1,0,0,1,1,0,1,0,2,0,3,3,0,43,9,2
38,19,12,21,P1 NNPizza,0,0,2,0,0,0,0,1,0,0,0,1,0,2,3,8,29,2,2
39,20,-1,21,P2 NNKrebs1996,0,0,1,0,0,1,0,2,0,0,0,2,0,3,3,10,43,0,2
40,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
41,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
42,3,30,25,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
43,4,30,23,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
44,5,30,21,P1 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,4,2,3
