,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1
2,3,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,1
3,4,30,28,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1
4,5,27,22,P1 NNPizza,0,0,4,3,0,0,0,1,0,2,0,4,0,1,0,0,6,3,1
5,6,27,22,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,6,3,1
6,7,22,18,P1 NNPizza,0,0,1,2,0,0,0,3,3,1,3,5,0,2,0,2,8,2,1
7,8,22,18,P2 NNOrasha,0,0,1,1,0,0,0,1,1,1,2,2,0,1,1,1,9,3,1
8,9,22,18,P1 NNPizza,0,0,2,1,0,0,0,0,0,1,0,1,0,2,1,1,12,4,1
9,10,22,16,P2 NNOrasha,0,0,2,0,0,0,0,1,0,0,1,1,0,1,2,3,11,2,1
10,11,22,16,P1 NNPizza,0,0,2,2,0,0,0,0,0,2,0,2,0,2,2,1,17,5,1
