,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,28,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,28,P2 NNSlage,0,0,2,1,0,0,0,1,0,0,1,2,0,2,0,1,3,1,1
4,5,30,26,P1 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,6,3,1
5,6,30,26,P2 NNSlage,0,0,1,1,0,0,0,1,1,1,2,2,0,2,0,1,5,2,1
6,7,25,25,P1 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,10,4,1
7,8,25,25,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,9,4,1
8,9,25,25,P1 NNPizza,0,0,1,1,0,0,0,3,1,1,1,4,0,0,0,1,14,4,1
9,10,25,25,P2 NNSlage,0,0,1,1,0,0,0,1,1,0,8,2,0,3,0,1,13,4,1
10,11,25,25,P1 NNPizza,0,0,1,2,0,0,0,1,1,2,2,3,0,0,0,1,19,5,1
11,12,25,25,P2 NNSlage,0,0,1,3,0,0,0,0,0,3,0,3,0,3,0,0,19,6,1
12,13,25,19,P1 NNPizza,0,0,2,2,0,0,0,2,0,1,0,4,0,1,1,0,26,7,1
13,14,25,19,P2 NNSlage,0,0,1,1,0,0,0,0,3,1,10,1,0,3,0,0,26,7,1
14,15,23,19,P1 NNPizza,0,0,2,2,0,0,0,0,0,2,0,2,0,1,2,4,30,4,1
15,16,23,19,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,0,34,8,1
16,17,23,19,P1 NNPizza,0,0,2,2,0,0,0,1,1,2,1,3,0,1,3,5,34,4,1
17,18,-1,19,P2 NNSlage,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,5,38,4,1
18,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
19,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
20,3,30,25,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,2
