,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 NNPizza,0,0,1,2,0,0,0,0,1,1,1,2,0,1,0,0,3,2,1
3,4,30,28,P2 NNStonekeep,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,22,P1 NNPizza,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,0,6,3,1
5,6,30,22,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2,0,7,3,1
6,7,30,19,P1 NNPizza,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0,0,10,4,1
7,8,30,21,P2 NNStonekeep,4,0,2,1,0,0,0,0,0,1,0,1,0,2,3,0,11,4,1
8,9,30,14,P1 NNPizza,0,0,1,2,0,0,0,5,0,2,0,7,0,3,0,0,15,5,1
9,10,30,14,P2 NNStonekeep,0,0,1,1,0,0,1,0,1,1,8,1,0,2,3,0,16,5,1
10,11,27,14,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,5,16,1,1
11,12,27,12,P2 NNStonekeep,0,0,2,1,0,1,1,1,0,1,1,2,0,2,4,0,22,6,1
12,13,27,12,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,6,17,1,1
13,14,8,9,P2 NNStonekeep,0,0,1,2,0,1,0,2,0,0,1,4,0,4,4,0,29,7,1
14,15,6,9,P1 NNPizza,0,0,2,2,0,0,0,0,0,2,0,2,0,3,1,3,22,5,1
