,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,24,P1 NNPizza,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,1
3,4,30,22,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,18,P1 NNPizza,0,0,4,3,0,0,0,1,0,2,0,4,0,2,0,0,6,3,1
5,6,30,18,P2 NNThijs,0,0,4,2,0,0,0,0,0,1,0,2,0,2,2,0,7,3,1
6,7,30,14,P1 NNPizza,0,0,1,2,0,0,0,4,1,2,2,6,0,2,0,0,10,4,1
7,8,27,11,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,1,1,0,3,2,0,11,4,1
8,9,27,5,P1 NNPizza,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,3,12,2,1
9,10,24,2,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,4,1,0,4,2,1,15,4,1
10,11,24,2,P1 NNPizza,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,12,0,1
11,12,24,2,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,1,20,5,1
12,13,22,2,P1 NNPizza,0,0,2,2,0,0,0,0,0,2,0,2,0,2,1,0,19,7,1
13,14,18,5,P2 NNThijs,3,0,1,2,0,0,0,2,0,2,1,4,0,4,2,0,27,7,1
14,15,13,8,P1 NNPizza,0,0,2,4,0,0,0,1,2,3,3,5,0,3,2,2,25,6,1
15,16,7,8,P2 NNThijs,0,0,1,1,0,0,0,2,0,1,0,3,0,4,2,0,35,8,1
16,17,5,12,P1 NNPizza,0,0,2,2,0,0,0,5,4,1,6,7,0,4,3,1,33,8,1
17,18,-3,12,P2 NNThijs,0,0,1,0,0,0,0,1,0,0,0,1,0,4,2,9,35,0,1
18,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
19,2,30,30,P2 NNThijs,0,0,5,3,0,0,0,0,0,0,1,3,0,3,0,0,2,1,2
20,3,30,30,P1 NNPizza,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,3,2,2
21,4,30,30,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0,4,2,2
22,5,30,29,P1 NNPizza,0,0,1,2,0,0,0,2,1,2,2,4,0,0,0,0,6,3,2
23,6,30,29,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,1,1,0,4,0,0,7,3,2
24,7,30,25,P1 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,9,3,2
25,8,30,29,P2 NNThijs,4,0,3,1,0,0,0,0,0,0,0,1,0,5,0,1,10,3,2
26,9,30,25,P1 NNPizza,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,1,13,4,2
27,10,30,25,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,5,0,1,14,4,2
28,11,30,19,P1 NNPizza,0,0,1,1,0,0,0,6,2,1,3,7,0,1,0,5,14,1,2
29,12,30,22,P2 NNThijs,3,0,1,1,0,0,0,0,1,0,7,1,0,6,0,0,20,6,2
30,13,25,19,P1 NNPizza,0,0,2,3,0,0,0,3,0,3,0,6,0,1,1,2,19,5,2
31,14,25,19,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,7,1,0,6,0,0,27,7,2
32,15,25,19,P1 NNPizza,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,5,22,3,2
33,16,22,19,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,0,2,0,6,0,1,34,7,2
34,17,17,19,P1 NNPizza,0,0,2,2,0,0,0,1,1,2,1,3,0,1,3,0,31,9,2
35,18,9,17,P2 NNThijs,0,0,2,2,0,0,0,2,0,2,0,4,0,6,1,1,42,8,2
36,19,7,17,P1 NNPizza,0,0,2,1,0,0,0,0,1,0,1,1,0,2,4,7,34,3,2
37,20,-2,17,P2 NNThijs,0,0,1,0,0,0,0,1,0,0,0,1,0,6,1,10,42,0,2
38,1,27,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
39,2,27,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
40,3,24,27,P1 NNPizza,0,0,4,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,3
41,4,24,25,P2 NNThijs,0,0,2,0,0,0,0,1,1,0,2,1,0,1,1,0,4,2,3
42,5,24,22,P1 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,6,3,3
43,6,24,30,P2 NNThijs,8,0,3,1,0,0,0,0,0,0,0,1,0,2,1,0,7,3,3
44,7,24,26,P1 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,3,7,1,3
45,8,21,23,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,3,1,0,3,1,0,11,4,3
46,9,21,19,P1 NNPizza,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,4,8,1,3
47,10,21,19,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,1,0,16,5,3
48,11,21,21,P1 NNPizza,0,0,1,2,0,0,0,5,3,2,4,7,0,1,0,1,13,5,3
49,12,21,19,P2 NNThijs,0,0,3,2,0,0,0,0,1,1,2,2,0,4,2,0,22,6,3
50,13,21,16,P1 NNPizza,0,0,1,0,0,0,0,3,0,0,0,3,0,1,0,7,13,0,3
51,14,21,16,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,0,29,7,3
52,15,14,16,P1 NNPizza,0,0,2,3,0,0,0,4,4,3,5,7,0,1,1,0,21,8,3
53,16,14,16,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,4,2,0,37,8,3
54,17,14,14,P1 NNPizza,0,0,2,4,0,0,0,4,1,2,3,8,0,3,2,3,27,6,3
55,18,14,14,P2 NNThijs,2,0,2,2,0,0,0,1,0,2,1,3,0,4,3,2,44,7,3
56,19,14,8,P1 NNPizza,0,0,2,1,0,0,0,2,0,1,0,3,0,3,3,5,32,5,3
57,20,-1,28,P2 NNThijs,20,0,1,2,0,0,0,3,0,2,0,5,0,4,3,0,54,10,3
58,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
59,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
60,3,30,27,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
61,4,30,27,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,4
62,5,30,22,P1 NNPizza,0,0,1,2,0,0,0,2,0,2,0,4,0,0,0,1,5,2,4
63,6,30,20,P2 NNThijs,0,0,2,0,0,0,0,1,0,0,1,1,0,1,2,1,6,2,4
64,7,30,12,P1 NNPizza,0,0,1,1,0,0,0,3,1,0,2,4,0,1,0,0,9,4,4
65,8,27,9,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,7,1,0,2,2,0,10,4,4
66,9,27,9,P1 NNPizza,0,0,1,3,0,0,0,0,1,2,1,3,0,2,0,0,14,5,4
67,10,24,6,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,3,1,0,3,2,1,14,4,4
68,11,24,6,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,4,16,2,4
69,12,24,10,P2 NNThijs,4,0,1,1,0,0,0,0,0,1,0,1,0,3,2,1,19,5,4
70,13,19,12,P1 NNPizza,0,0,5,3,0,0,0,2,1,2,2,5,0,3,1,0,23,7,4
71,14,19,12,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,1,1,0,3,2,0,26,7,4
72,15,19,11,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,3,1,0,31,8,4
73,16,19,14,P2 NNThijs,3,0,1,2,0,0,0,1,0,1,2,3,0,4,2,0,34,8,4
74,17,14,14,P1 NNPizza,0,0,2,2,0,0,0,0,0,2,0,2,0,3,2,5,35,4,4
75,18,7,12,P2 NNThijs,0,0,2,1,0,0,0,2,0,1,0,3,0,4,3,0,43,9,4
76,19,5,12,P1 NNPizza,0,0,2,2,0,0,0,1,0,2,0,3,0,3,3,2,43,8,4
77,20,-2,12,P2 NNThijs,0,0,1,0,0,0,0,1,0,0,0,1,0,4,3,10,43,0,4
78,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
79,2,30,30,P2 NNThijs,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,5
80,3,30,29,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,5
81,4,30,27,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,5
82,5,30,25,P1 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,5,3,5
83,6,30,29,P2 NNThijs,4,0,2,2,0,0,0,0,0,1,1,2,0,2,2,0,7,3,5
84,7,30,27,P1 NNPizza,0,0,1,2,0,0,0,2,0,2,1,4,0,0,0,0,9,4,5
85,8,27,24,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,2,1,0,3,2,0,11,4,5
86,9,27,19,P1 NNPizza,0,0,1,1,0,0,0,5,0,1,0,6,0,0,0,0,14,5,5
87,10,27,17,P2 NNThijs,0,0,3,2,0,0,0,0,0,1,1,2,0,4,3,0,16,5,5
88,11,25,3,P1 NNPizza,0,0,2,1,0,0,0,5,0,1,0,6,0,0,1,3,17,3,5
89,12,25,6,P2 NNThijs,3,0,1,1,0,0,0,1,0,0,2,2,0,5,3,0,22,6,5
90,13,23,3,P1 NNPizza,0,0,2,0,0,0,0,4,1,0,2,4,0,0,2,5,19,2,5
91,14,23,3,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,5,3,0,29,7,5
92,15,18,2,P1 NNPizza,0,0,2,4,0,0,0,4,2,4,3,8,0,0,3,0,27,8,5
93,16,18,2,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,0,2,0,5,3,0,37,8,5
94,17,18,0,P1 NNPizza,0,0,1,0,0,0,0,2,0,0,0,2,0,0,3,9,27,0,5
95,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
96,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,6
97,3,30,27,P1 NNPizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,6
98,4,30,25,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,6
99,5,30,19,P1 NNPizza,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,0,6,3,6
100,6,30,21,P2 NNThijs,4,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,6
101,7,30,12,P1 NNPizza,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,0,10,4,6
102,8,27,9,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,5,1,0,2,3,0,10,4,6
103,9,27,7,P1 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,3,0,5,10,0,6
104,10,27,7,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,3,0,15,5,6
105,11,27,7,P1 NNPizza,0,0,1,3,0,0,0,0,0,3,0,3,0,3,0,2,14,4,6
106,12,27,11,P2 NNThijs,4,0,13,3,0,0,0,1,0,0,2,4,0,5,3,0,21,6,6
107,13,27,11,P1 NNPizza,0,0,1,2,0,0,0,1,1,2,1,3,0,3,0,0,21,7,6
108,14,27,15,P2 NNThijs,4,0,1,1,0,0,0,1,1,1,8,2,0,5,3,0,28,7,6
109,15,22,15,P1 NNPizza,0,0,2,2,0,0,0,0,0,1,0,2,0,4,1,1,28,7,6
110,16,22,15,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,1,2,0,5,3,1,35,7,6
111,17,20,15,P1 NNPizza,0,0,2,2,0,0,0,4,4,2,5,6,0,4,2,4,33,5,6
112,18,15,15,P2 NNThijs,0,0,4,4,0,0,0,0,0,4,0,4,0,5,4,-1,45,10,6
113,19,13,11,P1 NNPizza,0,0,2,0,0,0,0,2,0,0,0,2,0,4,3,8,35,2,6
114,20,-2,11,P2 NNThijs,0,0,1,0,0,0,0,4,0,0,1,4,0,5,4,10,45,0,6
115,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7
116,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,7
117,3,27,29,P1 NNPizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,7
118,4,27,27,P2 NNThijs,0,0,2,0,0,0,0,1,1,0,2,1,0,1,1,0,4,2,7
119,5,27,25,P1 NNPizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,7
120,6,27,30,P2 NNThijs,5,0,3,1,0,0,0,0,0,0,0,1,0,2,1,0,7,3,7
121,7,27,24,P1 NNPizza,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,1,9,3,7
122,8,27,22,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,2,2,0,11,4,7
123,9,27,13,P1 NNPizza,0,0,1,1,0,0,0,5,0,1,0,6,0,0,0,1,13,4,7
124,10,27,13,P2 NNThijs,0,0,1,1,0,0,0,0,1,1,7,1,0,2,2,0,16,5,7
125,11,27,13,P1 NNPizza,0,0,4,3,0,0,0,0,0,2,0,3,0,1,0,0,19,6,7
126,12,20,10,P2 NNThijs,0,0,4,2,0,0,0,1,0,0,3,3,0,4,2,1,21,5,7
127,13,18,14,P1 NNPizza,0,0,2,2,0,0,0,1,2,1,3,3,0,2,1,2,24,5,7
128,14,18,14,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,0,28,7,7
129,15,16,14,P1 NNPizza,0,0,2,2,0,0,0,1,1,1,1,3,0,3,2,0,32,8,7
130,16,9,12,P2 NNThijs,0,0,2,1,0,0,0,1,0,1,0,2,0,4,3,4,32,4,7
131,17,6,12,P1 NNPizza,0,0,1,1,0,0,0,1,1,1,1,2,0,3,2,8,33,1,7
132,18,-1,12,P2 NNThijs,0,0,1,0,0,0,0,1,0,0,0,1,0,4,3,9,32,0,7
133,1,30,30,P1 NNPizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
134,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,8
135,3,27,30,P1 NNPizza,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,8
136,4,27,28,P2 NNThijs,0,0,2,0,0,0,0,1,1,0,2,1,0,1,1,0,4,2,8
137,5,24,28,P1 NNPizza,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,5,3,8
138,6,24,26,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,2,2,0,7,3,8
139,7,24,23,P1 NNPizza,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,0,9,4,8
140,8,21,20,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,6,1,0,3,2,0,11,4,8
141,9,21,17,P1 NNPizza,0,0,1,1,0,0,0,3,0,0,0,4,0,3,0,1,13,4,8
142,10,21,17,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,0,16,5,8
143,11,21,19,P1 NNPizza,0,0,1,2,0,0,0,7,5,2,6,9,0,3,0,0,19,6,8
144,12,21,25,P2 NNThijs,8,0,4,1,0,0,0,0,0,0,0,1,0,4,3,1,21,5,8
145,13,19,7,P1 NNPizza,0,0,2,0,0,0,0,4,0,0,0,4,0,3,1,5,21,2,8
146,14,19,5,P2 NNThijs,0,0,22,3,0,0,0,0,0,0,0,3,0,7,4,0,28,7,8
147,15,19,-3,P1 NNPizza,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,8,21,0,8
148,1,30,30,P1 NNPizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,9
149,2,30,30,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,9
150,3,30,29,P1 NNPizza,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,9
151,4,30,29,P2 NNThijs,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,4,2,9
152,5,30,29,P1 NNPizza,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,1,5,2,9
153,6,30,27,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,6,2,9
154,7,30,24,P1 NNPizza,0,0,4,4,0,0,0,1,1,2,1,5,0,2,0,0,9,4,9
155,8,30,26,P2 NNThijs,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,8,2,9
156,9,27,18,P1 NNPizza,0,0,1,3,0,0,0,3,0,3,0,6,0,2,0,0,14,5,9
157,10,27,20,P2 NNThijs,4,0,14,2,0,0,0,0,0,0,0,2,0,3,3,0,13,5,9
158,11,25,11,P1 NNPizza,0,0,2,0,0,0,0,4,0,0,0,4,0,2,1,4,16,2,9
