,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,25,P1 NNRoffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,30,25,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,1
4,5,30,22,P1 NNRoffle,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,6,3,1
5,6,30,25,P2 NNKrebs1996,3,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,7,3,1
6,7,28,20,P1 NNRoffle,0,0,2,1,0,0,0,4,2,1,4,5,0,0,1,0,10,4,1
7,8,25,17,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,3,1,0,2,1,0,11,4,1
8,9,25,17,P1 NNRoffle,0,0,1,4,0,0,0,0,0,3,0,4,0,1,1,0,15,5,1
9,10,25,20,P2 NNKrebs1996,3,0,1,1,0,0,0,1,0,1,0,2,0,2,1,0,16,5,1
10,11,25,21,P1 NNRoffle,0,0,1,1,0,0,0,3,1,1,2,4,0,1,1,5,16,1,1
11,12,25,21,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,21,5,1
12,13,25,24,P1 NNRoffle,0,0,1,1,0,0,0,6,4,0,5,7,0,2,1,3,20,4,1
13,14,22,21,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,7,2,0,3,1,0,28,7,1
14,15,22,21,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,7,21,1,1
15,16,22,21,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,1,3,0,3,1,0,36,8,1
16,17,17,21,P1 NNRoffle,0,0,2,2,0,0,0,0,0,2,0,2,0,2,2,5,25,4,1
17,18,5,19,P2 NNKrebs1996,0,0,2,2,0,0,0,3,0,2,0,5,0,3,2,1,44,8,1
18,19,3,19,P1 NNRoffle,0,0,2,1,0,0,0,2,2,0,2,3,0,3,3,7,28,3,1
19,20,-2,23,P2 NNKrebs1996,4,0,1,0,0,0,0,1,0,0,0,1,0,3,2,10,44,0,1
20,1,30,26,P1 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
21,2,30,26,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
22,3,30,26,P1 NNRoffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,3,2,2
23,4,30,24,P2 NNKrebs1996,0,0,2,0,0,0,0,1,0,0,1,1,0,1,1,0,4,2,2
24,5,30,23,P1 NNRoffle,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,6,3,2
25,6,27,23,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,0,2,0,1,1,0,7,3,2
26,7,25,19,P1 NNRoffle,0,0,2,2,0,0,0,1,0,1,1,3,0,3,1,0,10,4,2
27,8,25,19,P2 NNKrebs1996,0,0,1,1,0,0,0,1,1,1,2,2,0,1,1,1,10,3,2
28,9,23,13,P1 NNRoffle,0,0,2,1,0,0,0,2,0,1,1,3,0,3,2,0,15,5,2
29,10,20,10,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,2,1,0,2,1,1,14,4,2
30,11,18,-1,P1 NNRoffle,0,0,2,2,0,0,0,2,1,1,1,4,0,4,3,1,20,5,2
31,1,30,30,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
32,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
33,3,30,25,P1 NNRoffle,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,3
34,4,30,23,P2 NNKrebs1996,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
35,5,30,20,P1 NNRoffle,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,3
36,6,30,23,P2 NNKrebs1996,3,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,3
37,7,27,22,P1 NNRoffle,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,2,6,2,3
38,8,24,19,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,4,1,0,2,2,0,11,4,3
39,9,24,19,P1 NNRoffle,0,0,1,1,0,0,0,1,0,0,0,2,0,2,0,4,7,1,3
40,10,24,17,P2 NNKrebs1996,0,0,2,1,0,0,1,0,0,1,0,1,0,2,3,0,16,5,3
41,11,19,17,P1 NNRoffle,0,0,2,3,0,0,0,1,0,2,0,4,0,3,1,0,13,6,3
42,12,9,17,P2 NNKrebs1996,0,0,1,2,0,1,0,2,0,2,0,4,0,2,3,0,22,6,3
43,13,7,17,P1 NNRoffle,0,0,2,2,0,0,0,2,3,0,5,4,0,5,2,3,17,4,3
44,14,-1,14,P2 NNKrebs1996,0,0,1,1,0,0,0,2,1,0,4,3,0,3,3,3,26,4,3
45,1,30,26,P1 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,4
