,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1
2,3,30,30,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,1
3,4,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,3,2,1
4,5,30,30,P1 NNRoffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,6,3,1
5,6,30,30,P2 NNOrasha,0,0,3,1,0,0,0,0,0,0,0,1,0,3,0,0,6,3,1
6,7,28,18,P1 NNRoffle,0,0,2,2,0,0,0,3,1,0,1,5,0,3,1,0,10,4,1
7,8,25,15,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,0,1,0,4,0,0,10,4,1
8,9,20,9,P1 NNRoffle,0,0,2,2,0,0,0,2,0,2,0,4,0,3,2,1,14,4,1
9,10,20,9,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,0,0,15,5,1
10,11,18,4,P1 NNRoffle,0,0,2,2,0,0,0,4,2,1,3,6,0,4,3,2,18,4,1
11,12,18,4,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,1,1,0,4,0,0,21,6,1
12,13,18,0,P1 NNRoffle,0,0,1,0,0,0,0,1,0,0,0,1,0,4,3,7,18,0,1
13,1,30,30,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
14,2,30,30,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
15,3,30,25,P1 NNRoffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,2
16,4,30,25,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,3,2,2
17,5,30,25,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,3,2
18,6,30,23,P2 NNOrasha,0,0,2,2,0,0,0,0,0,0,0,2,0,4,1,0,7,3,2
19,7,30,21,P1 NNRoffle,0,0,1,2,0,0,0,2,1,1,1,4,0,2,0,2,8,2,2
20,8,30,21,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,1,10,3,2
21,9,30,17,P1 NNRoffle,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,3,10,2,2
22,10,30,20,P2 NNOrasha,3,0,1,1,0,0,0,2,0,1,2,3,0,4,1,0,15,5,2
23,11,30,20,P1 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,5,11,1,2
24,12,30,23,P2 NNOrasha,3,0,1,1,0,0,0,2,0,1,1,3,0,4,1,1,20,5,2
25,13,30,26,P1 NNRoffle,0,0,1,0,0,0,0,1,1,0,2,1,0,3,0,7,11,0,2
26,14,23,26,P2 NNOrasha,0,0,1,1,0,0,0,2,0,1,0,3,0,4,1,0,27,7,2
27,15,21,26,P1 NNRoffle,0,0,2,2,0,0,0,0,0,1,0,2,0,4,1,4,15,4,2
28,16,7,24,P2 NNOrasha,0,0,2,2,0,0,0,3,0,2,0,5,0,4,2,0,35,8,2
29,17,5,24,P1 NNRoffle,0,0,2,1,0,0,0,0,1,0,1,1,0,5,2,6,18,3,2
30,18,-1,24,P2 NNOrasha,0,0,1,0,0,0,0,1,0,0,0,1,0,4,2,9,35,0,2
31,1,30,26,P1 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
32,2,30,26,P2 NNOrasha,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,1,1,0,3
33,3,30,26,P1 NNRoffle,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,0,3,2,3
34,4,30,24,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,3
35,5,30,21,P1 NNRoffle,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,0,6,3,3
