,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNThijs,0,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
2,3,30,29,P1 NNRoffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,30,27,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,1
4,5,30,24,P1 NNRoffle,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,0,6,3,1
5,6,27,21,P2 NNThijs,0,0,1,2,0,0,0,0,0,0,5,2,0,3,1,0,7,3,1
6,7,27,21,P1 NNRoffle,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,1,9,3,1
7,8,27,19,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,3,2,0,11,4,1
8,9,27,14,P1 NNRoffle,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,1,13,4,1
9,10,27,17,P2 NNThijs,3,0,1,1,0,0,0,2,0,1,2,3,0,3,2,0,16,5,1
10,11,25,20,P1 NNRoffle,0,0,2,3,0,0,0,4,3,2,6,7,0,2,1,0,19,6,1
11,12,25,18,P2 NNThijs,0,0,3,2,0,0,0,0,1,1,2,2,0,4,3,0,22,6,1
12,13,23,7,P1 NNRoffle,0,0,2,1,0,0,0,5,1,0,2,6,0,3,2,4,22,3,1
13,14,23,7,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,4,1,0,4,3,0,29,7,1
14,15,20,7,P1 NNRoffle,0,0,1,2,0,0,0,0,0,2,0,2,0,3,2,6,24,2,1
15,16,20,7,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,1,2,0,4,3,1,36,7,1
16,17,18,7,P1 NNRoffle,0,0,2,2,0,0,0,1,0,1,1,3,0,4,3,5,28,4,1
17,18,11,7,P2 NNThijs,0,0,1,2,0,0,0,1,0,2,0,3,0,4,3,3,42,6,1
18,19,9,7,P1 NNRoffle,0,0,2,2,0,0,0,1,1,2,1,3,0,4,4,4,34,6,1
19,20,0,7,P2 NNThijs,0,0,1,0,0,0,0,2,0,0,0,2,0,4,3,10,42,0,1
20,1,30,30,P1 NNRoffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
21,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
22,3,30,28,P1 NNRoffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,3,2,2
23,4,30,26,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
24,5,30,21,P1 NNRoffle,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,1,5,2,2
25,6,30,25,P2 NNThijs,4,0,3,1,0,0,0,0,0,0,0,1,0,2,2,0,7,3,2
26,7,30,20,P1 NNRoffle,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0,0,9,4,2
27,8,27,17,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,4,1,0,3,2,0,11,4,2
28,9,27,12,P1 NNRoffle,0,0,1,2,0,0,0,1,0,2,0,3,0,3,0,0,14,5,2
29,10,27,12,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,3,2,0,16,5,2
30,11,25,7,P1 NNRoffle,0,0,2,1,0,0,0,4,2,1,3,5,0,3,1,2,18,4,2
31,12,25,10,P2 NNThijs,3,0,1,1,0,0,0,0,0,0,1,1,0,4,2,0,22,6,2
32,13,23,1,P1 NNRoffle,0,0,2,0,0,0,0,5,0,0,0,5,0,3,2,5,20,2,2
