,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNSolegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 NNSolegit,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,1
3,4,30,28,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,1
4,5,30,26,P1 NNSolegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,5,3,1
5,6,30,26,P2 NNOrasha,0,0,1,1,0,0,0,0,1,1,4,1,0,1,1,0,7,3,1
6,7,25,26,P1 NNSolegit,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,9,4,1
7,8,25,24,P2 NNOrasha,0,0,2,1,0,0,0,1,0,0,1,2,0,2,2,1,10,3,1
8,9,25,24,P1 NNSolegit,0,0,1,2,0,0,0,1,2,0,3,3,0,3,0,0,14,5,1
9,10,25,21,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,3,1,0,3,2,1,14,4,1
10,11,25,21,P1 NNSolegit,0,0,2,1,0,0,0,0,0,0,0,1,0,4,1,0,20,6,1
11,12,22,16,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,4,1,0,4,3,0,20,6,1
12,13,22,16,P1 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,4,1,5,22,2,1
13,14,22,14,P2 NNOrasha,0,0,2,1,0,0,0,0,0,1,0,1,0,4,4,0,27,7,1
14,15,22,13,P1 NNSolegit,0,0,1,1,0,0,0,1,1,1,1,2,0,4,1,0,30,8,1
