,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,26,P1 NNSolegit,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
1,2,30,26,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,26,P1 NNSolegit,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,3,2,1
3,4,30,26,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,4,2,1
4,5,30,25,P1 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,6,3,1
5,6,30,25,P2 NNSlage,0,0,1,1,0,0,0,0,2,1,4,1,0,1,0,1,6,2,1
6,7,30,25,P1 NNSolegit,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,6,0,1
7,8,30,23,P2 NNSlage,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,0,10,4,1
8,9,30,23,P1 NNSolegit,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,10,4,1
9,10,30,21,P2 NNSlage,0,0,2,1,0,0,0,0,0,1,0,1,0,1,2,0,15,5,1
10,11,28,13,P1 NNSolegit,0,0,2,3,0,0,0,4,1,2,1,7,0,3,1,0,16,6,1
11,12,22,17,P2 NNSlage,4,0,2,2,0,0,0,1,1,0,8,3,0,3,2,1,20,5,1
12,13,17,17,P1 NNSolegit,0,0,2,3,0,0,0,0,0,3,0,3,0,3,2,2,21,5,1
13,14,17,17,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,1,2,0,3,2,0,27,7,1
14,15,17,17,P1 NNSolegit,0,0,2,0,0,0,0,1,1,0,1,1,0,3,3,6,23,2,1
15,16,0,22,P2 NNSlage,5,0,1,2,0,0,0,3,0,2,0,5,0,3,2,1,34,7,1
16,1,30,30,P1 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
17,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
18,3,30,26,P1 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
19,4,30,26,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,2
20,5,30,20,P1 NNSolegit,0,0,1,2,0,0,0,2,1,1,1,4,0,1,0,1,5,2,2
21,6,30,20,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,1,6,2,2
22,7,30,18,P1 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,1,8,3,2
23,8,30,18,P2 NNSlage,0,0,1,1,0,0,0,0,2,1,4,1,0,1,1,0,10,4,2
24,9,30,18,P1 NNSolegit,0,0,1,1,0,0,0,1,1,1,2,2,0,1,0,0,13,5,2
25,10,28,18,P2 NNSlage,0,0,1,1,0,0,0,2,0,1,0,3,0,1,1,1,14,4,2
26,11,25,18,P1 NNSolegit,0,0,4,5,0,0,0,0,0,4,0,5,0,2,0,0,19,6,2
27,12,24,18,P2 NNSlage,0,0,1,2,0,0,0,3,0,2,1,5,0,1,1,0,20,6,2
28,13,22,18,P1 NNSolegit,0,0,2,2,0,0,0,3,2,2,4,5,0,2,1,3,23,4,2
29,14,22,18,P2 NNSlage,0,0,1,1,0,0,1,2,1,1,3,3,0,1,1,0,27,7,2
30,15,17,13,P1 NNSolegit,0,0,2,2,0,0,0,5,0,2,0,7,0,2,2,2,29,6,2
31,16,8,13,P2 NNSlage,0,0,1,1,0,1,1,2,0,1,0,3,0,1,1,1,34,7,2
32,17,6,6,P1 NNSolegit,0,0,2,0,0,0,0,7,0,0,0,7,0,2,3,7,31,2,2
33,18,-2,6,P2 NNSlage,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,9,34,0,2
34,1,30,30,P1 NNSolegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
35,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
36,3,30,28,P1 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,3
37,4,30,26,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
38,5,30,24,P1 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,5,3,3
39,6,30,28,P2 NNSlage,4,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,6,2,3
40,7,28,20,P1 NNSolegit,0,0,2,1,0,0,0,2,0,0,0,3,0,1,1,1,8,3,3
41,8,28,20,P2 NNSlage,0,0,1,1,0,0,0,1,0,1,1,2,0,1,2,0,10,4,3
42,9,23,20,P1 NNSolegit,0,0,5,3,0,0,0,3,1,2,3,6,0,2,2,0,13,5,3
43,10,23,20,P2 NNSlage,0,0,1,1,0,0,1,0,0,1,0,1,0,1,2,0,15,5,3
44,11,23,18,P1 NNSolegit,0,0,1,2,0,0,0,1,0,2,0,3,0,2,2,1,18,5,3
45,12,20,13,P2 NNSlage,0,0,2,1,0,1,0,1,0,0,3,2,0,2,3,0,21,6,3
46,13,18,9,P1 NNSolegit,0,0,2,3,0,0,0,2,1,3,1,5,0,2,3,0,25,7,3
