,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,27,P1 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,25,P2 NNStonekeep,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,21,P1 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,4,1,1
5,6,30,21,P2 NNStonekeep,0,0,1,1,0,0,0,0,0,0,1,1,0,2,2,0,7,3,1
6,7,30,19,P1 NNSolegit,0,0,1,1,0,0,0,2,0,0,0,3,0,1,0,0,8,4,1
7,8,30,21,P2 NNStonekeep,4,0,2,1,0,0,0,0,0,1,0,1,0,2,3,0,11,4,1
8,9,30,15,P1 NNSolegit,0,0,1,1,0,0,0,6,0,1,0,7,0,1,0,2,11,3,1
9,10,30,13,P2 NNStonekeep,0,0,2,1,0,0,1,0,1,1,8,1,0,2,4,0,16,5,1
10,11,30,13,P1 NNSolegit,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,1,16,5,1
11,12,30,13,P2 NNStonekeep,0,0,1,1,0,1,0,1,0,1,6,2,0,2,4,0,22,6,1
12,13,25,13,P1 NNSolegit,0,0,2,3,0,0,0,0,0,3,0,3,0,2,1,1,22,6,1
13,14,15,13,P2 NNStonekeep,0,0,1,1,0,0,0,2,0,1,6,3,0,2,4,0,29,7,1
14,15,12,13,P1 NNSolegit,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,30,8,1
15,16,0,13,P2 NNStonekeep,0,0,1,0,0,0,0,2,0,0,0,2,0,2,4,8,29,0,1
16,1,30,30,P1 NNSolegit,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
17,2,30,28,P2 NNStonekeep,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
