,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNThijs,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,3,30,28,P1 NNSolegit,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,1
3,4,30,28,P2 NNThijs,0,0,1,2,0,0,0,0,0,0,1,2,0,2,0,0,3,2,1
4,5,30,27,P1 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,4,1,1
5,6,30,25,P2 NNThijs,0,0,3,1,0,0,0,0,0,0,1,1,0,3,1,0,6,3,1
6,7,27,24,P1 NNSolegit,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,3,5,1,1
7,8,27,22,P2 NNThijs,0,0,2,1,0,0,0,0,0,1,0,1,0,3,2,0,10,4,1
8,9,27,18,P1 NNSolegit,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,8,3,1
9,10,27,22,P2 NNThijs,4,0,1,1,0,0,0,1,0,1,0,2,0,3,2,0,15,5,1
10,11,27,26,P1 NNSolegit,0,0,1,1,0,0,0,3,2,1,3,4,0,1,0,1,13,5,1
11,12,24,26,P2 NNThijs,0,0,1,1,0,0,0,1,0,1,0,2,0,3,2,1,20,5,1
12,13,24,30,P1 NNSolegit,0,0,1,1,0,0,0,2,1,1,3,3,0,1,0,1,19,6,1
13,14,21,27,P2 NNThijs,0,0,1,2,0,0,0,0,1,1,2,2,0,4,2,0,27,7,1
14,15,21,18,P1 NNSolegit,0,0,1,2,0,0,0,1,1,1,1,3,0,2,0,5,22,3,1
15,16,21,18,P2 NNThijs,0,0,1,1,0,0,0,0,0,0,4,1,0,5,2,0,35,8,1
16,17,21,18,P1 NNSolegit,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,5,26,4,1
17,18,21,18,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,4,2,0,5,2,0,44,9,1
18,19,16,18,P1 NNSolegit,0,0,2,3,0,0,0,0,0,3,0,3,0,3,1,4,32,6,1
19,20,12,18,P2 NNThijs,0,0,1,1,0,0,0,2,0,1,0,3,0,5,2,0,54,10,1
20,21,10,16,P1 NNSolegit,0,0,2,2,0,0,0,3,2,2,3,5,0,3,2,3,39,7,1
21,22,0,-18,P2 NNThijs,4,0,25,4,0,0,0,2,2,0,5,6,0,9,3,0,64,10,1
22,1,30,30,P1 NNSolegit,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
23,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
24,3,30,23,P1 NNSolegit,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,2
25,4,30,21,P2 NNThijs,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
26,5,27,19,P1 NNSolegit,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,0,6,3,2
27,6,27,19,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,2
28,7,25,12,P1 NNSolegit,0,0,2,1,0,0,0,3,0,1,0,4,0,1,1,0,10,4,2
29,8,25,16,P2 NNThijs,4,0,10,2,0,0,0,1,1,0,3,3,0,3,2,1,10,3,2
30,9,23,9,P1 NNSolegit,0,0,2,2,0,0,0,2,1,1,1,4,0,2,2,0,15,5,2
31,10,20,10,P2 NNThijs,4,0,1,1,0,0,0,0,0,0,5,1,0,4,2,1,14,4,2
32,11,20,5,P1 NNSolegit,0,0,1,2,0,0,0,2,0,2,0,4,0,2,2,3,18,3,2
33,12,17,2,P2 NNThijs,0,0,1,2,0,0,0,0,0,1,4,2,0,5,2,0,20,6,2
34,13,15,1,P1 NNSolegit,0,0,2,1,0,0,0,1,0,0,0,2,0,3,3,1,24,6,2
35,14,15,4,P2 NNThijs,3,0,6,2,0,0,0,2,0,1,2,4,0,6,2,0,27,7,2
36,15,15,10,P1 NNSolegit,0,0,1,2,0,0,0,3,3,2,5,5,0,3,3,2,30,6,2
37,16,15,11,P2 NNThijs,3,0,2,1,0,0,0,0,0,0,1,1,0,7,3,0,35,8,2
38,17,13,7,P1 NNSolegit,0,0,5,4,0,0,0,1,1,2,1,5,0,5,4,3,36,6,2
