,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,24,P1 NNViper,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,0,3,2,1
3,4,30,24,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,0,1,0,2,1,0,4,2,1
4,5,30,24,P1 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,6,3,1
5,6,30,28,P2 NNOrasha,4,0,7,2,0,0,0,0,0,0,3,2,0,4,1,0,7,3,1
6,7,30,26,P1 NNViper,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,10,4,1
7,8,27,23,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,2,1,0,5,1,0,11,4,1
8,9,27,22,P1 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,2,13,3,1
9,10,27,25,P2 NNOrasha,3,0,1,1,0,0,0,1,0,1,1,2,0,5,1,0,16,5,1
10,11,20,27,P1 NNViper,0,0,2,1,0,0,0,2,1,1,2,3,0,1,1,3,16,3,1
11,12,20,27,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,1,0,22,6,1
12,13,20,26,P1 NNViper,0,0,2,2,0,0,0,1,0,2,0,3,0,1,2,0,23,7,1
13,14,20,26,P2 NNOrasha,0,0,1,1,0,0,0,1,0,1,1,2,0,5,1,1,28,6,1
14,15,20,19,P1 NNViper,0,0,1,3,0,0,0,3,1,2,1,6,0,2,2,2,29,6,1
15,16,0,13,P2 NNOrasha,0,0,1,2,0,0,0,2,1,0,7,4,0,7,1,0,36,8,1
16,1,30,30,P1 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
17,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
18,3,30,27,P1 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
19,4,30,25,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,2
20,5,30,19,P1 NNViper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,6,3,2
21,6,30,19,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,2
22,7,30,9,P1 NNViper,0,0,1,2,0,0,0,4,1,1,1,6,0,1,0,0,10,4,2
23,8,26,7,P2 NNOrasha,0,0,2,1,0,0,0,1,0,0,4,2,0,2,3,1,10,3,2
24,9,26,0,P1 NNViper,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,1,14,4,2
25,1,30,30,P1 NNViper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
26,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
27,3,30,28,P1 NNViper,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,3
28,4,30,26,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
29,5,30,25,P1 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,0,5,3,3
30,6,30,25,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,3
31,7,27,25,P1 NNViper,0,0,1,2,0,0,0,2,2,1,3,4,0,2,0,2,7,2,3
32,8,27,29,P2 NNOrasha,4,0,3,2,0,0,0,0,0,0,0,2,0,3,2,0,11,4,3
33,9,27,27,P1 NNViper,0,0,1,1,0,0,0,1,0,0,0,2,0,3,0,1,11,4,3
34,10,24,24,P2 NNOrasha,0,0,1,1,0,0,0,0,0,0,4,1,0,4,2,1,15,4,3
35,11,21,20,P1 NNViper,0,0,1,3,0,0,0,1,0,3,0,4,0,3,0,1,16,5,3
36,12,21,20,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,0,21,6,3
37,13,21,14,P1 NNViper,0,0,1,2,0,0,0,3,1,2,1,5,0,3,0,0,23,7,3
38,14,21,14,P2 NNOrasha,0,0,1,2,0,0,0,1,1,1,6,3,0,5,2,1,27,6,3
39,15,21,17,P1 NNViper,0,0,1,1,0,0,0,6,5,0,6,7,0,4,0,4,27,4,3
40,16,21,17,P2 NNOrasha,0,0,1,2,0,0,0,0,0,1,0,2,0,6,2,1,34,7,3
41,17,19,17,P1 NNViper,0,0,2,2,0,0,0,1,2,1,2,3,0,5,1,5,31,4,3
42,18,14,15,P2 NNOrasha,0,0,2,2,0,0,0,1,0,1,4,3,0,7,3,0,43,9,3
43,19,9,15,P1 NNViper,0,0,2,2,0,0,0,0,0,2,0,2,0,5,2,6,35,4,3
44,20,3,14,P2 NNOrasha,4,0,3,3,0,0,0,2,1,1,3,5,0,9,4,0,53,10,3
45,21,1,14,P1 NNViper,0,0,2,1,0,0,0,0,0,1,0,1,0,5,3,7,38,3,3
46,22,-5,14,P2 NNOrasha,0,0,1,0,0,0,0,2,1,0,2,2,0,9,4,10,53,0,3
47,1,30,30,P1 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
48,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,4
49,3,30,26,P1 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,4
