,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,26,P1 NNViper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
3,4,30,24,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,30,20,P1 NNViper,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,5,2,1
5,6,30,20,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,1
6,7,30,16,P1 NNViper,0,0,1,1,0,0,0,3,1,1,2,4,0,0,0,1,8,3,1
7,8,27,13,P2 NNSlage,0,0,1,1,0,0,0,0,0,0,7,1,0,2,2,0,11,4,1
8,9,25,9,P1 NNViper,0,0,2,2,0,0,0,1,0,2,0,3,0,0,1,0,13,5,1
9,10,25,13,P2 NNSlage,4,0,1,1,0,0,0,0,0,1,0,1,0,2,2,1,15,4,1
10,11,25,11,P1 NNViper,0,0,1,2,0,0,0,2,1,1,2,4,0,1,1,0,19,6,1
11,12,25,11,P2 NNSlage,0,0,1,2,0,0,0,0,1,1,8,2,0,3,2,0,21,6,1
12,13,25,11,P1 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,6,20,1,1
13,14,25,11,P2 NNSlage,0,0,1,2,0,0,0,0,0,2,0,2,0,3,2,1,27,6,1
14,15,25,11,P1 NNViper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,27,7,1
15,16,21,12,P2 NNSlage,3,0,2,1,0,0,0,2,0,0,2,3,0,4,3,0,35,8,1
