,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 NNWabeka,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,3,2,1
3,4,30,27,P2 NNKrebs1996,0,0,2,0,0,0,0,1,1,0,2,1,0,1,1,0,4,2,1
4,5,30,26,P1 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,3,1
5,6,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,1
6,7,30,24,P1 NNWabeka,0,0,4,3,0,0,0,2,1,1,2,5,0,2,0,0,10,4,1
7,8,27,21,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,0,5,1,0,2,1,0,11,4,1
8,9,27,21,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,15,5,1
9,10,27,24,P2 NNKrebs1996,3,0,1,2,0,0,0,0,0,2,0,2,0,2,1,0,16,5,1
10,11,27,24,P1 NNWabeka,0,0,1,1,0,0,0,1,0,1,1,2,0,2,0,1,20,5,1
11,12,24,21,P2 NNKrebs1996,0,0,1,2,0,0,0,1,1,1,3,3,0,3,1,0,22,6,1
12,13,24,19,P1 NNWabeka,0,0,1,3,0,0,0,0,1,2,1,3,0,3,0,0,27,7,1
13,14,21,15,P2 NNKrebs1996,0,0,2,1,0,0,0,1,1,0,4,2,0,4,2,1,28,6,1
14,15,21,15,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,3,0,7,28,1,1
15,16,21,13,P2 NNKrebs1996,0,0,2,1,0,0,1,0,0,1,0,1,0,4,3,0,36,8,1
16,17,19,12,P1 NNWabeka,0,0,2,2,0,0,0,1,0,2,0,3,0,3,1,1,36,8,1
17,18,19,12,P2 NNKrebs1996,0,0,1,2,0,1,0,1,0,2,1,3,0,4,3,1,44,8,1
18,19,17,12,P1 NNWabeka,0,0,2,0,0,0,0,1,1,0,1,1,0,3,2,8,38,2,1
19,20,1,10,P2 NNKrebs1996,0,0,2,2,0,0,0,3,0,2,0,5,0,4,4,1,53,9,1
20,21,1,10,P1 NNWabeka,0,0,1,0,0,0,0,1,1,0,1,1,0,3,2,10,38,0,1
21,22,-2,10,P2 NNKrebs1996,0,0,1,0,0,0,0,1,0,0,0,1,0,4,4,10,53,0,1
22,1,30,30,P1 NNWabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
23,2,30,30,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
24,3,30,30,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
25,4,30,28,P2 NNKrebs1996,0,0,2,0,0,0,0,0,1,0,2,0,0,1,1,0,4,2,2
26,5,30,28,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,4,2,2
27,6,30,28,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,7,3,2
28,7,30,28,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,4,2
29,8,30,26,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,11,4,2
30,9,30,19,P1 NNWabeka,0,0,4,3,0,0,0,3,3,1,4,6,0,2,0,1,12,4,2
31,10,30,19,P2 NNKrebs1996,0,0,1,1,0,0,0,1,0,1,1,2,0,1,1,0,16,5,2
32,11,30,18,P1 NNWabeka,0,0,1,2,0,0,0,3,1,2,3,5,0,2,0,0,18,6,2
33,12,30,18,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,21,5,2
34,13,28,13,P1 NNWabeka,0,0,2,1,0,0,0,5,0,1,1,6,0,2,1,0,25,7,2
35,14,28,13,P2 NNKrebs1996,0,0,1,2,0,0,0,0,0,2,0,2,0,1,1,0,28,7,2
36,15,28,2,P1 NNWabeka,0,0,1,1,0,0,0,5,1,0,2,6,0,3,1,4,29,4,2
37,16,28,2,P2 NNKrebs1996,0,0,1,2,0,0,0,1,0,2,1,3,0,1,1,0,36,8,2
38,17,28,0,P1 NNWabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,9,29,0,2
39,1,30,30,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
40,2,30,28,P2 NNKrebs1996,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
41,3,30,27,P1 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,3
42,4,30,27,P2 NNKrebs1996,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,4,2,3
