,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,27,30,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,27,30,P2 NNOrasha,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0,0,2,1,1
2,3,27,29,P1 NNWabeka,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,27,27,P2 NNOrasha,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,4,2,1
4,5,27,25,P1 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,3,2,1
5,6,27,23,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,2,1,0,3,2,0,7,3,1
6,7,27,23,P1 NNWabeka,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,7,4,1
7,8,27,23,P2 NNOrasha,0,0,2,2,0,0,0,0,0,1,1,2,0,4,2,0,11,4,1
8,9,30,23,P1 NNWabeka,3,0,1,1,0,0,0,4,3,1,4,5,0,1,0,0,12,5,1
9,10,30,26,P2 NNOrasha,3,0,1,1,0,0,0,1,0,1,1,2,0,4,2,0,16,5,1
10,11,30,26,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,17,5,1
11,12,27,30,P2 NNOrasha,6,0,2,1,0,0,0,1,0,1,0,2,0,4,3,1,21,5,1
12,13,27,28,P1 NNWabeka,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,1,23,6,1
13,14,21,22,P2 NNOrasha,3,0,2,1,0,0,0,1,1,0,6,2,0,5,4,1,27,6,1
14,15,21,22,P1 NNWabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,2,29,6,1
15,16,21,22,P2 NNOrasha,0,0,1,1,0,0,0,0,0,1,0,1,0,5,4,1,34,7,1
16,17,21,22,P1 NNWabeka,0,0,1,3,0,0,0,0,0,3,0,3,0,1,0,0,38,9,1
17,18,21,22,P2 NNOrasha,0,0,3,2,0,0,0,0,0,2,0,2,0,5,4,0,43,9,1
18,19,19,12,P1 NNWabeka,0,0,2,1,0,0,0,4,0,1,0,5,0,1,1,3,45,7,1
19,20,12,10,P2 NNOrasha,0,0,2,1,0,0,0,3,0,1,1,4,0,5,5,2,51,8,1
20,21,12,-2,P1 NNWabeka,0,0,1,0,0,0,0,3,0,0,0,3,0,1,1,10,45,0,1
21,1,30,30,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
22,2,30,28,P2 NNOrasha,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,2
23,3,30,27,P1 NNWabeka,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,1,2,1,2
