,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,27,30,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,27,30,P2 NNSlage,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,27,27,P1 NNWabeka,0,0,4,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,1
3,4,27,25,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,1
4,5,27,21,P1 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,2,4,1,1
5,6,27,21,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,7,3,1
6,7,27,17,P1 NNWabeka,0,0,1,1,0,0,0,3,1,0,2,4,0,2,0,0,8,4,1
7,8,27,17,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2,0,11,4,1
8,9,30,11,P1 NNWabeka,3,0,1,1,0,0,0,7,2,1,3,8,0,2,0,0,13,5,1
9,10,30,15,P2 NNSlage,4,0,1,2,0,0,0,0,0,2,0,2,0,1,2,0,16,5,1
10,11,30,0,P1 NNWabeka,0,0,1,2,0,0,0,3,0,2,0,5,0,2,0,0,19,6,1
11,1,30,30,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,2,30,30,P2 NNSlage,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
13,3,30,28,P1 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,2
14,4,30,26,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2
15,5,30,22,P1 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,2,4,1,2
16,6,30,24,P2 NNSlage,4,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,2
17,7,27,18,P1 NNWabeka,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,2,6,2,2
18,8,27,18,P2 NNSlage,0,0,1,1,0,0,0,0,1,0,6,1,0,2,2,0,10,4,2
19,9,30,14,P1 NNWabeka,3,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,11,5,2
20,10,30,14,P2 NNSlage,0,0,1,1,0,0,0,0,0,1,0,1,0,2,2,1,14,4,2
21,11,30,10,P1 NNWabeka,2,0,5,1,0,0,0,1,0,0,0,2,0,1,1,3,14,3,2
22,12,30,10,P2 NNSlage,0,0,1,2,0,0,0,1,0,2,1,3,0,2,2,0,20,6,2
23,13,30,10,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,2,19,5,2
24,14,20,10,P2 NNSlage,0,0,1,1,0,0,0,3,0,1,0,4,0,2,2,0,27,7,2
25,15,18,10,P1 NNWabeka,0,0,2,2,0,0,0,1,1,1,1,3,0,2,2,0,27,8,2
26,16,0,10,P2 NNSlage,0,0,1,0,0,0,0,3,0,0,0,3,0,2,2,8,27,0,2
27,1,30,30,P1 NNWabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
28,2,30,28,P2 NNSlage,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3
29,3,30,28,P1 NNWabeka,0,0,4,2,0,0,0,0,0,1,0,2,0,1,0,0,2,2,3
30,4,30,26,P2 NNSlage,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,4,2,3
31,5,30,25,P1 NNWabeka,0,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,5,3,3
32,6,30,29,P2 NNSlage,4,0,1,1,0,0,0,0,0,1,0,1,0,1,2,1,6,2,3
33,7,30,27,P1 NNWabeka,0,0,1,1,0,0,0,3,2,1,3,4,0,1,0,2,7,2,3
34,8,27,24,P2 NNSlage,0,0,1,1,0,0,0,0,0,0,6,1,0,2,2,0,10,4,3
35,9,27,24,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,12,5,3
36,10,27,24,P2 NNSlage,0,0,1,1,0,0,1,0,0,1,0,1,0,2,2,0,15,5,3
37,11,30,17,P1 NNWabeka,3,0,1,2,0,0,0,1,0,2,0,3,0,1,0,0,18,6,3
38,12,30,15,P2 NNSlage,0,0,2,2,0,1,0,0,0,2,0,2,0,2,3,0,21,6,3
39,13,30,15,P1 NNWabeka,2,0,2,2,0,0,0,1,1,1,1,3,0,2,1,0,25,7,3
40,14,30,11,P2 NNSlage,0,0,1,1,0,0,0,0,3,1,10,1,0,2,3,0,28,7,3
41,15,30,11,P1 NNWabeka,0,0,1,2,0,0,0,0,0,2,0,2,0,2,1,1,32,7,3
42,16,30,11,P2 NNSlage,0,0,1,2,0,0,0,1,0,2,1,8,0,2,3,0,36,8,3
43,17,28,9,P1 NNWabeka,0,0,2,3,0,0,0,1,0,3,2,4,0,2,2,2,39,7,3
44,18,28,9,P2 NNSlage,0,0,1,3,0,0,0,1,0,3,1,4,0,2,3,1,44,8,3
45,19,23,4,P1 NNWabeka,0,0,2,2,0,0,0,2,0,2,3,4,0,2,3,7,42,3,3
46,20,23,4,P2 NNSlage,0,0,1,2,0,0,0,1,0,2,1,3,0,2,3,2,52,8,3
47,21,23,0,P1 NNWabeka,0,0,1,0,0,0,0,2,0,0,1,2,0,2,3,10,42,0,3
