,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 NNWabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,28,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1
2,3,30,28,P1 NNWabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,28,P2 NNThijs,0,0,4,1,0,0,0,0,0,0,0,1,0,2,1,1,3,1,1
4,5,30,24,P1 NNWabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,1
5,6,30,24,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,5,2,1
6,7,30,17,P1 NNWabeka,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,0,8,4,1
7,8,24,10,P2 NNThijs,0,0,1,1,0,0,0,1,1,0,6,2,0,3,1,0,9,4,1
8,9,24,10,P1 NNWabeka,0,0,1,3,0,0,0,0,1,2,1,3,0,1,0,0,13,5,1
9,10,24,8,P2 NNThijs,0,0,2,1,0,0,0,0,0,0,1,1,0,4,2,0,14,5,1
10,11,24,5,P1 NNWabeka,0,0,1,2,0,0,0,3,0,2,0,5,0,1,0,0,19,6,1
11,12,24,5,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,0,1,0,4,2,1,19,5,1
12,13,26,7,P1 NNWabeka,4,0,2,0,0,0,0,4,1,0,2,4,0,1,1,5,21,2,1
13,14,26,7,P2 NNThijs,0,0,1,1,0,0,0,0,0,1,4,1,0,4,2,0,26,7,1
14,15,24,5,P1 NNWabeka,0,0,2,3,0,0,0,0,0,3,0,3,0,1,2,2,27,6,1
15,16,24,4,P2 NNThijs,0,0,2,2,0,0,0,1,0,1,2,3,0,5,2,0,34,8,1
16,17,24,2,P1 NNWabeka,0,0,1,3,0,0,0,2,2,3,4,5,0,1,2,0,36,9,1
17,18,24,2,P2 NNThijs,0,0,1,2,0,0,0,0,0,2,0,2,0,5,2,0,43,9,1
18,19,24,0,P1 NNWabeka,0,0,1,0,0,0,0,5,2,0,4,5,0,1,2,10,36,0,1
