,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,27,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,27,P1 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,1,2,1,1
3,4,30,27,P2 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,4,2,1
4,5,30,26,P1 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,5,3,1
5,6,28,21,P2 Pizza,0,0,1,2,0,0,0,2,1,2,3,4,0,1,0,0,7,3,1
6,7,28,21,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,8,3,1
7,8,24,21,P2 Pizza,0,0,1,1,0,0,0,2,0,0,0,3,0,2,0,0,11,4,1
8,9,24,21,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,4,9,1,1
9,10,12,21,P2 Pizza,0,0,1,2,0,0,0,7,2,1,4,9,0,3,0,1,15,4,1
10,11,12,11,P1 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,0,0,5,10,1,1
11,12,1,9,P2 Pizza,0,0,2,2,0,0,0,7,3,2,6,9,0,3,1,0,21,6,1
12,13,1,0,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,10,0,1
13,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
14,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
15,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
16,4,30,25,P2 Pizza,0,0,1,2,0,0,0,1,1,2,2,3,0,1,0,0,4,2,2
17,5,30,25,P1 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,5,3,2
18,6,29,25,P2 Pizza,0,0,4,3,0,0,0,2,0,2,1,5,0,2,0,0,7,3,2
19,7,29,25,P1 Pizza,0,0,1,2,0,0,0,0,1,1,1,2,0,1,0,0,9,4,2
20,8,29,25,P2 Pizza,0,0,1,1,0,0,0,4,0,0,3,5,0,3,0,0,11,4,2
21,9,29,25,P1 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,1,0,0,14,5,2
22,10,18,25,P2 Pizza,0,0,1,0,0,0,0,7,0,0,0,7,0,3,0,5,11,0,2
23,11,18,21,P1 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,6,14,0,2
24,12,6,21,P2 Pizza,0,0,1,1,0,0,0,7,1,1,1,8,0,3,0,5,12,1,2
25,13,6,12,P1 Pizza,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,7,14,0,2
26,14,0,12,P2 Pizza,0,0,1,0,0,0,0,3,0,0,0,3,0,3,0,7,12,0,2
27,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
28,2,30,30,P2 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,3
29,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,3
30,4,30,30,P2 Pizza,0,0,1,1,0,0,0,1,0,1,2,2,0,1,0,0,4,2,3
31,5,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,3,2,3
32,6,22,30,P2 Pizza,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,1,6,2,3
33,7,22,30,P1 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,7,4,3
34,8,12,30,P2 Pizza,0,0,1,1,0,0,0,4,1,0,5,5,0,2,0,0,10,4,3
35,9,12,30,P1 Pizza,0,0,1,3,0,0,0,0,0,3,0,3,0,1,0,0,12,5,3
36,10,4,30,P2 Pizza,0,0,1,1,0,0,0,7,1,1,2,8,0,2,0,4,11,1,3
37,11,4,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,1,0,3,15,3,3
38,12,-4,29,P2 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,11,0,3
39,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
40,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
41,3,30,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,4
42,4,30,29,P2 Pizza,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,4,2,4
43,5,30,29,P1 Pizza,0,0,1,1,0,0,0,2,1,1,1,3,0,0,0,0,5,3,4
44,6,26,29,P2 Pizza,0,0,1,1,0,0,0,3,1,1,2,4,0,2,0,1,6,2,4
