,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Roffle,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,1
2,3,30,29,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,1
3,4,27,29,P2 Roffle,0,0,1,2,0,0,0,1,0,2,1,3,0,1,0,0,4,2,1
4,5,27,29,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,3,1
5,6,26,29,P2 Roffle,0,0,1,1,0,0,0,3,1,1,2,4,0,1,0,0,7,3,1
6,7,26,29,P1 Pizza,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,8,4,1
7,8,21,29,P2 Roffle,0,0,1,1,0,0,0,5,1,0,2,6,0,2,0,0,11,4,1
8,9,21,26,P1 Pizza,0,0,1,3,0,0,0,2,2,2,4,5,0,1,0,1,12,4,1
9,10,10,26,P2 Roffle,0,0,1,2,0,0,0,5,2,0,4,7,0,4,0,0,16,5,1
10,11,10,26,P1 Pizza,0,0,1,2,0,0,0,0,0,1,0,2,0,2,0,1,17,5,1
11,12,7,26,P2 Roffle,0,0,1,2,0,0,0,7,1,1,5,9,0,5,0,4,18,2,1
12,13,7,26,P1 Pizza,0,0,1,1,0,0,0,1,1,1,2,2,0,2,0,3,21,4,1
13,14,-1,26,P2 Roffle,0,0,1,0,0,0,0,3,0,0,0,3,0,5,0,7,18,0,1
14,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
15,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
16,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
17,4,25,27,P2 Roffle,0,0,1,2,0,0,0,2,0,1,1,4,0,2,0,0,4,2,2
18,5,25,27,P1 Pizza,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,5,3,2
19,6,17,24,P2 Roffle,0,0,1,3,0,0,0,3,1,1,1,6,0,4,0,0,7,3,2
20,7,17,16,P1 Pizza,0,0,4,3,0,0,0,2,1,1,1,5,0,2,0,0,9,4,2
21,8,11,16,P2 Roffle,0,0,1,1,0,0,0,4,0,1,3,5,0,4,0,3,8,1,2
22,9,11,8,P1 Pizza,0,0,1,1,0,0,0,2,0,0,0,3,0,3,0,1,13,4,2
23,10,0,8,P2 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,4,0,5,8,0,2
24,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
25,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
26,3,30,28,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,3
27,4,29,28,P2 Roffle,0,0,1,2,0,0,0,2,1,1,2,4,0,2,0,0,4,2,3
28,5,29,26,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,6,3,3
29,6,23,26,P2 Roffle,0,0,1,1,0,0,0,3,0,1,0,4,0,2,0,0,7,3,3
30,7,23,22,P1 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,0,0,1,9,3,3
31,8,11,22,P2 Roffle,0,0,1,2,0,0,0,5,0,2,0,7,0,2,0,1,10,3,3
32,9,11,8,P1 Pizza,0,0,1,2,0,0,0,3,0,2,0,5,0,0,0,1,13,4,3
33,10,0,8,P2 Roffle,0,0,1,0,0,0,0,6,0,0,0,6,0,2,0,5,10,0,3
34,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
35,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
36,3,30,29,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,2,1,4
37,4,30,29,P2 Roffle,0,0,1,1,0,0,0,1,1,1,1,2,0,1,0,1,3,1,4
38,5,30,29,P1 Pizza,0,0,1,0,0,0,0,2,1,0,1,2,0,0,0,3,2,0,4
39,6,26,29,P2 Roffle,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,6,3,4
40,7,26,29,P1 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,6,4,4
41,8,20,29,P2 Roffle,0,0,1,2,0,0,0,4,0,2,2,6,0,1,0,1,9,3,4
42,9,20,26,P1 Pizza,0,0,1,4,0,0,0,2,0,4,2,6,0,1,0,0,11,5,4
43,10,20,24,P2 Roffle,0,0,1,1,0,0,0,4,0,1,4,5,0,1,0,3,11,2,4
44,11,20,13,P1 Pizza,0,0,1,1,0,0,0,4,1,1,4,5,0,1,0,5,12,1,4
45,12,18,11,P2 Roffle,0,0,2,3,0,0,0,2,1,2,1,5,0,2,1,1,16,5,4
46,13,15,0,P1 Pizza,0,0,1,1,0,0,0,3,0,1,0,4,0,1,0,6,13,1,4
47,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
48,2,30,30,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,5
49,3,30,29,P1 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,5
50,4,30,29,P2 Roffle,0,0,1,1,0,0,0,2,1,1,2,3,0,1,0,0,4,2,5
51,5,30,29,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,3,5
52,6,25,29,P2 Roffle,0,0,1,1,0,0,0,2,0,1,0,3,0,1,0,0,7,3,5
53,7,25,26,P1 Pizza,0,0,1,2,0,0,0,1,1,1,1,3,0,1,0,1,7,3,5
54,8,21,26,P2 Roffle,0,0,1,1,0,0,0,4,1,0,4,5,0,2,0,0,11,4,5
55,9,21,26,P1 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,2,0,1,11,4,5
56,10,19,26,P2 Roffle,0,0,1,3,0,0,0,6,2,2,6,9,0,3,0,1,15,4,5
57,11,19,17,P1 Pizza,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,5,12,1,5
58,12,-1,14,P2 Roffle,0,0,1,1,0,0,0,6,0,1,1,7,0,3,0,5,16,1,5
59,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
60,2,26,27,P2 Roffle,0,0,1,3,0,0,0,0,0,1,0,3,0,2,0,0,2,1,6
61,3,26,27,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6
62,4,23,27,P2 Roffle,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,1,3,1,6
63,5,23,27,P1 Pizza,0,0,1,2,0,0,0,0,1,1,1,2,0,1,0,0,5,3,6
64,6,23,27,P2 Roffle,0,0,1,1,0,0,0,1,0,1,1,2,0,3,0,1,5,2,6
