,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,1
3,4,30,25,P2 Solegit,0,0,4,2,0,0,0,2,0,1,1,4,0,2,0,0,4,2,1
4,5,30,25,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,5,3,1
5,6,30,25,P2 Solegit,0,0,2,1,0,0,0,3,2,1,5,4,0,2,1,0,7,3,1
6,7,30,25,P1 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,9,4,1
7,8,28,23,P2 Solegit,0,0,1,2,0,0,0,3,0,2,1,5,0,2,1,0,11,4,1
8,9,28,22,P1 Pizza,0,0,1,3,0,0,0,3,1,1,1,6,0,3,0,0,14,5,1
9,10,28,22,P2 Solegit,0,0,1,2,0,0,0,5,2,1,7,7,0,3,1,0,16,5,1
10,11,28,12,P1 Pizza,0,0,1,1,0,0,0,2,0,1,0,3,0,3,0,3,17,3,1
11,12,18,10,P2 Solegit,0,0,2,3,0,0,0,5,1,1,3,8,0,5,2,1,21,5,1
12,13,18,1,P1 Pizza,0,0,1,1,0,0,0,1,0,1,0,2,0,3,0,6,18,1,1
13,14,9,1,P2 Solegit,0,0,1,1,0,0,0,6,1,1,3,7,0,5,2,6,22,1,1
14,15,2,1,P1 Pizza,0,0,2,3,0,0,0,1,0,3,2,4,0,3,1,0,26,8,1
15,16,0,1,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,5,2,6,24,2,1
16,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
17,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,2
18,3,30,30,P1 Pizza,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,2
19,4,29,30,P2 Solegit,0,0,1,1,0,0,0,2,0,1,1,3,0,1,0,0,4,2,2
20,5,29,30,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2
21,6,27,27,P2 Solegit,0,0,1,2,0,0,0,2,0,2,0,4,0,1,0,1,6,2,2
22,7,27,27,P1 Pizza,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,5,4,2
23,8,24,27,P2 Solegit,0,0,4,4,0,0,0,3,1,3,5,7,0,2,0,0,10,4,2
24,9,24,27,P1 Pizza,0,0,1,3,0,0,0,1,0,3,1,4,0,1,0,0,10,5,2
25,10,8,27,P2 Solegit,0,0,1,1,0,0,0,6,1,1,2,7,0,2,0,3,12,2,2
26,11,8,25,P1 Pizza,0,0,1,3,0,0,0,1,1,2,1,4,0,2,0,2,14,4,2
27,12,-1,25,P2 Solegit,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,12,0,2
28,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
29,2,30,30,P2 Solegit,0,0,1,3,0,0,0,0,0,1,1,3,0,2,0,0,2,1,3
30,3,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,2,3
31,4,29,25,P2 Solegit,0,0,1,2,0,0,0,1,0,2,0,3,0,2,0,0,4,2,3
32,5,29,25,P1 Pizza,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,6,3,3
33,6,27,25,P2 Solegit,0,0,1,1,0,0,0,2,0,1,0,3,0,2,0,0,7,3,3
34,7,27,23,P1 Pizza,0,0,1,2,0,0,0,3,0,2,1,5,0,0,0,2,8,2,3
35,8,26,23,P2 Solegit,0,0,1,1,0,0,0,2,0,1,1,3,0,2,0,3,8,1,3
36,9,26,17,P1 Pizza,0,0,1,1,0,0,0,4,0,0,0,5,0,1,0,1,12,4,3
37,10,26,15,P2 Solegit,0,0,2,2,0,0,0,3,1,2,4,5,0,2,1,0,13,5,3
38,11,26,7,P1 Pizza,0,0,1,2,0,0,0,4,0,2,0,6,0,1,0,0,18,6,3
