,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,2,1,1
3,4,30,30,P2 Viper,0,0,1,2,0,0,0,1,0,1,1,3,0,1,0,0,4,2,1
4,5,30,30,P1 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,0,0,2,3,1,1
5,6,29,27,P2 Viper,0,0,1,2,0,0,0,3,2,2,4,5,0,1,0,0,7,3,1
6,7,29,27,P1 Pizza,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1
7,8,19,22,P2 Viper,0,0,2,2,0,0,0,3,0,2,0,5,0,1,1,0,11,4,1
8,9,19,22,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,8,5,1
9,10,10,22,P2 Viper,0,0,1,2,0,0,0,5,0,2,0,7,0,1,1,0,16,5,1
10,11,10,16,P1 Pizza,0,0,1,4,0,0,0,1,1,3,1,5,0,1,0,0,14,6,1
