,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Pizza,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,1,2,1,1
3,4,28,30,P2 Wabeka,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,0,3,2,1
4,5,28,30,P1 Pizza,0,0,1,2,0,0,0,1,2,1,2,3,0,1,0,0,5,3,1
5,6,24,30,P2 Wabeka,0,0,1,3,0,0,0,2,1,1,2,5,0,2,0,0,7,3,1
6,7,24,24,P1 Pizza,0,0,1,2,0,0,0,4,1,2,2,6,0,1,0,0,9,4,1
7,8,15,22,P2 Wabeka,0,0,2,1,0,0,0,3,0,1,0,4,0,2,1,1,10,3,1
8,9,15,15,P1 Pizza,0,0,1,1,0,0,0,4,0,1,0,5,0,1,0,4,10,1,1
9,10,6,19,P2 Wabeka,4,0,1,1,0,0,0,5,0,1,1,6,0,2,1,0,15,5,1
10,11,6,18,P1 Pizza,0,0,1,0,0,0,0,4,1,0,2,4,0,1,0,6,10,0,1
11,12,0,18,P2 Wabeka,0,0,1,0,0,0,0,2,0,0,0,2,0,2,1,6,15,0,1
12,1,30,30,P1 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
13,2,30,30,P2 Wabeka,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
