,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,27,P2 Roffle,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,1
2,3,30,20,P1 Roffle,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,3,2,1
3,4,30,20,P2 Roffle,0,0,1,1,0,0,0,2,0,1,2,3,0,1,0,0,4,2,1
4,5,30,20,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,5,2,1
5,6,23,20,P2 Roffle,0,0,1,2,0,0,0,3,2,1,3,5,0,2,0,1,6,2,1
6,7,23,20,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,7,2,1
7,8,18,20,P2 Roffle,0,0,1,1,0,0,0,3,0,0,1,4,0,3,0,0,10,4,1
8,9,18,20,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,8,1,1
9,10,10,20,P2 Roffle,0,0,1,2,0,0,0,7,2,1,3,9,0,4,0,3,12,2,1
10,11,10,20,P1 Roffle,0,0,1,2,0,0,0,0,1,1,1,2,0,2,0,3,11,3,1
11,12,-1,20,P2 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,4,0,6,12,0,1
12,1,30,30,P1 Roffle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
