,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
1,2,30,30,P2 Wabeka,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,27,P1 Roffle,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,1
3,4,30,27,P2 Wabeka,0,0,1,1,0,0,0,1,1,1,2,2,0,0,0,0,3,2,1
4,5,30,21,P1 Roffle,0,0,1,2,0,0,0,2,0,1,0,4,0,1,0,1,5,2,1
5,6,28,21,P2 Wabeka,0,0,1,2,0,0,0,2,0,0,1,4,0,2,0,0,7,3,1
6,7,28,19,P1 Roffle,0,0,1,0,0,0,0,2,0,0,0,2,0,1,0,4,5,0,1
7,8,18,19,P2 Wabeka,0,0,1,1,0,0,0,6,0,1,0,7,0,2,0,3,8,1,1
8,9,18,17,P1 Roffle,0,0,1,2,0,0,0,2,0,1,0,4,0,2,0,2,8,3,1
9,10,10,21,P2 Wabeka,4,0,1,1,0,0,0,8,1,1,2,9,0,2,0,0,13,5,1
10,11,10,21,P1 Roffle,0,0,1,1,0,0,0,1,1,0,1,2,0,3,0,5,9,1,1
11,12,0,26,P2 Wabeka,5,0,1,0,0,0,0,3,0,0,0,3,0,2,0,6,13,0,1
12,1,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2
13,2,30,26,P2 Wabeka,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,2,1,2
14,3,30,26,P1 Roffle,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,2,1,2
15,4,28,26,P2 Wabeka,0,0,4,2,0,0,0,1,0,1,0,3,0,2,0,0,4,2,2
