,TURN_NO,P1_HEALTH,P2_HEALTH,CURRENT_PLAYER,AMOUNTHEALEDTHISTURN,NUMATTACKSTHISTURN,NUMCARDSDRAWNTHISTURN,NUMCARDSPLAYEDTHISTURN,NUMCARDSTODRAW,NUMELEMENTALSPLAYEDLASTTURN,NUMELEMENTALSPLAYEDTHISTURN,NUMFRIENDLYMINIONSTHATATTACKEDTHISTURN,NUMFRIENDLYMINIONSTHATDIEDTHISTURN,NUMMINIONSPLAYEDTHISTURN,NUMMINIONSPLAYERKILLEDTHISTURN,NUMOPTIONSPLAYEDTHISTURN,NUMSECRETSPLAYEDTHISGAME,NUMSPELLSPLAYEDTHISGAME,NUMTIMESHEROPOWERUSEDTHISGAME,REMAININGMANA,TOTALMANASPENTTHISGAME,USEDMANATHISTURN,GAME_COUNTER
0,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,2,30,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
2,3,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,4,28,30,P2 Pizza,0,0,1,3,0,0,0,1,1,1,1,4,0,2,0,0,4,2,1
4,5,28,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,3,1
5,6,21,30,P2 Pizza,0,0,1,1,0,0,0,4,0,1,0,5,0,2,0,1,6,2,1
6,7,19,29,P1 Viper,0,0,2,2,0,0,0,2,1,2,2,4,0,0,1,0,7,4,1
7,8,16,29,P2 Pizza,0,0,1,1,0,0,0,4,1,0,3,5,0,3,0,0,10,4,1
8,9,16,27,P1 Viper,0,0,1,2,0,0,0,1,1,0,1,3,0,2,1,0,12,5,1
9,10,0,27,P2 Pizza,0,0,1,1,0,0,0,7,1,1,2,8,0,3,0,4,11,1,1
10,1,30,30,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
11,2,30,30,P2 Pizza,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2
12,3,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2
13,4,29,30,P2 Pizza,0,0,1,2,0,0,0,1,0,1,0,3,0,1,0,0,4,2,2
14,5,29,26,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,4,2,2
15,6,26,21,P2 Pizza,0,0,1,2,0,0,0,2,1,2,2,4,0,1,0,0,7,3,2
16,7,26,21,P1 Viper,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,0,8,4,2
17,8,24,21,P2 Pizza,0,0,1,2,0,0,0,5,0,2,4,7,0,1,0,1,10,3,2
18,9,24,17,P1 Viper,0,0,4,3,0,0,0,2,0,2,0,5,0,2,0,0,13,5,2
19,10,7,17,P2 Pizza,0,0,1,2,0,0,0,7,2,1,5,9,0,2,0,2,13,3,2
20,11,7,0,P1 Viper,0,0,1,2,0,0,0,3,1,0,1,5,0,4,0,1,18,5,2
21,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,3
22,2,30,30,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,3
23,3,30,27,P1 Viper,0,0,1,2,0,0,0,1,0,2,0,3,0,0,0,0,3,2,3
24,4,29,24,P2 Pizza,0,0,1,2,0,0,0,2,0,2,1,4,0,1,0,0,4,2,3
25,5,29,24,P1 Viper,0,0,4,3,0,0,0,2,2,1,3,5,0,2,0,0,6,3,3
26,6,27,24,P2 Pizza,0,0,1,1,0,0,0,3,0,1,2,4,0,1,0,0,7,3,3
27,7,27,24,P1 Viper,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,3
28,8,18,24,P2 Pizza,0,0,1,1,0,0,0,4,0,0,0,5,0,2,0,0,11,4,3
29,9,18,24,P1 Viper,0,0,1,2,0,0,0,0,0,2,0,2,0,2,0,0,11,5,3
30,10,8,24,P2 Pizza,0,0,1,1,0,0,0,7,1,1,2,8,0,2,0,2,14,3,3
31,11,8,16,P1 Viper,0,0,1,1,0,0,0,1,0,1,0,2,0,2,0,3,14,3,3
32,12,0,16,P2 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,6,14,0,3
33,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,4
34,2,30,25,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,4
35,3,30,25,P1 Viper,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,4
36,4,26,25,P2 Pizza,0,0,4,2,0,0,0,2,0,1,0,4,0,2,0,0,4,2,4
37,5,26,25,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,4,3,4
38,6,26,25,P2 Pizza,0,0,1,2,0,0,0,3,2,1,5,5,0,3,0,0,7,3,4
39,7,26,25,P1 Viper,0,0,4,3,0,0,0,0,0,2,0,3,0,1,0,0,8,4,4
40,8,22,25,P2 Pizza,0,0,1,3,0,0,0,5,1,3,3,8,0,3,0,1,10,3,4
41,9,22,25,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,4,9,1,4
42,10,14,25,P2 Pizza,0,0,2,1,0,0,0,7,2,1,2,8,0,3,1,1,14,4,4
43,11,14,25,P1 Viper,0,0,1,3,0,0,0,1,2,2,2,4,0,2,0,1,14,5,4
44,12,3,25,P2 Pizza,0,0,1,0,0,0,0,7,0,0,3,7,0,3,1,6,14,0,4
45,13,3,25,P1 Viper,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,7,14,0,4
46,14,0,25,P2 Pizza,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1,7,14,0,4
47,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,5
48,2,30,25,P2 Pizza,0,0,1,3,0,0,0,0,0,2,0,3,0,1,0,0,2,1,5
49,3,30,25,P1 Viper,0,0,1,2,0,0,0,1,0,2,1,3,0,0,0,0,3,2,5
50,4,30,25,P2 Pizza,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,4,2,5
51,5,30,25,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,5,2,5
52,6,30,25,P2 Pizza,0,0,1,1,0,0,0,2,0,1,2,3,0,1,0,2,5,1,5
53,7,30,23,P1 Viper,0,0,1,1,0,0,0,1,0,0,2,2,0,1,0,0,9,4,5
54,8,30,23,P2 Pizza,0,0,1,2,0,0,0,1,0,1,1,3,0,2,0,0,9,4,5
55,9,30,17,P1 Viper,0,0,1,3,0,0,0,4,0,3,1,7,0,1,0,1,13,4,5
56,10,17,14,P2 Pizza,0,0,1,3,0,0,0,5,1,3,2,8,0,2,0,0,14,5,5
57,11,17,0,P1 Viper,0,0,1,1,0,0,0,3,1,0,1,4,0,2,0,5,14,1,5
58,1,30,30,P1 Viper,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,6
